ID,FlowTitle_lang,PopupTitle_lang,PopupDescription_lang,ServiceType,BoostType,IconFileDataID,Priority,Flags,ProfessionLevel,BoostLevel,Expansion,PopupUITextureKitID,Field_11_0_0_54675_012
1,100 레벨 업그레이드,무료 100 레벨 업그레이드,"100 레벨 캐릭터 업그레이드 서비스입니다. 기존 캐릭터를 업그레이드하거나, 새로운 직업을 시험 사용해 본 후 업그레이드하실 수 있으며, 이 창을 닫고 업그레이드를 나중에 사용하실 수도 있습니다.",1,2,1033987,90,1,700,100,6,260,0
5,격전의 아제로스 캐릭터 업그레이드,무료 110 레벨 업그레이드,"110 레벨 캐릭터 업그레이드 서비스입니다. 아래 옵션 중 한 가지를 선택하실 수 있으며, 창을 닫고 나중에 사용하실 수도 있습니다.",1,3,3573824,80,1,700,48,7,265,0
6,90 레벨 업그레이드,무료 90 레벨 업그레이드,드레노어의 전쟁군주 구매에 따라 무료로 제공된 업그레이드입니다.,1,1,614740,100,0,625,90,5,260,0
107,용군단 무료 체험,용군단 무료 체험,기간 한정으로 용군단을 무료로 플레이해보세요!|n|n드랙티르 기원사 캐릭터를 만들거나 아무 60레벨 캐릭터로 용의 섬을 모험해 보세요.,0,0,4723908,1100,0,0,0,7,265,0
118,어둠땅 캐릭터 업그레이드,무료 120 레벨 캐릭터 업그레이드,,1,4,3752121,50,1,0,50,7,265,0
120,60 레벨 캐릭터 업그레이드,무료 60 레벨 업그레이드,,1,6,4279397,60,1,0,60,8,265,5595
123,서버 이전,서버 이전,캐릭터를 다른 서버나 계정으로 이전합니다.,2,1,1530081,40,0,0,0,0,5362,5590
125,진영 변경,진영 변경,"캐릭터의 진영을 호드에서 얼라이언스로, 또는 얼라이언스에서 호드로 변경합니다.

월드 오브 워크래프트 서비스 (수량: 1)",2,2,1126583,35,0,0,0,0,5362,5587
139,종족 변경,종족 변경,캐릭터의 종족을 현재 진영 내 다른 종족으로 변경합니다.,2,3,1126585,30,0,0,0,0,5362,5589
140,이름 변경,이름 변경,"캐릭터의 이름을 변경합니다.

월드 오브 워크래프트 서비스 (수량: 1)",2,4,1126584,25,0,0,0,0,5362,5588
143,70 레벨 업그레이드,무료 70 레벨 업그레이드,,1,8,4734167,70,0,0,70,9,5468,5594
