ID,Text_lang
1,[공지] 서버가 %s 후에 다운될 예정입니다.
2,[공지] 서버가 %s 후에 재시작될 예정입니다.
3,%s
4,[공지] 서버 다운이 취소되었습니다.
5,[공지] 서버 재시작이 취소되었습니다.
6,[공지] 전장이 %s 후에 다운될 예정입니다.
7,[공지] 전장이 %s 후에 재시작될 예정입니다.
8,[공지] 인스턴스가 %s 후에 다운될 예정입니다.
9,[공지] 인스턴스가 %s 후에 재시작될 예정입니다.
10,[공지] 이제 대격변 콘텐츠를 즐기실 수 있습니다. 게임을 완전히 종료하시고 다시 시작해 주시기 바랍니다.
11,곧 GM의 응답을 받으실 수 있습니다.
12,지금은 예상 대기시간을 산출할 수 없습니다.
13,"GM 요청 시 평균 대기시간:
 %s"
14,판다리아의 안개가 걷혔습니다!
15,판다리아의 안개가 걷혔습니다! 모험을 시작하려면 오그리마를 방문하세요!
16,판다리아의 안개가 걷혔습니다! 모험을 시작하려면 스톰윈드를 방문하세요!
17,[서버] 서버 공통 지역과의 연결이 %s 후에 종료됩니다.
18,[서버] 서버 공통 지역이 %s 후에 재시작됩니다.
20,드레노어의 전쟁군주들이 침공을 시작했습니다! 저주받은 땅으로 가서 모험을 시작하세요!
21,드레노어의 전쟁군주들이 침공을 시작했습니다!
124,디버그: %s 교전
