Field_9_2_0_42174_000_lang,ID,Season,Field_9_2_0_41827_001,ExpansionID,Field_10_0_2_45779_004,DelvesSeasonID
"나스리아 성채 공격대
우두머리 %d명 처치",10,5,1,8,1,0
"지배의 성소 공격대
우두머리 %d명 처치",11,6,2,8,1,0
"태초의 존재의 매장터 공격대
우두머리 %d명 처치",12,7,3,8,1,0
운명의 공격대 우두머리 %d명 처치,17,8,4,8,1,0
현신의 금고 우두머리 %d명 처치,19,9,1,9,2,0
어둠의 도가니 아베루스 우두머리 %d명 처치,21,10,2,9,2,0
"꿈의 희망 아미드랏실
우두머리 %d명 처치",22,11,3,9,2,0
각성 공격대 우두머리 %d명 처치,23,12,4,9,2,0
네룹아르 궁전 우두머리 %d명 처치,24,13,1,10,3,1
언더마인 해방전선 우두머리 %d명 처치|4,25,14,2,10,3,2
마나괴철로 종극점 우두머리 %d명 처치,30,15,3,10,3,3
,31,16,4,10,0,0
