ID,SourceAlliance_lang,SourceHorde_lang,AzeriteEssenceID,Tier,MajorPowerDescription,MinorPowerDescription,MajorPowerActual,MinorPowerActual
5,"영원한 궁전 공격대|n|cFFFFD200결합:|r 물의 유물함|n|cFFFFD200획득:|r 아즈샤라의 광채, 여왕의 궁정 또는 여왕 아즈샤라",,2,1,293019,294668,293019,294668
6,"영원한 궁전 공격대|n|cFFFFD200결합:|r 물의 유물함|n|cFFFFD200획득:|r 아즈샤라의 광채, 여왕의 궁정 또는 여왕 아즈샤라",,2,2,294653,294687,298080,298082
7,"영원한 궁전 공격대|n|cFFFFD200결합:|r 물의 유물함|n|cFFFFD200획득:|r 아즈샤라의 광채, 여왕의 궁정 또는 여왕 아즈샤라",,2,3,294650,294688,298081,298083
8,영원한 궁전 공격대|n|cFFFFD200획득:|r 여왕 아즈샤라 - 신화,,2,4,294655,294689,298081,298083
9,"전장|n|cFFFFD200퀘스트:|r ""격동의 전장""|n|cFFFFD200퀘스트 종료 NPC:|r 작전사령관 가브리엘|n|cFFFFD200위치:|r 보랄러스 애쉬베인 부두","전장|n|cFFFFD200퀘스트:|r ""격동의 전장""|n|cFFFFD200퀘스트 종료 NPC:|r 잔더 실버만|n|cFFFFD200위치:|r 무감발라",3,1,293031,294910,293031,294910
10,"전장|n|cFFFFD200업적:|r ""전장의 투사""|n|cFFFFD200상인:|r 작전사령관 가브리엘|n|cFFFFD200위치:|r 보랄러스 애쉬베인 부두|n|cFFFFD200가격:|r 25 명예 훈장","전장|n|cFFFFD200업적:|r ""전장의 투사""|n|cFFFFD200상인:|r 잔더 실버만|n|cFFFFD200위치:|r 무감발라|n|cFFFFD200가격:|r 25 명예 훈장",3,2,294906,294919,300009,300012
11,"전장|n|cFFFFD200업적:|r ""전장의 전술가""|n|cFFFFD200상인:|r 작전사령관 가브리엘|n|cFFFFD200위치:|r 보랄러스 애쉬베인 부두|n|cFFFFD200가격:|r 25 명예 훈장","전장|n|cFFFFD200업적:|r ""전장의 전술가""|n|cFFFFD200상인:|r 잔더 실버만|n|cFFFFD200위치:|r 무감발라|n|cFFFFD200가격:|r 25 명예 훈장",3,3,294907,294920,300010,300013
12,"전장|n|cFFFFD200업적:|r ""전장의 지배자""|n|cFFFFD200상인:|r 작전사령관 가브리엘|n|cFFFFD200위치:|r 보랄러스 애쉬베인 부두","전장|n|cFFFFD200업적:|r ""전장의 지배자""|n|cFFFFD200상인:|r 잔더 실버만|n|cFFFFD200위치:|r 무감발라",3,4,294908,294922,300010,300013
13,"군도 탐험|n|cFFFFD200퀘스트:|r ""얼라이언스를 위한 아제라이트""|n|cFFFFD200퀘스트 종료 NPC:|r 플린 페어윈드|n|cFFFFD200위치:|r 보랄러스 항구|n","군도 탐험|n|cFFFFD200퀘스트:|r ""호드를 위한 아제라이트""|n|cFFFFD200퀘스트 종료 NPC:|r 선장 레즈오쿤|n|cFFFFD200위치:|r 잔달라 항구",4,1,295186,295078,295186,295078
14,"군도 탐험|n|cFFFFD200결합:|r 젬란의 잃어버린 보물 지도 조각|n|cFFFFD200획득:|r 군도 탐험|n|cFFFFD200임무 탁자:|r ""해적 왕의 숨겨진 보물""|n|cFFFFD200위치:|r 보랄러스 항구","군도 탐험|n|cFFFFD200결합:|r 젬란의 잃어버린 보물 지도 조각|n|cFFFFD200획득:|r 군도 탐험|n|cFFFFD200임무 탁자:|r ""해적 왕의 숨겨진 보물""|n|cFFFFD200위치:|r 잔달라 항구",4,2,295209,295208,298628,298627
15,"군도 탐험|n|cFFFFD200수집:|r 세계맥 첩보 보고서|n|cFFFFD200퀘스트 보상:|r ""얼라이언스를 위한 아제라이트""|n|cFFFFD200퀘스트 종료 NPC:|r 플린 페어윈드|n|cFFFFD200임무 탁자:|r ""세계맥 추적""|n|cFFFFD200위치:|r 보랄러스 항구","군도 탐험|n|cFFFFD200수집:|r 세계맥 첩보 보고서|n|cFFFFD200퀘스트 보상:|r ""얼라이언스를 위한 아제라이트""|n|cFFFFD200퀘스트 종료 NPC:|r 선장 레즈오쿤|n|cFFFFD200임무 탁자:|r ""세계맥 추적""|n|cFFFFD200위치:|r 잔달라 항구",4,3,295160,295165,299334,299333
16,"군도 탐험|n|cFFFFD200퀘스트:|r ""얼라이언스를 위한 아제라이트""|n|cFFFFD200퀘스트 종료 NPC:|r 플린 페어윈드|n|cFFFFD200임무 탁자:|r ""마지막 세계맥""|n|cFFFFD200위치:|r 보랄러스 항구|n","군도 탐험|n|cFFFFD200퀘스트:|r ""호드를 위한 아제라이트""|n|cFFFFD200퀘스트 종료 NPC:|r 선장 레즈오쿤|n|cFFFFD200임무 탁자:|r ""마지막 세계맥""|n|cFFFFD200위치:|r 잔달라 항구",4,4,295210,295166,299334,299333
17,신화 던전|n|cFFFFD200결합:|r 집중된 생명의 령|n|cFFFFD200획득:|r 던전 마지막 우두머리,,5,1,295258,295246,295258,295246
