SourceText_lang,ID,ItemID,Flags,SourceTypeEnum
|cFFFFD200획득: |r무작위 전리품,1,1973,0,0
|cFFFFD200암시장 경매장|r,4,32566,0,2
|cFFFFD200암시장 경매장|r,5,33223,0,2
|cFFFFD200암시장 경매장|r,7,38578,0,2
|cFFFFD200축제: |r온누리에 사랑을|n|cFFFFD200상인: |r사랑의 상인|n|cFFFFD200지역: |r대도시|n|cFFFFD200가격: |r10|TINTERFACE\ICONS\INV_VALENTINESCARD01.BLP:0|t|n|n,9,34480,0,6
|cFFFFD200프로모션|r,12,67097,0,7
|cFFFFD200상인: |r텍스 보타코일|n|cFFFFD200지역: |r아즈샤라|n|cFFFFD200가격: |r5000|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,16,68806,0,2
|cFFFFD200상인: |r아일라 섀도스톰|n|cFFFFD200지역: |r녹아내린 전초지|n|cFFFFD200가격: |r500|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,17,70161,0,2
|cFFFFD200이벤트: |r할로윈 축제|n|cFFFFD200상인: |r처브 / 도로시|n|cFFFFD200지역: |r티리스팔 숲 / 스톰윈드|n|cFFFFD200가격: |r150|TINTERFACE\ICONS\ACHIEVEMENT_HALLOWEEN_CANDY_01.BLP:0|t|n|n,18,70722,0,6
|cFFFFD200프로모션|r,19,72161,0,7
|cFFFFD200획득: |r판다리아,20,72231,2,0
|cFFFFD200획득: |r요릭 샤프아이|n|cFFFFD200지역: |r영원꽃 골짜기,21,86568,0,0
|cFFFFD200획득: |r영혼도둑 캉|n|cFFFFD200지역: |r영원꽃 골짜기,22,86571,0,0
|cFFFFD200획득: |r하바크|n|cFFFFD200지역: |r쿤라이 봉우리,23,72221,2,0
|cFFFFD200획득: |r어골락스|n|cFFFFD200지역: |r영원꽃 골짜기,24,86575,0,0
|cFFFFD200획득: |r스키티크|n|cFFFFD200지역: |r쿤라이 봉우리,25,72225,2,0
|cFFFFD200퀘스트: |r엘룬의 축복|n|cFFFFD200지역: |r달숲,29,21540,0,1
,30,33079,2,7
|cFFFFD200전문 기술: |r고고학,33,64651,0,3
"|cFFFFD200상인: |r올루트 알레구트, 롤크 샤프친|n|cFFFFD200지역: |r폭풍우 봉우리|n|cFFFFD200가격: |r10|TINTERFACE\ICONS\INV_MISC_RUNE_14.BLP:0|t",34,43499,0,2
|cFFFFD200획득: |r테로크|n|cFFFFD200지역: |r테로카르 숲,99,32782,0,0
|cFFFFD200암시장 경매장|r,100,34499,0,2
|cFFFFD200획득: |r노스렌드 - 무작위 전리품,101,37254,0,0
|cFFFFD200프로모션|r,102,38301,0,7
|cFFFFD200업적: |r동전의 제왕|n|cFFFFD200분류: |r낚시,103,44430,0,5
|cFFFFD200이벤트:|r 겨울맞이 축제,109,46709,0,6
|cFFFFD200프로모션|r,110,49703,0,7
|cFFFFD200프로모션|r,111,49704,2,7
|cFFFFD200퀘스트: |r무라딘의 눈물|n|cFFFFD200지역: |r얼음왕관 성채,112,52201,0,1
|cFFFFD200퀘스트: |r실바나스의 복수|n|cFFFFD200지역: |r얼음왕관 성채,114,52253,0,1
|cFFFFD200전문 기술: |r고고학,116,64358,0,3
|cFFFFD200전문 기술: |r고고학,117,64361,0,3
|cFFFFD200전문 기술: |r고고학,118,64373,0,3
|cFFFFD200전문 기술: |r고고학,119,64383,0,3
|cFFFFD200전문 기술: |r고고학,120,64456,0,3
|cFFFFD200전문 기술: |r고고학,121,64481,0,3
|cFFFFD200전문 기술: |r고고학,122,64482,0,3
|cFFFFD200전문 기술: |r고고학,123,64646,0,3
|cFFFFD200전문 기술: |r고고학,124,64881,0,3
|cFFFFD200상인: |r메일로쉬|n|cFFFFD200지역: |r악령숲|n|cFFFFD200평판: |r나무구렁 요새 - 확고한 동맹|n|cFFFFD200가격: |r75|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,125,66888,4,2
|cFFFFD200이벤트: |r어린이 주간|n|cFFFFD200상인: |r블랙스 보틀로켓 / 크래글 워블톱|n|cFFFFD200지역: |r오그리마 / 스톰윈드|n|cFFFFD200가격: |r10|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,126,69895,0,2
|cFFFFD200프로모션|r,127,72159,0,7
|cFFFFD200프로모션|r,128,79769,0,7
|cFFFFD200획득: |r추방자 자이|n|cFFFFD200지역: |r쿤라이 봉우리,129,86581,0,0
|cFFFFD200획득: |r예언자 네소스|n|cFFFFD200지역: |r쿤라이 봉우리,131,72224,2,0
|cFFFFD200획득: |r애꾸눈 몰도|n|cFFFFD200지역: |r영원꽃 골짜기,132,86586,0,0
|cFFFFD200획득: |r방랑자 아혼|n|cFFFFD200지역: |r쿤라이 봉우리,133,86588,0,0
|cFFFFD200획득: |r아이리 스카이미러|n|cFFFFD200지역: |r공포의 황무지,134,86589,0,0
|cFFFFD200획득: |r변화하는 구름의 아이란|n|cFFFFD200지역: |r영원꽃 골짜기,135,72229,2,0
|cFFFFD200획득: |r보노보스|n|cFFFFD200지역: |r네 바람의 계곡,136,72227,2,0
|cFFFFD200획득: |r잽싼 익익|n|cFFFFD200지역: |r공포의 황무지,137,86593,0,0
|cFFFFD200업적: |r최고에게 배운다|n|cFFFFD200분류: |r낚시,139,86596,0,5
|cFFFFD200업적: |r체험! 양조의 현장|n|cFFFFD200분류: |r판다리아의 안개,140,87528,0,5
|cFFFFD200상인: |r지나 머드클로|n|cFFFFD200지역: |r네 바람의 계곡|n|cFFFFD200평판: |r농사꾼 연합 - 확고한 동맹|n|cFFFFD200가격: |r250|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,142,90175,4,2
|cFFFFD200이벤트:|r 겨울맞이 축제,143,90883,0,6
|cFFFFD200이벤트:|r 겨울맞이 축제,144,90888,0,6
|cFFFFD200상인: |r겔바스 그림게이트|n|cFFFFD200지역: |r다크문 섬|n|cFFFFD200가격: |r10|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,145,90899,0,6
|cFFFFD200수여: |r오르서|n|cFFFFD200지역: |r라벤홀트 장원,147,72220,2,0
|cFFFFD200획득: |r라샤|n|cFFFFD200지역: |r천둥의 섬,148,72226,2,0
|cFFFFD200업적: |r토르토스 숨겨진 물보라 업적|n|cFFFFD200분류: |r판다리아 공격대,151,98132,0,5
|cFFFFD200획득: |r복족이|n|cFFFFD200지역: |r천둥의 섬,152,98136,0,0
|cFFFFD200상인: |r전령 굴란|n|cFFFFD200지역: |r영원의 섬,153,72230,2,2
