ID,Text_lang,RelationshipFlags,EmotesTextID
1,%s|1이;가; %s의 의견에 동의합니다.,0,1
2,%s|1이;가; 당신의 의견에 동의합니다.,1,1
3,당신은 %s의 의견에 동의합니다.,2,1
4,%s|1이;가; 의견에 동의합니다.,4,1
5,당신은 의견에 동의합니다.,6,1
6,%s|1이;가; %s|1을;를; 보고 아연실색합니다!,0,2
7,%s|1이;가; 당신을 보고 아연실색합니다!,1,2
8,당신은 %s|1을;를; 보고 아연실색합니다!,2,2
9,%s|1이;가; 무언가를 보고 아연실색합니다!,4,2
10,당신은 무언가를 보고 아연실색합니다!,6,2
11,%s|1이;가; 화난 얼굴로 %s에게 주먹을 치켜세웁니다.,0,3
12,%s|1이;가; 화난 얼굴로 당신에게 주먹을 치켜세웁니다.,1,3
13,당신은 화난 얼굴로 %s에게 주먹을 치켜세웁니다.,2,3
14,%s|1이;가; 화난 얼굴로 주먹을 치켜세웁니다.,4,3
15,당신은 화난 얼굴로 주먹을 치켜세웁니다.,6,3
16,%s|1이;가; 화난 얼굴로 %s에게 주먹을 치켜세웁니다.,8,3
17,%s|1이;가; 화난 얼굴로 당신에게 주먹을 치켜세웁니다.,9,3
18,%s|1이;가; 화난 얼굴로 주먹을 치켜세웁니다.,12,3
19,"%s|1이;가; %s에게 사과합니다. ""정말 죄송해요!""",0,4
20,"%s|1이;가; 당신에게 사과합니다. ""정말 죄송해요!""",1,4
21,"당신은 %s에게 사과합니다. ""정말 죄송해요!""",2,4
22,"%s|1이;가; 모두에게 사과합니다. ""정말 죄송해요!""",4,4
23,"당신은 모두에게 사과합니다. ""정말 죄송해요!""",6,4
24,"%s|1이;가; %s에게 박수를 보냅니다. ""짝짝짝!""",0,5
25,"%s|1이;가; 당신에게 박수를 보냅니다. ""짝짝짝!""",1,5
26,"당신은 %s에게 박수를 보냅니다. ""짝짝짝!""",2,5
27,"%s|1이;가; 손뼉을 칩니다. ""짝짝짝!""",4,5
28,"당신은 손뼉을 칩니다. ""짝짝짝!""",6,5
29,%s|1이;가; %s 앞에서 매우 부끄러워합니다.,0,6
30,%s|1이;가; 당신 앞에서 매우 부끄러워합니다.,1,6
31,당신은 %s 앞에서 매우 부끄러워합니다.,2,6
32,%s|1이;가; 부끄러워합니다.,4,6
33,당신은 부끄러워합니다.,6,6
34,%s|1이;가; %s|1을;를; 손짓하여 부릅니다.,0,7
35,%s|1이;가; 당신을 손짓하여 부릅니다.,1,7
36,당신은 %s|1을;를; 손짓하여 부릅니다.,2,7
37,%s|1이;가; 모두를 손짓하여 부릅니다.,4,7
38,당신은 모두를 손짓하여 부릅니다.,6,7
39,%s|1이;가; %s에게 자비를 베풀어달라고 간청합니다.,0,8
40,%s|1이;가; 당신에게 자비를 베풀어달라고 간청합니다.,1,8
41,당신은 %s에게 자비를 베풀어달라고 간청합니다.,2,8
42,%s|1이;가; 주위 사람들에게 자비를 베풀어달라고 간청합니다.,4,8
43,당신은 주위 사람들에게 자비를 베풀어달라고 간청합니다.,6,8
44,%s|1이;가; 주위 사람들에게 자비를 베풀어달라고 간청합니다.,12,8
45,"%s|1이;가; %s|1을;를; 깨물었습니다. ""아야!""",0,9
46,"%s|1이;가; 당신을 깨물었습니다. ""아야!""",1,9
47,"당신은 %s|1을;를; 깨물었습니다. ""아야!""",2,9
48,%s|1이;가; 깨물만한 게 없나 주위를 둘러봅니다.,4,9
49,당신은 깨물만한 게 없나 주위를 둘러봅니다.,6,9
50,%s의 상처에서 피가 납니다.,4,10
51,당신의 상처에서 피가 납니다.,6,10
52,%s|1이;가; %s|1을;를; 보고 두 눈을 깜박이며 어리둥절해합니다.,0,11
53,%s|1이;가; 당신을 보고 두 눈을 깜박이며 어리둥절해합니다.,1,11
54,당신은 %s|1을;를; 보고 두 눈을 깜박이며 어리둥절해합니다.,2,11
55,%s|1이;가; 두 눈을 깜박이며 어리둥절해 합니다.,4,11
56,당신은 두 눈을 깜박이며 어리둥절해 합니다.,6,11
57,%s|1이;가; %s|1을;를; 보고 얼굴을 붉힙니다.,0,12
58,%s|1이;가; 당신을 보고 얼굴을 붉힙니다.,1,12
59,당신은 %s|1을;를; 보고 얼굴을 붉힙니다.,2,12
60,%s|1이;가; 얼굴을 붉힙니다.,4,12
61,당신은 얼굴을 붉힙니다.,6,12
62,%s|1이;가; %s|1을;를; 보며 어처구니 없어 합니다.,0,13
63,%s|1이;가; 당신을 보며 어처구니 없어 합니다.,1,13
64,당신은 %s|1을;를; 보며 어처구니 없어 합니다.,2,13
65,%s|1이;가; 어처구니 없어 합니다.,4,13
66,당신은 어처구니 없어 합니다.,6,13
67,%s|1이;가; 어처구니 없어 합니다.,12,13
68,%s|1이;가; %s|1을;를; 보며 지루해서 어쩔줄 몰라합니다.,0,14
69,%s|1이;가; 당신을 보며 지루해서 어쩔줄 몰라합니다.,1,14
70,당신은 %s|1을;를; 보며 지루해서 어쩔줄 몰라합니다.,2,14
71,%s|1이;가; 지루해서 어쩔줄 몰라합니다.,4,14
72,당신은 지루해서 어쩔줄 몰라합니다.,6,14
73,%s|1이;가; %s 앞에서 폴짝폴짝 뜁니다.,0,15
74,%s|1이;가; 당신 앞에서 폴짝폴짝 뜁니다.,1,15
75,당신은 %s 앞에서 폴짝폴짝 뜁니다.,2,15
76,%s|1이;가; 폴짝폴짝 뜁니다.,4,15
77,당신은 폴짝폴짝 뜁니다.,6,15
78,%s|1이;가; %s에게 곧 돌아올 테니 꼼짝 말고 있으라고 일러둡니다.,0,16
79,%s|1이;가; 당신에게 곧 돌아올 테니 꼼짝 말고 있으라고 일러둡니다.,1,16
80,당신은 %s에게 곧 돌아올 테니 꼼짝 말고 있으라고 일러둡니다.,2,16
81,%s|1이;가; 모두에게 곧 돌아올 테니 꼼짝 말고 있으라고 일러둡니다.,4,16
82,당신은 모두에게 곧 돌아올 테니 꼼짝 말고 있으라고 일러둡니다.,6,16
83,%s|1이;가; %s에게 정중히 인사합니다.,0,17
84,%s|1이;가; 당신에게 정중히 인사합니다.,1,17
85,당신은 %s에게 정중히 인사합니다.,2,17
86,%s|1이;가; 정중히 인사합니다.,4,17
87,당신은 정중히 인사합니다.,6,17
91,"%s|1이;가; 큰 소리로 트림을 합니다. ""꺼억~""",4,18
