ID,Name_lang,Shortcut_lang,Flags,FactionGroup,Ruleset
1,공개 - %s,공개,1572875,0,0
2,거래 - %s,거래,1048635,0,0
22,수비 - %s,수비,1114123,0,0
26,파티찾기,파티찾기,262152,0,0
27,BigfootWorldChannel,BigfootWorldChannel,8,0,0
28,만남의돌,만남의돌,8,0,0
32,신입 대화,신입대화,14680072,0,1
33,zzOLD Shadowlands Beta Discussion,어둠땅베타토론,2097160,0,0
34,zzOLD Shadowlands PTR Discussion,어둠땅공개테스트서버토론,2097160,0,2
35,War Within Test Discussion,내부 전쟁 시험용 논의,6291465,0,0
36,크로미의 시간 - 대격변,크로미의 시간,2097160,0,2
37,크로미의 시간 - 불타는 성전,크로미의 시간,2097160,0,2
38,크로미의 시간 - 리치 왕의 분노,크로미의 시간,2097160,0,2
39,크로미의 시간 - 판다리아의 안개,크로미의 시간,2097160,0,2
40,크로미의 시간 - 드레노어의 전쟁군주,크로미의 시간,2097160,0,2
41,크로미의 시간 - 군단,크로미의 시간,2097160,0,2
42,거래 (서비스) - %s,서비스,1048635,0,0
