ID,Value_lang,ReqID,ParentWidgetID
7,거점 점령: %2476w,2,4
8,점령 중인 얼라이언스 거점 수,3,4
9,이전 승리 진영: 얼라이언스,4,4
10,거점 점령: %2478w,2,5
11,점령 중인 호드 거점 수,3,5
12,이전 승리 진영: 호드,4,5
13,남은 시간: %4248k,2,6
16,%14684w의 아제라이트를 수집하십시오,14,7
17,아제라이트 탐지기 %13654k초 뒤 가동 가능,2,8
18,아제라이트 탐지기 가동까지 남은 시간,3,8
19,,4,8
1406,%12953w,2,497
1407,얼라이언스 퀴라즈 증표,3,497
1408,,4,497
1409,%12952w,2,498
1410,호드 퀴라즈 증표,3,498
1411,,4,498
1412,침략 중인 적 = %2454w,2,499
1413,호드 기지에 침략한 적의 수,3,499
1414,,4,499
1415,침략 중인 적 = %2454w,2,500
1416,호드 기지에 침략한 적의 수,3,500
1417,,4,500
1418,남은 경비병: %2491w/%2493w,2,501
1419,,3,501
1420,,4,501
1421,남은 경비병: %2491w/%2493w,2,503
1422,,3,503
1423,,4,503
1424,남은 시간 - %2509w:%2512w%2510w,2,504
1425,영혼의 탑 점령이 가능하기까지 남은 시간,3,504
1426,,4,504
1427,남은 메디브 보호막: %2540w%,2,507
1428,,3,507
1429,,4,507
1430,보라색팀: %3600w명 남음,2,508
1431,,3,508
1432,,4,508
1433,금색팀: %3601w명 남음,2,509
1434,,3,509
1435,,4,509
1436,서쪽 봉화,2,510
1437,얼라이언스가 점령한 봉화,3,510
1438,,4,510
1439,서쪽 봉화,2,511
1440,호드가 점령한 봉화,3,511
1441,,4,511
1442,서쪽 봉화,2,512
1443,점령되지 않은 봉화,3,512
1444,,4,512
1445,동쪽 봉화,2,513
1446,얼라이언스가 점령한 봉화,3,513
1447,,4,513
1448,동쪽 봉화,2,514
1449,호드가 점령한 봉화,3,514
1450,,4,514
1451,동쪽 봉화,2,515
1452,점령되지 않은 봉화,3,515
1453,,4,515
1454,금색팀: %3601w명 남음,2,516
1455,,3,516
1456,,4,516
1457,보라색팀: %3600w명 남음,2,517
1458,,3,517
1459,,4,517
1460,경비탑 점령: %2621w,2,518
1461,얼라이언스의 경비탑 점령 수,3,518
1462,,4,518
1463,경비탑 점령: %2622w,2,519
1464,호드의 경비탑 점령 수,3,519
1465,,4,519
1466,화염 폭탄 설치: %2436w/5,2,522
