ID,Question_lang
28,문의하신 내용에 대한 GM의 답변이 적절했나요?
29,GM의 답변이 이해하기 쉬우셨나요?
30,GM이 문의를 정확하게 이해하고 친절한 태도로 상담하였나요?
31,GM 상담 대기시간이 적당했나요?
32,GM 상담에 전반적으로 만족하셨나요?
33,"고객님께서 받으신 상담을 기준으로 생각할 때, 월드 오브 워크래프트를 주위에 권하고 싶을 만큼 만족하시나요?"
35,고객 지원 서비스를 받은 경험을 고려하였을 때 친구에게 블리자드 제품과 서비스를 추천할 의향이 있으신가요?
36,문제 해결에 도움이 되셨나요?
37,지금까지 경험하신 다른 고객지원 서비스와 비교하여 블리자드 고객지원 서비스의 만족도는 어느 정도인가요?
38,GM 상담 대기시간은 적당하였나요?
39,GM이 정확하게 이해하고 친절한 태도로 상담하였나요?
40,GM의 답변이 이해하기 쉬우셨나요?
41,GM 상담에 전반적으로 만족하셨나요?
42,월드 오브 워크래프트에 대해 전반적으로 만족하시나요?
43,월드 오브 워크래프트를 앞으로도 플레이하시겠습니까?
44,월드 오브 워크래프트를 친구에게 추천할 의향이 있으신가요?
45,조금 전 상담한 블리자드 GM의 서비스에 만족하셨나요?
46,GM이 상담을 요청한 이유를 명확하게 이해하고 있었나요?
47,상담 과정에서 고객님을 소중한 고객으로 대하고 있다는 느낌을 받으셨나요?
48,GM이 명확하고 정확한 정보를 제공하였나요?
49,GM이 어떻게 문제를 해결할 수 있는지 명확하게 설명해 주었나요?
50,문의하신 내용이 해결되었나요?
51,GM과 연결되기까지의 소요시간에 만족하셨나요?
52,이 문제를 해결하기까지 GM과 몇 번의 상담을 진행하셨나요?
53,GM이 상담에 필요한 지식을 갖추고 있었나요?
