Name_lang,ID,Field_12_0_0_63967_001,Flags,Field_12_0_0_63724_002,RoomWmoDataID,UiTextureAtlasElementID,WeightCost,ItemID,SortPriority
사각형 방 (소형),1,1,4,0,5,31139,5,0,120
복도,2,1,4,0,7,31132,3,0,150
벽장,3,1,4,0,4,31130,1,0,145
T형 방,6,1,4,0,162,31143,3,0,320
사각형 방 (초소형),7,1,4,0,3,31140,2,0,110
L형 방,8,1,4,0,163,31133,3,0,310
팔각형 방 (중형),9,1,4,0,165,31135,8,0,220
계단통 (왼쪽),10,1,6,0,8,31142,7,0,420
사각형 방 (중형),11,1,0,0,160,31138,12,0,130
사각형 방 (대형),12,1,0,0,6,31137,20,0,140
십자형 방,13,1,4,0,161,31131,4,0,330
팔각형 방 (소형),14,1,4,0,164,31136,4,0,210
팔각형 방 (대형),15,1,0,0,166,31134,16,0,230
기본 부지 중형,18,1,5,0,172,0,0,0,0
출입구,46,1,5,0,177,0,0,0,0
계단통 방 (비어 있음),48,1,6,0,179,31144,6,0,430
계단통 (오른쪽),50,1,6,0,180,31141,7,0,410
오그리마 의회실,132,3,8,0,202,35463,20,274673,840
오그리마 바위 구덩이 방,151,3,8,0,219,35465,5,274675,820
낮 원형 방,223,3,8,0,233,32639,8,272045,710
저녁 원형 방,233,3,8,0,255,32640,8,0,720
스톰윈드 무기고,273,3,8,0,305,35471,12,272997,930
스톰윈드 주방,277,3,8,0,326,35474,5,274667,920
스톰윈드 전시실,281,3,8,0,328,35472,5,274666,910
스톰윈드 대전당,282,3,8,0,336,35473,20,274665,940
실버문 병기고,283,3,8,0,337,35467,12,274663,1030
실버문 높은 서재,285,3,8,0,345,35469,20,274664,1040
실버문 전시실,286,3,8,0,346,35468,5,274661,1010
벨라메스 사원 방,287,3,8,0,347,35461,20,274670,1140
벨라메스 회의실,288,3,8,0,348,35460,12,274668,1130
벨라메스 극장,289,3,8,0,349,35462,5,274669,1120
벨라메스 아늑한 침실,290,3,8,0,350,35459,5,274671,1110
오그리마 극장,292,3,8,0,352,35466,12,274674,830
오그리마 전시실,294,3,8,0,353,35464,5,274676,810
실버문 작은 서재,307,3,8,0,371,35470,5,274662,1020
가을 서부 몰락지대 헛간,400,3,8,0,378,36094,18,276243,750
봄 서부 몰락지대 헛간,401,3,8,0,379,31138,18,276244,760
