ID,Name_lang,Description_lang,ButtonText_lang,RewardDescription_lang,ContinueDescription_lang,Type,PlayerConditionID,Flags,ButtonActionType,TextureFileDataID,LfgDungeonID,QuestID,BattleMasterListID,PriorityMin,PriorityMax,CurrencyType,CurrencyQuantity,UIMapID,BonusPlayerConditionID[0],BonusPlayerConditionID[1],BonusValue[0],BonusValue[1]
7,언덕마루 구릉지,호드의 이름으로 언덕마루 구릉지로 진격하는 포세이큰 전쟁 기계에 힘을 보태세요!,퀘스트 시작,,,0,33200,0,3,236779,0,28571,0,9,10,0,0,25,33600,0,1,0
8,잿빛 골짜기,"잿빛 골짜기에서 나이트 엘프를 몰아내고, 호드의 이름으로 그곳의 풍부한 자원을 차지하세요!",퀘스트 시작,,,0,33201,0,3,236713,0,28493,0,9,10,0,0,63,33636,0,1,0
9,통곡의 동굴,통곡의 동굴을 찾아가 사악한 송곳니의 드루이드와 맞서 싸워야 합니다.,파티 참여,,,6,33956,0,1,236450,1,0,0,7,8,0,0,0,33955,33976,0,0
10,죽음의 폐광,서부 몰락지대 지하의 버려진 광산을 탐험하며 데피아즈 결사단 무법자들과 싸워야 합니다.,파티 참여,,,6,33202,0,1,236409,6,0,0,7,8,0,0,0,33957,33974,0,0
12,그림자송곳니 성채,"은빛소나무 숲을 내려다보는 이 황폐한 어둠의 요새는, 몰락한 길니아스 귀족 잔당의 은거처이기도 합니다.",파티 참여,,,6,33774,0,1,463876,8,0,0,7,8,0,0,0,33958,33975,0,0
13,전쟁노래 협곡,깃발 쟁취 전장인 전쟁노래 협곡을 호드의 이름으로 정복해야 합니다.,전투 참여!,,,5,33717,1,4,236350,0,0,2,1,7,0,0,0,34691,0,1,0
14,아라시 분지,자원 경쟁 전장인 아라시 분지의 지배권을 두고 얼라이언스 플레이어들과 전쟁을 벌입니다.,전투 참여!,,,5,33718,1,4,236712,0,0,3,1,7,0,0,0,34691,0,1,0
17,성난불길 협곡,"오그리마 지하의 화산 동굴에서, 이글거리는 칼날단으로 알려진 어둠의 이교도에 맞서 싸워야 합니다.",파티 참여,,,6,33674,0,1,136216,4,0,0,7,8,0,0,0,33959,33977,0,0
21,무작위 던전,무작위 드레노어의 전쟁군주 던전을 공략하고 캐릭터의 장비를 강화하세요!,파티 참여,,,6,33723,0,1,1042626,788,0,0,7,8,0,0,0,0,0,0,0
27,무작위 전장,무작위 전장에서 다른 플레이어들과 전투를 벌이세요!,전투 참여!,,,5,34154,0,8,132269,0,0,32,2,3,0,0,0,33559,0,4,0
29,은빛소나무 숲,"포세이큰 고위 사령부를 도와, 호드의 이름으로 길니아스 항구를 정복하세요!",퀘스트 시작,,,0,33561,0,3,236830,0,28568,0,9,10,0,0,21,33596,0,1,0
30,바쉬르,얼라이언스의 수도 스톰윈드 해안 부근에 낯선 섬이 나타났습니다! 이곳을 차지하기 위해 출발하는 함대에 합류하세요.,퀘스트 시작,,,0,33562,0,3,409551,0,27718,0,9,10,0,0,203,33597,33748,0,0
31,하이잘 산,데스윙의 하수인들이 세계수를 공격하고 있습니다. 우리의 동맹인 세나리온 의회에 당신의 도움이 필요합니다!,퀘스트 시작,,,0,33563,0,3,409547,0,27721,0,9,10,0,0,198,33598,33748,0,0
32,심원의 영지,스랄과 대지 고리회가 심원의 영지 정령계를 공격하는 데 당신의 도움이 필요하다고 합니다!,퀘스트 시작,,,0,33564,0,3,409546,0,27722,0,9,10,0,0,207,33599,0,0,0
33,언덕마루 구릉지,호드의 이름으로 언덕마루 구릉지로 진격하는 포세이큰 전쟁 기계에 힘을 보태세요!,퀘스트 시작,,,0,33565,1,3,236779,0,28089,0,9,10,0,0,0,33600,0,0,0
34,북부 불모의 땅,북부 불모의 땅을 침략해 온 가시멧돼지와 켄타우로스를 처치하는 데 당신의 도움이 필요합니다!,퀘스트 시작,,,0,33566,0,3,236717,0,28494,0,9,10,0,0,10,33601,34301,1,1
35,아즈샤라,침공해 오는 얼라이언스 병력을 몰아내고 아즈샤라를 확보하여 호드의 영광을 빛내세요!,퀘스트 시작,,,0,33567,0,3,236714,0,28496,0,9,10,0,0,76,33602,34632,1,1
36,버섯구름 봉우리,버섯구름 봉우리를 지배하는 그림토템 부족과 맞서 호드 병력에 힘을 보태야 합니다.,퀘스트 시작,,,0,33568,0,3,236848,0,28504,0,9,10,0,0,64,33603,34328,1,1
37,타나리스,"호드와 빌지워터 무역회사를 도와, 얼라이언스보다 먼저 타나리스에 세력을 구축해야 합니다!",퀘스트 시작,,,0,33569,0,3,236846,0,28509,0,9,10,0,0,71,33604,0,1,0
38,페랄라스,얼라이언스와 그림토템 부족을 처치하고 페랄라스의 거대한 숲을 호드의 이름으로 차지하세요.,퀘스트 시작,,,0,33570,0,3,236764,0,28510,0,9,10,0,0,69,33605,34299,1,1
39,운고로 분화구,운고로 분화구의 비밀을 파헤치는 마샬 원정대에 도움의 손길이 필요합니다.,퀘스트 시작,,,0,33571,0,3,236850,0,28526,0,9,10,0,0,78,33606,0,1,0
40,실리더스,우리의 동맹인 세나리온 의회가 실리더스에서 황혼의 망치단을 몰아내는 데 당신의 도움이 필요합니다.,퀘스트 시작,,,0,33572,0,3,236829,0,28527,0,9,10,0,0,81,33607,0,1,0
41,돌발톱 산맥,돌발톱 산맥에서 얼라이언스를 몰아내고 호드의 일원들을 보호하는 데 당신의 도움이 필요합니다.,퀘스트 시작,,,0,33573,0,3,236831,0,28532,0,9,10,0,0,65,33611,0,1,0
42,악령숲,세나리온 의회가 악령숲에서 악마와 여러 타락한 생물체들을 없애려면 당신의 도움이 필요합니다!,퀘스트 시작,,,0,33574,0,3,236763,0,28542,0,9,10,0,0,77,33612,0,1,0
43,여명의 설원,도노바 스노우덴이 여명의 설원에서 겨울눈 펄볼그의 위협을 영구히 없앨 수 있는 방안을 찾아낸 모양입니다.,퀘스트 시작,,,0,33575,0,3,236854,0,28545,0,9,10,0,0,83,33613,0,1,0
44,잊혀진 땅,잊혀진 땅의 용감한 호드 전사들이 얼라이언스와 고대 악마들을 몰아내는 데 당신의 도움이 필요합니다.,퀘스트 시작,,,0,33576,0,3,236742,0,28548,0,9,10,0,0,66,33614,0,1,0
45,남부 불모의 땅,"최근 불모의 땅에서 얼라이언스가 승리한 이래, 적은 우리의 보급로를 끊으려고 합니다. 놈들을 막아야 합니다!",퀘스트 시작,,,0,33577,0,3,236717,0,28549,0,9,10,0,0,199,33615,0,1,0
46,먼지진흙 습지대,"먼지진흙 습지대에는 다양한 유형의 적이 우글거리고, 그곳의 얼라이언스 세력은 지나치게 강합니다.",퀘스트 시작,,,0,33578,0,3,236758,0,28554,0,9,10,0,0,70,33616,34294,1,1
47,울둠,"고대의 기록에 따르면, 울둠은 무엇과도 비교할 수 없는 부와 보물이 담긴 땅이라고 합니다. 호드의 이름으로 이 모든 것을 차지하세요!",퀘스트 시작,,,0,33579,0,3,409550,0,28557,0,9,10,0,0,249,33617,0,0,0
48,유령의 땅,우리 공통의 적인 스컬지와 싸우기 위해 포세이큰의 도움을 얻고 수많은 스컬지 침략자들을 쫓아내려면 당신의 힘이 필요합니다.,퀘스트 시작,,,0,33580,0,3,236765,0,28560,0,9,10,0,0,95,33618,0,1,0
49,아라시 고원,어둠의 여왕님의 병력이 호드의 영토를 확장하고 얼라이언스를 몰아내는 데 당신의 도움이 필요합니다.,퀘스트 시작,,,0,33581,0,3,236712,0,28572,0,9,10,0,0,14,33619,34630,1,1
50,동부 내륙지,동부 내륙지의 와일드해머 드워프가 공식적으로 얼라이언스에 합류했습니다. 놈들에게 본때를 보여주세요!,퀘스트 시작,,,0,33582,0,3,236780,0,28574,0,9,10,0,0,26,33620,34631,1,1
51,서부 역병지대,얼라이언스 병력이 황폐해진 안돌할을 차지하려 합니다. 적이 거점을 구축하기 전에 막아야 합니다!,퀘스트 시작,,,0,33583,0,3,236851,0,28575,0,9,10,0,0,22,33621,34629,1,1
52,동부 역병지대,은빛십자군이 동부 역병지대에서 세력을 강화하고 있습니다. 승기를 굳히려면 당신의 도움이 필요합니다.,퀘스트 시작,,,0,33584,0,3,236760,0,28577,0,9,10,0,0,23,33622,34627,1,1
53,황야의 땅,얼라이언스가 황야의 땅에 거점을 마련하려 합니다. 무슨 수를 써서든 적을 막아내세요!,퀘스트 시작,,,0,33585,0,3,236716,0,28580,0,9,10,0,0,15,33623,0,1,0
54,이글거리는 협곡,으스러진 손 부족의 보고에 따르면 이글거리는 협곡의 검은무쇠 드워프가 전쟁을 준비하고 있다고 합니다.,퀘스트 시작,,,0,33586,0,3,236815,0,28581,0,9,10,0,0,32,33624,0,1,0
55,불타는 평원,"아이트리그의 아들인 아리오크를 도와, 검은바위 오크의 맹목적인 공격을 막아내야 합니다.",퀘스트 시작,,,0,33587,0,3,236734,0,28667,0,9,10,0,0,36,33625,0,1,0
56,저주받은 땅,우레망치 요새의 호드 병력을 지휘하는 오크릴라가 오우거의 반란에 맞서 전초기지를 지키는 데 당신의 도움이 필요하다고 합니다.,퀘스트 시작,,,0,33588,0,3,236720,0,28671,0,9,10,0,0,17,33629,0,1,0
57,슬픔의 늪,무역남작 실버스냅을 설득해 호드에 무기와 탄약을 계속 원활하게 공급하게 만들어야 합니다!,퀘스트 시작,,,0,33589,0,3,236720,0,28677,0,9,10,0,0,51,33630,0,1,0
58,북부 가시덤불 골짜기,북부 가시덤불 골짜기의 지휘관이 보급로를 유지하는 데 당신의 도움이 필요하다고 합니다.,퀘스트 시작,,,0,33591,0,3,236844,0,28688,0,9,10,0,0,50,33631,0,1,0
59,가시덤불 곶,"가시덤불 곶의 우리 병력이, 밀림을 뒤덮은 해적 및 나가 세력과 맞서기 위해 당신 도움이 필요하다고 합니다.",퀘스트 시작,,,0,33592,0,3,236844,0,28704,0,9,10,0,0,210,33632,0,1,0
60,아웃랜드,산산이 조각난 아웃랜드에서 불타는 군단과 맞서 싸우는 데 당신의 솜씨가 필요합니다.,퀘스트 시작,,,0,33593,0,3,236813,0,28705,0,9,10,0,0,100,33633,0,0,0
61,노스렌드,노스렌드의 전쟁노래 공격대가 언데드 스컬지의 계속되는 위협을 막아내는 데 당신 도움이 필요합니다.,퀘스트 시작,,,0,33594,0,3,236812,0,28711,0,9,10,0,0,114,33634,34302,0,0
62,황혼의 고원,대족장의 명에 따라 황혼의 고원 공격을 준비해야 합니다!,퀘스트 시작,,,0,33595,0,3,409549,0,28717,0,9,10,0,0,241,33635,0,0,0
63,붉은마루 산맥,"붉은마루 산맥의 얼라이언스 병력이 너무 부족해, 당신의 도움이 필요합니다.",퀘스트 시작,,,0,33637,0,3,236814,0,28563,0,9,10,0,0,49,33638,0,1,0
64,동부 내륙지,얼라이언스의 새로운 형제가 아름다운 고향에서 호드의 공격을 막아내는 데 당신의 도움이 필요합니다.,퀘스트 시작,,,0,33639,0,3,236780,0,26542,0,9,10,0,0,26,33640,0,1,0
65,서부 몰락지대,"사람들이 머물 곳과 식량을 두고 다투기 시작하면서 서부 몰락지대의 범죄율이 치솟고 있습니다. 얼라이언스에 보탬이 되고 싶다면, 이곳이 좋은 출발점이 될 것입니다.",퀘스트 시작,,,0,33641,0,3,236852,0,28562,0,9,10,0,0,52,33642,0,1,0
66,그늘숲,그늘숲의 주민들이 당신의 도움을 애타게 기다리고 있습니다!,퀘스트 시작,,,0,33643,0,3,236757,0,28564,0,9,10,0,0,47,33644,0,1,0
67,바쉬르,최근 스톰윈드 항구 주변에서 호드가 우리 무역선을 공격하는 일이 많아졌습니다. 즉시 정의의 심판을 내려야 합니다!,퀘스트 시작,,,0,33645,0,3,409551,0,27724,0,9,10,0,0,203,33646,33713,0,0
68,하이잘 산,세나리온 의회에서 데스윙의 하수인들이 세계수에 대한 전면 공격을 시작했다고 알려 왔습니다. 어서 하이잘 산으로 가야 합니다!,퀘스트 시작,,,0,33648,0,3,409547,0,27726,0,9,10,0,0,198,33649,33713,0,0
69,심원의 영지,"대지 고리회가 도움을 요청해 왔습니다! 심원의 영지 정령계가 우리 세계를 집어삼키고, 아제로스의 모든 생명체를 파괴하려 합니다!",퀘스트 시작,,,0,33650,0,3,409546,0,27727,0,9,10,0,0,207,33651,0,0,0
70,어둠해안,로르다넬의 주민들이 황혼의 망치단에 맞서 마을을 지키는 데 당신 도움이 필요합니다.,퀘스트 시작,,,0,33652,0,3,236739,0,28490,0,9,10,0,0,62,33653,0,1,0
71,잿빛 골짜기,잿빛 골짜기에서 날뛰는 호드를 이제는 내버려 둘 수 없습니다! 침략자를 쫓아내고 소중한 숲의 질서를 되찾으세요.,퀘스트 시작,,,0,33657,0,3,236713,0,28492,0,9,10,0,0,63,33658,34292,1,1
72,버섯구름 봉우리,버섯구름 봉우리의 파수꾼들이 그 지역을 지배하는 그림토템 약탈자를 쫓아내기 위해 당신의 도움이 필요하다고 합니다.,퀘스트 시작,,,0,33659,0,3,236848,0,28503,0,9,10,0,0,64,33660,34328,1,1
73,타나리스,"타나리스에 있는 지역 남작을 설득하여, 그 사막의 값을 매길 수 없는 자원을 얼라이언스가 독점해야 합니다.",퀘스트 시작,,,0,33661,0,3,236846,0,28507,0,9,10,0,0,71,33662,0,1,0
74,페랄라스,페랄라스의 얼라이언스가 호드와 그림토템 부족을 물리치는 데 당신의 도움이 필요합니다.,퀘스트 시작,,,0,33663,0,3,236764,0,28511,0,9,10,0,0,69,33664,34298,1,1
75,운고로 분화구,운고로 분화구의 비밀을 밝혀내려는 마샬 원정대를 얼라이언스의 이름으로 지원해 주세요.,퀘스트 시작,,,0,33665,0,3,236850,0,28525,0,9,10,0,0,78,33666,0,1,0
76,실리더스,실리더스에 있는 세나리온 의회에서 황혼의 망치단의 맹공격을 막아내는 데 당신의 도움이 필요하다고 합니다.,퀘스트 시작,,,0,33667,0,3,236829,0,28528,0,9,10,0,0,81,33668,0,1,0
77,잊혀진 땅,잊혀진 땅의 용감한 병사들이 악마와 호드 군대에 괴롭힘을 당하고 있습니다. 당신의 도움이 필요합니다.,퀘스트 시작,,,0,33669,0,3,236742,0,28531,0,9,10,0,0,66,33670,0,1,0
78,돌발톱 산맥,호드 병력이 돌발톱 산맥으로 쳐들어오려 합니다. 어서 막아야 합니다!,퀘스트 시작,,,0,33671,0,3,236742,0,28539,0,9,10,0,0,65,33672,0,1,0
79,악령숲,"악령숲을 지배하는 악마의 세력을 몰아내기 위해, 에메랄드 성소에서 당신의 도움을 필요로 하고 있습니다.",퀘스트 시작,,,0,33673,0,3,236763,0,28543,0,9,10,0,0,77,33675,0,1,0
80,여명의 설원,여명의 설원에 있는 도노바 스노우덴이 겨울눈 펄볼그의 위협을 물리치려면 당신의 도움이 필요하다고 합니다.,퀘스트 시작,,,0,33676,0,3,236854,0,28544,0,9,10,0,0,83,33677,0,1,0
