Description_lang,ID,DataTag
초소형,1,65
소형,2,66
중형,3,67
대형,4,68
특대형,5,69
드워프,6,74
와일드해머 드워프,7,75
브론즈비어드 드워프 (아이언포지),8,76
검은무쇠 드워프,9,77
토석인 (도른),10,78
인간,11,79
스톰윈드,12,80
쿨 티란,13,81
길니아스 / 늑대인간,14,82
엘프,15,83
블러드 엘프,16,84
나이트 엘프,17,85
공허 엘프,18,86
나이트본,19,87
타우렌,20,88
드레나이,21,89
오크,22,90
고블린,23,91
불페라,24,92
트롤,25,93
검은창 트롤,26,94
잔달라 트롤,27,95
언데드,28,96
노움,29,97
판다렌,30,98
하라니르,31,452
클래식,32,99
불타는 성전,33,100
리치 왕의 분노,34,101
대격변,35,102
판다리아의 안개,36,103
드레노어의 전쟁군주,37,104
군단,38,105
격전의 아제로스,39,106
어둠땅,40,107
용군단,41,108
내부 전쟁,42,109
한밤,43,110
WoW 생일,44,111
가을 축제,45,112
어린이 주간,46,113
다크문 축제,47,114
망자의 날,48,115
화려한 불꽃놀이,49,116
할로윈 축제,50,117
추수절,51,118
온누리에 사랑을,52,119
달의 축제,53,120
한여름 불꽃축제,54,121
귀족의 정원,55,122
순례자의 감사절,56,123
해적의 날,57,124
겨울맞이 축제,58,125
기타,59,126
대담,60,141
일상적,61,142
포근,62,143
귀여움,63,144
우아함,64,145
페이,65,146
지옥,66,147
호화,67,148
빛,68,149
기계,69,150
자연,70,151
해적,71,152
낭만,72,153
수수함,73,154
으스스함,74,155
공허,75,156
브리쿨,76,157
엉뚱함,77,158
얼라이언스,78,159
호드,79,160
봄,80,161
여름,81,162
가을,82,163
겨울,83,164
경로 경로,84,202
양탄자 양탄자,85,201
컵 컵 머그잔 머그잔 술잔 맥주잔,86,196
날붙이류 은식기류 기구 포크 숟가락 나이프,87,198
술 술 음료 음료,88,195
음식 식사 잔칫상 간식,89,194
주방,90,199
접시 그릇 그릇,91,197
책 책 고서 고서,92,190
꽃병 꽃병,93,189
예술품 미술품 그림 캔버스,94,192
물 연못,95,236
의자 의자,96,177
긴 의자 긴 의자 소파 소파,97,178
보관장 보관장,98,185
선반 선반 선반,99,184
카운터 카운터 조리대 조리대,100,182
책상 책상,101,181
탁자 탁자,102,180
마네킹 마네킹,103,224
요리 요리용 오븐 화덕 조리기 석쇠,104,222
제작 제작 제작 전문 기술,105,221
기둥 기둥 대들보 대들보 말뚝,106,208
울타리 울타리 울타리,107,209
칸막이벽 칸막이벽 벽 벽,108,207
투박함,109,70
민속,110,71
풍족함,111,72
축제/이벤트,112,73
마법,113,458
드랙티르,114,484
