ID,Description_lang,Field_11_2_5_62687_001_lang
1,파티원,
2,공격대원,
3,거래,거래함
4,귓속말,귓속말함
5,상대가 납품한 공개 주문,내 공개 주문 제작 의뢰 납품함
6,본인이 납품한 공개 주문,상대의 공개 주문 제작 의뢰 납품함
7,상대가 납품한 개인 주문,내 주문 제작 의뢰 납품함
8,본인이 납품한 개인 주문,상대의 주문 제작 의뢰 납품함
9,상대가 납품한 길드 주문,내 주문 제작 의뢰 납품함
10,본인이 납품한 길드 주문,상대의 주문 제작 의뢰 납품함
11,생명체 처치,함께 싸움
12,던전 완료,함께 던전 완료
13,공격대 우두머리 처치,함께 공격대 공략함
14,공격대 찾기 우두머리 처치,함께 공격대 공략함
15,구렁 완료,함께 구렁 공략함
16,투기장 완료,함께 투기장에서 싸움
17,전장 완료,함께 전장에서 싸움
18,결투,결투를 펼침
19,애완동물 대전,애완동물 대전으로 맞붙음
20,플레이어 간 전투 처치,함께 플레이어 간 전투에 참여함
