ID,Answer_lang,Sort_Index,GMSurveyQuestionID
101,의견 없음,0,36
102,네,1,36
103,아니요,2,36
104,의견 없음,0,35
105,0,1,35
106,1,2,35
107,2,3,35
108,3,4,35
109,4,5,35
110,5,6,35
111,6,7,35
112,7,8,35
113,8,9,35
114,9,10,35
115,매우 불만족,1,37
116,불만족,2,37
117,보통,3,37
118,만족,4,37
119,매우 만족,5,37
120,10,11,35
121,의견 없음,0,37
152,만족,4,38
153,매우 만족,5,38
154,의견 없음,0,38
155,매우 불만족,1,38
156,불만족,2,38
157,보통,3,38
158,만족,4,39
159,매우 만족,5,39
160,의견 없음,0,39
161,매우 불만족,1,39
162,불만족,2,39
163,보통,3,39
164,만족,4,40
165,매우 만족,5,40
166,의견 없음,0,40
167,매우 불만족,1,40
168,불만족,2,40
169,보통,3,40
170,만족,4,41
171,매우 만족,5,41
172,의견 없음,0,41
173,매우 불만족,1,41
174,불만족,2,41
175,보통,3,41
184,매우 불만족,0,42
185,,1,42
186,,2,42
187,,3,42
188,매우 만족,4,42
189,매우 그렇지 않다,0,43
190,,1,43
191,,2,43
192,,3,43
193,매우 그렇다,4,43
194,의견 없음,5,43
195,매우 그렇지 않다,0,44
196,,1,44
197,,2,44
198,,3,44
199,매우 그렇다,4,44
200,매우 불만족,0,45
201,,1,45
202,,2,45
203,,3,45
204,매우 만족,4,45
205,전혀 동의하지 않는다,0,46
206,,1,46
207,,2,46
208,,3,46
209,적극 동의한다,4,46
210,의견 없음,5,46
211,전혀 동의하지 않는다,0,47
212,,1,47
213,,2,47
214,,3,47
215,적극 동의한다,4,47
216,의견 없음,5,47
217,전혀 동의하지 않는다,0,48
218,,1,48
219,,2,48
220,,3,48
221,적극 동의한다,4,48
222,의견 없음,5,48
223,전혀 동의하지 않는다,0,49
224,,1,49
225,,2,49
226,,3,49
227,적극 동의한다,4,49
228,의견 없음,5,49
229,네,0,50
230,아니요,1,50
231,매우 불만족,0,51
232,,1,51
233,,2,51
234,,3,51
235,매우 만족,4,51
236,의견 없음,5,51
249,의견 없음,5,42
251,의견 없음,5,44
252,의견 없음,5,45
320,,1,53
321,,2,53
322,,3,53
323,적극 동의한다,4,53
324,의견 없음,5,53
325,전혀 동의하지 않는다,0,53
352,의견 없음,5,52
359,1,4,52
366,2,3,52
373,3,2,52
380,4회 이상,1,52
394,아직 해결되지 않음,0,52
