ID,Body_lang
83,시험용 편지입니다.
84,"나를 방문해 주어서 고맙군, $n. 우리가 잊혀지지 않았다는 사실을 알게 되어 행복하다네."
85,"나를 방문해 주어서 고맙군, $n. 우리가 잊혀지지 않았다는 사실을 알게 되어 행복하다네."
86,이 징표가 자네에게 해답을 주진 않겠지만 자네에게 작은 즐거움이 될 걸세.
87,"안녕하세요. 구버 블럼프예요. 절 기억하실 거라 믿어요.

잘 지내고 계시죠? 이왕이면 낚시도 잘하고 계셨으면 좋겠네요. 전 낚시가 정말 좋아요. 일단 블럼프가 하면 낚시로 알아주잖아요. 낚시 실력을 닦는데 도움 좀 되라고 미끼를 조금 동봉했어요. 제가 정말 좋아하는 미끼죠. 행운을 빌어요. 참, 일전에 농어 잡아다준 일은 두고두고 고맙게 생각할게요.

그럼 전 이만 적고 다시 낚시하러 가야겠어요!

구버 블럼프"
88,"나를 방문해 주어서 고맙군, $n. 우리가 잊혀지지 않았다는 사실을 알게 되어 행복하다네."
89,"나를 방문해 주어서 고맙군, $n. 우리가 잊혀지지 않았다는 사실을 알게 되어 행복하다네."
90,"나를 방문해 주어서 고맙군, $n. 우리가 잊혀지지 않았다는 사실을 알게 되어 행복하다네."
91,이 징표가 자네에게 해답을 주진 않겠지만 자네에게 작은 즐거움이 될 걸세.
92,"나를 방문해 주어서 고맙군, $n. 우리가 잊혀지지 않았다는 사실을 알게 되어 행복하다네."
93,"안녕하세요, $n!$B$B당신이 가져다 준 문서를 모두 읽고 몇 가지 기사를 해독하여 이 편지에 동봉합니다. 쓸모가 있을 거라고 생각되는 정보만 신중하게 선택했습니다. 들키지 않고 우체통까지 가는 것이 꽤나 골치 아픈 문제였답니다. 하지만 사막에 숨어서 지낸 것이 몇 달인데 그 정도도 못하겠습니까?$B$B재미있게 읽으세요.$B$B-오르텔"
94,"안녕하세요, $n!$B$B세나리온 요새에 잠입해서 우체통을 사용하는 일에 점점 익숙해지고 있답니다. 이번에도 흥미를 끌 만한 정보들을 동봉했어요. 그 안에 당신에게 필요한 정보가 많았으면 좋겠군요!$B$B-오르텔"
95,"나를 방문해 주어서 고맙군, $n. 우리가 잊혀지지 않았다는 사실을 알게 되어 행복하다네."
