ID,Name_lang,Description_lang,ToastDescription_lang,CovenantID,Level,Icon,Flags,UiOrder,ItemID,SpellID,MountID,TransmogID,TransmogSetID,CharTitlesID,GarrFollowerID,TransmogIllusionID,Field_12_0_0_63534_016,QuestID,PlayerConditionID
18,,이 모험가를 영입하려면 감시자 베스퍼블룸과 대화하십시오.,새로운 모험가 영입 가능,3,4,0,0,0,0,0,0,0,0,0,1283,0,8,64508,0
19,영혼결속 강화: 니야,니야의 세 번째 영혼결속 특성 줄을 사용할 수 있도록 합니다.,니야 영혼결속 줄 잠금 해제,3,3,3684884,2,0,0,0,0,0,0,0,0,0,0,64508,0
22,영혼결속 강화: 니야,니야의 네 번째 영혼결속 특성 줄을 사용할 수 있도록 합니다.,니야 영혼결속 줄 잠금 해제,3,7,3684884,2,0,0,0,0,0,0,0,0,0,0,64508,0
23,,이 모험가를 영입하려면 감시자 베스퍼블룸과 대화하십시오.,새로운 모험가 영입 가능,3,12,0,0,0,0,0,0,0,0,0,1285,0,8,64508,0
25,영혼결속 강화: 드림위버,드림위버의 네 번째 영혼결속 특성 줄을 사용할 수 있도록 합니다.,드림위버 영혼결속 줄 잠금 해제,3,9,3684882,2,0,0,0,0,0,0,0,0,0,0,64508,0
28,영혼결속 강화: 드림위버,드림위버의 다섯 번째 영혼결속 특성 줄을 사용할 수 있도록 합니다.,드림위버 영혼결속 줄 잠금 해제,3,13,3684882,2,1,0,0,0,0,0,0,0,0,0,0,0
29,,영예 병참장교에게서 이 되찾은 기억을 구매할 수 있습니다.,새로운 되찾은 기억 구매 가능,3,14,0,0,0,183249,0,0,0,0,0,0,0,1,64508,0
31,영혼결속 강화: 니야,니야의 다섯 번째 영혼결속 특성 줄을 사용할 수 있도록 합니다.,니야 영혼결속 줄 잠금 해제,3,10,3684884,2,0,0,0,0,0,0,0,0,0,0,64508,0
32,,이 모험가를 영입하려면 감시자 베스퍼블룸과 대화하십시오.,새로운 모험가 영입 가능,3,17,0,0,1,0,0,0,0,0,0,1284,0,8,0,0
33,전역 퀘스트 보상,전역 퀘스트 보상의 아이템 레벨이 증가합니다.,전역 퀘스트 최대 아이템 레벨 증가,3,10,236668,0,1,0,0,0,0,0,0,0,0,0,63220,88686
35,,,새로운 형상 구매 가능,3,6,0,0,0,0,0,0,113562,0,0,0,0,4,64508,0
36,,영예 병참장교에게서 환영: 자연의 영혼을 구매할 수 있습니다.,환영: 자연의 영혼 구매 가능,3,36,0,0,0,0,0,0,0,0,0,0,71,6,64508,0
37,,영예 병참장교에게서 나이트 페이 귀환석 장난감을 구매할 수 있습니다.,나이트 페이 귀환석 구매 가능,3,11,0,0,1,180290,0,0,0,0,0,0,0,1,0,0
39,나이트 페이 대장정: 드러스트와 재,나이트 페이 대장정의 다음 장을 시작할 수 있습니다. 이 장을 완료하면 사냥대장 코레인과 영혼결속을 할 수 있게 됩니다.,새로운 대장정 퀘스트 수행 가능,3,22,1500884,1,0,0,0,0,0,0,0,0,0,0,64508,0
