Name_lang,Description_lang,ID,HouseLevelDataID,Field_12_0_0_63967_004,IconFileDataID
첫 방 획득,수많은 기본 방으로 나만의 집을 만들어 보십시오. 집에 오신 걸 환영합니다!,11,35,0,4217590
실외 장식,마당에는 200점의 하우징 장식을 배치할 수 있습니다.,12,35,1,8164790
난로불빛 팔찌,난로불빛 팔찌를 획득합니다. 주인의 집 안팎의 주변 조명을 조절해 밝기를 키우거나 낮출 수 있는 놀라운 장치입니다.|n|n거주구에 있는 최후의 설계사에게서 추가로 구매할 수 있습니다.,23,52,0,7487068
중간 규모 집 실외,집에 중간 규모 집 실외를 사용할 수 있습니다.,24,53,0,7252953
방 및 하우징 장식 배치 예산 증가,"이 레벨에서 방 배치 예산과 하우징 장식 배치 예산이 크게 증가합니다. (방 배치 예산은 10만큼, 하우징 장식 배치 예산은 500만큼 증가)",26,55,0,135769
방 및 하우징 장식 배치 예산 증가,"이 레벨에서 방 배치 예산과 하우징 장식 배치 예산이 크게 증가합니다. (방 배치 예산은 10만큼, 하우징 장식 배치 예산은 500만큼 증가)",27,56,0,135769
실외 장식 증가,"마당에 하우징 장식 50점을 추가로 배치할 수 있게 되어, 총 250점에 해당하는 하우징 장식을 배치할 수 있습니다.",30,30,0,8164790
실외 장식 증가,"마당에 하우징 장식 50점을 추가로 배치할 수 있게 되어, 총 300점에 해당하는 하우징 장식을 배치할 수 있습니다.",38,34,0,8164790
실외 장식 증가,"마당에 하우징 장식 50점을 추가로 배치할 수 있게 되어, 총 350점에 해당하는 하우징 장식을 배치할 수 있습니다.",39,55,1,8164790
아득한 땅의 보물,매주 한 번씩 거주구에 있는 최후의 설계사를 찾아가 비전저장 구체를 받을 수 있습니다. 비전저장 구체에는 최후의 설계사가 소장품 중에서 엄선한 무작위 하우징 장식이 하나 들어 있습니다.,40,66,0,7137527
방 및 하우징 장식 배치 예산 증가,"이 레벨에서 방 배치 예산과 하우징 장식 배치 예산이 크게 증가합니다. (방 배치 예산은 10만큼, 하우징 장식 배치 예산은 500만큼 증가)",41,67,0,135769
대형 규모 집 실외,집에 대형 규모 집 실외를 사용할 수 있습니다.,42,68,0,7252953
