Name_lang,Description_lang,ID,FiledataID
과잉,대상의 최대 생명력을 초과하는 치유량은 치유 흡수 효과로 전환됩니다.,1,463570
변덕,모든 적에 대해 방어 전담이 생성하는 위협 수준이 감소합니다.,2,135994
화산,전투 중 주기적으로 적이 멀리 떨어진 플레이어의 발 밑에서 불길이 솟아나오게 합니다.,3,451169
괴저,"모든 적의 근접 공격이 중첩되는 역병 효과를 부여하여, 대상에게 지속 피해를 입히고 받는 치유 효과를 감소시킵니다.",4,1029009
무리,던전 내의 우두머리가 아닌 적의 수가 증가합니다.,5,136054
분노,"우두머리가 아닌 적의 남은 생명력이 30% 이하로 떨어지면 격노 상태가 되어, 죽기 전까지 공격력이 50%만큼 증가합니다.",6,132345
강화,"우두머리가 아닌 적이 죽으면 그 죽음의 메아리가 주위의 아군을 강화하여, 일시적으로 최대 생명력이 15%만큼, 공격력이 20%만큼 증가합니다.",7,132333
피웅덩이,"우두머리가 아닌 적이 죽으면 수액 웅덩이가 남아, 적의 아군을 치유하고 플레이어에게 피해를 입힙니다.",8,136124
폭군,우두머리의 생명력이 30%만큼 증가합니다. 우두머리와 그 하수인의 공격력이 최대 15%만큼 증가합니다.,9,236401
경화,"우두머리가 아닌 적의 생명력이 20%만큼, 공격력이 30%만큼 증가합니다.",10,463829
파열,"우두머리가 아닌 적이 사망 시 파열이 발생해, 모든 플레이어가 피해를 4초에 걸쳐 입습니다. 이 효과는 중첩됩니다.",11,1035055
치명상,부상당한 플레이어는 치유될 때까지 점차 증가하는 지속 피해를 받습니다.,12,132090
폭탄,전투 중에 적이 주기적으로 폭발성 보주를 소환합니다. 보주는 파괴되지 않으면 폭발합니다.,13,2175503
전율,모든 플레이어에게 주기적으로 파장이 발생합니다. 이 파장은 자신 및 주위 아군에게 피해를 입히고 주문 시전을 차단합니다.,14,136025
감염,우두머리 아닌 적의 일부가 그훈의 피조물에 감염되었습니다.,16,2032223
수확,"우두머리가 아닌 적이 브원삼디에 의해 강화되어, 주기적으로 무덤 밖으로 나와 복수의 대상을 찾습니다...",117,2446016
미혹,던전 전역에서 아즈샤라의 사절이 출현합니다.,119,237565
각성,던전 구석구석 배치된 방첨탑을 통해 나이알로사로 들어가 느조스의 강력한 하수인과 맞서야 합니다. 하수인을 처리하지 않으면 최종 우두머리와 전투를 벌일 때 상대해야 합니다.,120,442737
교만,우두머리가 아닌 적을 처치하면 플레이어가 교만으로 넘쳐나 끝내 교만의 현신을 형성시킵니다. 이 현신을 처치하면 플레이어가 크게 강화됩니다.,121,3528307
고취,일부 우두머리가 아닌 적이 아군을 강화하는 고무적인 기운을 발산합니다.,122,135946
원한,우두머리가 아닌 적의 시체에서 마귀가 나타나 무작위 플레이어를 추적합니다.,123,135945
폭풍,전투 중에 적이 주기적으로 피해를 입히는 돌개바람을 소환합니다.,124,136018
고통,던전 곳곳에서 간수의 종복이 출현합니다. 이들을 처치하면 강력한 은총을 받습니다. 종복을 처리하지 않으면 마지막 우두머리가 강화됩니다.,128,3528304
지옥불,지옥불 신호기는 몇몇 우두머리 근처에서 찾을 수 있습니다. 신호기를 활성화하거나 근처 우두머리와 전투를 시작하면 군단 침공이 시작됩니다.,129,1394959
암호,던전에 태초의 존재의 유물을 가진 적이 출현합니다. 유물을 파괴하면 태초의 존재의 자동기계가 소환됩니다. 자동기계를 파괴하는 순서에 따라 강력한 추가 효과를 얻습니다.,130,4038106
장막,나스레짐 침입자들이 변장해 던전 곳곳의 적들 사이로 숨어들었습니다. 이 침입자들을 잡는다면 타 중개단이 후한 사례를 할 것입니다.,131,136177
천둥,"적의 생명력이 5% 더 증가합니다. 전투 중 플레이어가 주기적으로 라자게스의 끝없는 폭풍에 휘말려 원시의 힘으로 충만해집니다. 이 힘에는 큰 위험이 따르며, 신속하게 방출하지 않으면 정신이 아득해지는 결과가 뒤따릅니다.",132,1385910
[PH],[PH],133,0
