ID,Name_lang,HonorLevel,BadgeTextureFileDataID,Flags,AwardedAchievementID
1,명예 5 레벨,5,1375574,0,12893
2,명예 10 레벨,10,1375575,0,12894
3,명예 15 레벨,15,1375576,0,12895
4,명예 20 레벨,20,1375577,0,12900
6,명예 25 레벨,25,1551554,1,12901
8,명예 30 레벨,30,1551555,1,12902
9,명예 40 레벨,40,1551556,1,12903
10,명예 50 레벨,50,1551557,1,12904
11,명예 60 레벨,60,1567394,0,12905
12,명예 70 레벨,70,1597388,0,12906
13,명예 80 레벨,80,1597390,0,12907
14,명예 90 레벨,90,1597392,0,12908
15,명예 100 레벨,100,1597394,0,12909
16,명예 125 레벨,125,1597397,0,12910
17,명예 150 레벨,150,1597398,0,12911
18,명예 175 레벨,175,1597399,0,12912
19,명예 200 레벨,200,1597400,0,12913
20,명예 250 레벨,250,1713158,0,12914
21,명예 300 레벨,300,1713159,0,12915
22,명예 400 레벨,400,1713160,0,12916
23,명예 500 레벨,500,1713161,0,12917
24,명예 600 레벨,253,1713162,0,0
25,명예 750 레벨,254,1713163,0,0
26,명예 1000 레벨,255,1713164,0,0
