ID,Name_lang,LocaleMask,Create_charsetMask,Existing_charsetMask,Flags,Order
1,개발,0,0,0,0,-127
2,미국,0,1,1,0,0
3,오세아니아,0,1,1,0,0
4,라틴 아메리카,0,1,1,0,0
5,토너먼트,0,1,1,1,50
6,한국,0,10,10,0,0
7,토너먼트,0,10,10,1,50
8,영어,3277,1,1,0,0
9,독일어,3277,1,1,0,0
10,프랑스어,3277,1,1,0,0
11,스페인어,3277,1,1,0,0
12,러시아어,256,4,4,0,0
13,토너먼트,0,1,1,1,50
14,대만,0,17,17,0,-127
15,토너먼트,0,17,17,1,50
16,중국,0,17,17,0,0
17,CN1,0,17,17,0,0
18,CN2,0,17,17,0,0
19,CN3,0,17,17,0,0
20,CN4,0,17,17,0,0
21,CN5,0,17,17,0,0
22,CN6,0,17,17,0,0
23,CN7,0,17,17,0,0
24,CN8,0,17,17,0,0
25,토너먼트,0,17,17,1,50
26,테스트 서버,0,0,0,0,0
27,토너먼트,0,0,0,1,50
28,QA 서버,0,0,0,0,0
29,CN9,0,17,17,0,0
30,테스트 서버 2,0,0,0,0,0
31,CN10,0,17,17,0,0
32,CTC,0,17,17,0,0
33,CNC,0,17,17,0,0
34,CN1/4,0,17,17,0,0
35,CN2/6/9,0,17,17,0,0
36,CN3/7,0,17,17,0,0
37,CN5/8,0,17,17,0,0
38,러시아 토너먼트,256,4,4,1,51
39,CN11,0,17,17,0,0
40,CN12,0,17,17,0,0
41,CN13,0,17,17,0,0
42,CN14,0,17,17,0,0
43,CN15,0,17,17,0,0
44,CN16,0,17,17,0,0
45,CN17,0,17,17,0,0
46,CN18,0,17,17,0,0
47,CN19,0,17,17,0,0
48,CN20,0,17,17,0,0
49,브라질,0,1,1,0,0
50,이탈리아어,3277,1,1,0,0
51,Hyrule,0,0,0,0,0
52,QA2 Test,0,0,0,0,0
55,추천 서버,0,17,17,0,0
56,시험용,0,1,1,0,80
58,Future Test,0,1,1,0,80
159,Regional Test,0,0,0,0,80
160,클래식,0,0,0,0,0
161,클래식,0,0,0,0,0
162,미국 서부,0,1,1,0,-50
163,미국 동부,0,1,1,0,-49
164,Automation,0,0,0,0,0
165,Era Test,0,0,0,0,0
166,클래식 시대,0,1,1,0,0
167,클래식 시대,3277,1,1,0,0
168,클래식 시대,0,10,10,0,0
169,클래식 시대,0,17,17,0,0
170,클래식 시대,0,17,17,0,0
171,시즌,0,1,1,0,-127
172,시즌,3277,1,1,0,-127
173,시즌,0,10,10,0,-127
174,시즌,0,17,17,0,-127
175,시즌,0,17,17,0,-127
179,테스트,0,17,17,0,-127
180,글로벌,0,17,17,0,0
181,하드코어,0,0,0,0,0
182,시즌,0,0,0,0,0
183,Internal Dev,0,0,0,2,0
184,개발자 3,0,1,1,2,0
185,PS,0,1,1,2,0
186,베타,0,0,0,0,0
187,넷이즈 시험용,0,17,17,0,0
188,노스렌드로의 귀환,0,1,1,2,0
189,진행,0,1,1,0,0
190,진행,3277,1,1,0,0
191,진행,0,10,10,0,0
192,진행,0,17,17,0,0
193,진행,0,17,17,0,0
194,기념일,0,1,1,0,-127
195,기념일,0,10,10,0,-127
196,기념일,3277,1,1,0,-127
197,기념일,0,17,17,0,-127
198,기념일,0,17,17,0,-127
199,클래식 시대,0,17,17,0,0
201,클래식 시대,0,0,0,0,0
202,기념일,0,0,0,0,0
203,활성화,0,1,1,0,-50
204,낭만,0,1,1,0,-49
205,활성화,0,1,1,0,-50
206,낭만,0,1,1,0,-49
207,Titan-Reforged,0,17,17,0,0
