ID,Name_lang,Description_lang,BountySetID,SkillLineID,DeathTeleportSpellID,Field_9_0_2_36165_006,Field_9_0_2_36165_007,FactionID,CurrencyTypesID,RequiredPlayerConditionID
1,키리안,키리안은 내세의 굳건한 수호자이자 망자의 영혼을 어둠땅으로 이끄는 인도자입니다. 오로지 자격 있는 자만이 책무와 봉사에 영원한 헌신을 다하는 이들과 어깨를 나란히 할 수 있을 것입니다.,111,2730,315066,346042,346046,2407,1829,0
2,벤티르,"벤티르는 도를 넘는 교만과 사악함을 짊어진 영혼을 살피는 귀족적인 감시자입니다. 이들은 고통받는 영혼을 엄중한 길로 이끌어 속죄를 향해 나아가게 하며, 령을 수확해 자신들의 영역을 강성하게 가꿔 나갑니다.",112,2731,344545,346037,346043,2413,1830,0
3,나이트 페이,"나이트 페이는 쓰러진 자연의 영혼이 평온한 숲에서 잠잘 수 있도록 보살핍니다. 자연과 심대한 유대를 맺은 자는 이들의 대의에 동참하여, 회복을 마친 영혼이 언젠가 영원한 순환으로 돌아가도록 일조할 수 있습니다.",114,2732,344538,346039,346044,2465,1831,0
4,강령군주,강령군주의 사회에서 힘은 보상을 부르고 나약함은 도태를 초래합니다. 이들과 함께하는 야심만만하고 호전적인 영혼은 어둠땅의 방위를 책임지는 불멸의 군대로서 벼려집니다.,113,2733,344544,346041,346045,2410,1832,0
12,마루크 켄타우로스,온아라 평야에서 살아가는 여러 켄타우로스 부족은 마루크 켄타우로스란 통칭으로 불립니다.,119,0,0,0,0,2503,2002,104408
13,용비늘 원정대,탐험가 연맹과 성물회가 힘을 합쳐 용의 섬을 탐험할 원정대를 꾸렸습니다.,119,0,0,0,0,2507,2021,104394
14,이스카라 투스카르,용의 섬에서 살아가는 굳센 투스카르 부족입니다.,119,0,0,0,0,2511,2087,104409
15,발드라켄 협의회,"발드라켄은 찬란하게 빛나는 용군단의 수도이며, 다시 한번 필멸자 종족을 지원하고자 협의회가 설립된 장소이기도 합니다.",119,0,0,0,0,2510,2088,104407
20,로암 니펜,니펜은 용의 섬 지하의 로암에서 살아가는 종족입니다.,119,0,0,0,0,2564,2402,108239
21,꿈의 감독관,모든 위협에 맞서 에메랄드의 꿈을 지키고자 결성된 여러 종족의 연합체입니다.,119,0,0,0,0,2574,2653,115959
23,술통다리 해적단,선장 술통다리를 중심으로 뭉쳐 온갖 사건 사고를 일으키고 다니는 자유분방한 이단아들입니다.,0,0,0,0,0,2593,2814,119189
24,도르노갈 의회,[DNT],120,0,0,0,0,2590,2900,117972
25,심연의 회합,[DNT],120,0,0,0,0,2594,2898,117991
26,신성한 협곡 아라시,[DNT],120,0,0,0,0,2570,2901,118011
27,단절된 실톳,[DNT],120,0,0,0,0,2600,2904,118037
28,[DNT] 11.0 Delves Season 1,[DNT],0,0,0,0,0,2644,3022,121067
29,[DNT] TBD The Undermine,[DNT] The Undermine,120,0,0,0,0,2653,3120,129040
30,크아레쉬 합작회,[DNT],120,0,0,0,0,2658,3128,129096
31,[DNT] 11.0 Delves Season 2,[DNT],0,0,0,0,0,2683,3130,129178
32,갤라지오 충성 보상,[DNT],0,0,0,0,0,2685,3315,132346
33,불꽃의 광휘,[DNT],0,0,0,0,0,2688,3140,130290
34,[DNT] 11.0 Delves Season 3,[DNT],0,0,0,0,0,2722,3271,135812
35,마나괴철로 파괴단,[DNT],0,0,0,0,0,2736,3305,140006
