Name_lang,FemaleName_lang,Description_lang,ID,ClassID,OrderIndex,PetTalentType,Role,Flags,SpellIconFileID,PrimaryStatPriority,AnimReplacements,MasterySpellID[0],MasterySpellID[1]
비전,비전,"원초적인 비전 마법을 부려 압도적인 힘으로 적을 파괴합니다.

선호 무기: 지팡이, 마법봉, 단검, 도검",62,8,0,0,2,3,135932,0,362,190740,0
화염,화염,"화염 마법의 순수한 정수에 집중하여, 맹렬한 불꽃으로 적을 공격합니다.

선호 무기: 지팡이, 마법봉, 단검, 도검",63,8,1,0,2,3,135810,0,362,12846,0
냉기,냉기,"냉기 마법을 사용하여 적을 얼리고 산산조각 내어 처치합니다.

선호 무기: 지팡이, 마법봉, 단검, 도검",64,8,2,0,2,67,135846,0,362,76613,0
신성,신성,"빛의 힘을 사용하여 아군을 보호하고 치료하며, 세상 가장 어두운 곳의 악을 제거합니다.

선호 무기: 도검, 둔기, 방패",65,2,0,0,1,5,135920,1,0,183997,0
보호,보호,"신성 마법을 이용하여 자신과 아군을 공격으로부터 보호합니다.

선호 무기: 도검, 둔기, 도끼, 방패",66,2,1,0,0,4,236264,5,0,76671,0
징벌,징벌,"정의감에 불타는 성전사입니다. 무기와 신성 마법을 이용하여 적을 처벌합니다.

선호 무기: 양손 도검, 둔기, 도끼",70,2,2,0,2,68,135873,5,0,267316,0
무기,무기,"무기를 잘 활용하는 전투의 달인입니다. 기동성과 압도적인 공격력을 바탕으로 적을 쓰러뜨립니다.

선호 무기: 양손 도끼, 둔기, 도검",71,1,0,0,2,68,132355,5,0,262111,0
분노,분노,"광폭하게 적을 공격하는 쌍수 광전사입니다. 적을 질풍과 같이 공격하여 산산조각냅니다.

선호 무기: 쌍수 양손 도끼, 둔기, 도검",72,1,1,0,2,20,132347,5,0,76856,0
방어,방어,"방패를 사용하여 자신과 아군을 안전하게 보호하는 강인한 수호자입니다.

선호 무기: 도끼, 둔기, 도검, 방패",73,1,2,0,0,4,132341,5,0,76857,0
야성,야성,"광적인 끈기에 휩싸여 먹이를 추적하며, 승리를 쟁취할 때까지 절대 멈추지 않습니다. 이 포식자들에게는 죽음조차도 찰나에 불과합니다.",74,0,0,0,2,0,236159,0,0,0,0
교활,교활,자신과 아군이 받는 치명적인 공격의 피해를 노련하게 완화시킬 수 있는 교활한 생물입니다.,79,0,2,2,2,0,132150,0,0,0,0
끈기,끈기,"아군에게 위험이 닥치면 여지없이 두꺼운 가죽과 방어적인 외형으로 보호하는, 충실하고 노련미 넘치는 수호자입니다.",81,0,1,1,0,0,132121,0,0,0,0
