ID,Name_lang,GarrClassSpecID,PlayerConditionID,IconFileDataID,FlavorGarrStringID,OrderIndex
9,임프 무리,102,42846,1396680,47,0
10,날뛰는 임프 떼,102,40902,1396698,48,1
11,암흑의 수확 수행사제,103,41214,1396691,49,0
16,암흑의 수확 기원사,103,41213,1452660,50,1
17,티리스가드 수습생,72,41574,1396696,20,0
18,키린 토 기원사,72,41575,1396699,21,1
19,물의 정령,73,42839,1396675,18,0
20,비전 골렘,73,41573,1401852,19,1
21,흑우 수습생,67,42840,1396688,22,0
22,흑우 숙련병,67,40092,1396705,23,1
23,백호 수습생,66,40012,1396706,25,0
24,백호 숙련병,66,40138,1396707,26,1
25,하급 정령,97,42847,1396645,40,0
26,상급 정령,97,41422,1396658,41,1
27,대지술사 무리,98,40260,1396708,42,0
28,대지 고리회 흙점쟁이,98,41421,1401884,43,1
29,승천자,139,41525,1396660,44,0
30,궁수 분대,86,42842,1401885,14,0
31,드러나지 않은 명사수,86,41557,1401886,15,1
32,추적자 무리,85,41559,1401887,16,0
33,길잡이,85,41560,1401888,17,1
34,꿈숲 나무정령,81,42843,1396694,10,0
35,세나리우스의 딸,81,41580,1396686,11,1
36,발톱의 드루이드,82,41581,1396668,12,0
37,숲의 수호자,82,41582,1396684,13,1
38,종자 분대,87,42841,1396701,28,0
39,방패병 결사단원,87,41588,1396702,29,1
40,은빛 성기사단 기사,88,41589,1396703,30,0
41,은빛 성기사단 기사단원,88,41590,1396704,31,1
42,발라리아르 지원자,99,42845,1401869,51,0
43,폭풍벼림 발라리아르,99,41592,1401871,52,1
44,방패여전사 전투부대,100,41593,1401854,53,0
45,발키라 방패여전사,100,41594,1401874,54,1
46,잿빛혓바닥 전사,79,42844,1401873,6,0
47,나가 미르미돈,79,41635,1401889,7,1
48,일리다리 숙련병,80,41636,1401865,8,0
49,변신한 일리다리 숙련병,80,41637,1401883,9,1
50,구울 무리,75,42837,1401858,2,0
51,외눈깨비 무리,75,42838,1401859,3,1
52,칠흑의 기사단 기사,76,41676,1401866,4,0
53,칠흑의 약탈자,76,41677,1401855,5,1
54,좀도둑 무리,93,42848,1401891,36,0
55,데피아즈단 도둑,93,41707,1401892,37,1
56,무관의 결투사,94,41705,1401893,38,0
57,해적 무리,94,41704,1401894,39,1
58,천신,105,40060,1401861,59,0
59,수행사제 무리,91,42849,1086381,32,0
60,황천빛 용장,91,41906,1066217,33,1
61,광신도 무리,92,41907,1066169,34,0
62,암흑 광신도,92,41908,1066121,35,1
63,전쟁의 고대정령,96,42818,1452563,58,0
64,누더기골렘,77,43780,1401851,0,0
65,갈퀴흉터 투사,144,47107,1551349,0,0
66,그림토템 전사,145,47112,1551342,80,0
67,키린 토 수호병,147,48413,1604890,68,0
68,칠흑의 기사단 서리약탈자,148,48417,1605028,64,0
69,강습병,149,49177,1605040,75,0
70,꿈숲 감시자,150,48415,1589538,66,0
71,쉬바라,151,48416,1589536,65,0
72,대지 고리회 수호자,152,48408,1589546,73,0
73,평온의 대가,153,48412,1605031,69,0
74,지옥수호병 투사,154,48407,1589549,74,0
75,두건 쓴 사제,155,48410,1589544,71,0
76,은빛 성기사단 성전사,156,48411,1605020,70,0
77,라벤홀트의 암살자,157,48409,1605036,72,0
78,나이트본 사냥꾼,158,48414,1551348,67,0
80,강습병,149,49178,1605021,75,1
81,크로쿨 마루추적자,160,50765,1712229,77,0
82,공허에서 벗어난 크로쿨,161,51511,1712228,78,0
83,빛벼림 방어병,162,51512,1694048,76,0
