DisplayName_lang,VerboseName_lang,ID,ClassID,SubClassID,AuctionHouseSortOrder,PrerequisiteProficiency,Flags,DisplayFlags,WeaponSwingSize,PostrequisiteProficiency
가방,,2,1,0,0,-1,0,0,0,-1
도끼,한손 도끼류,3,2,0,0,-1,3,0,1,1
도끼,양손 도끼류,4,2,1,0,0,3,0,2,-1
활,활류,5,2,2,0,-1,128,0,1,-1
총,총기류,6,2,3,0,-1,160,0,1,-1
둔기,한손 둔기류,7,2,4,0,-1,3,0,1,5
둔기,양손 둔기류,8,2,5,0,4,3,0,2,-1
장창,장창류,9,2,6,0,-1,3,0,2,-1
도검,한손 도검류,10,2,7,0,-1,3,0,1,8
도검,양손 도검류,11,2,8,0,7,3,0,2,-1
전투검,,12,2,9,0,-1,1,0,2,-1
지팡이,지팡이류,13,2,10,0,-1,3,0,2,-1
곰 발톱,곰 발톱,14,2,11,0,-1,0,3,1,12
표범 발톱,표범 발톱,15,2,12,0,11,0,3,1,-1
장착 무기,장착 무기류,16,2,13,0,-1,5,0,1,-1
기타,,17,2,14,0,-1,2,1,0,-1
단검,단검류,18,2,15,0,-1,3,0,8,-1
기타,,19,4,0,0,-1,512,1,0,-1
천,천,20,4,1,0,-1,1536,0,0,-1
가죽,가죽,21,4,2,0,-1,1536,0,0,-1
사슬,사슬,22,4,3,0,-1,1536,0,0,-1
판금,판금,23,4,4,0,-1,1536,0,0,-1
장식,장식,24,4,5,0,-1,0,1,0,-1
방패,방패,25,4,6,0,5,0,0,0,-1
마법봉(OBSOLETE),,26,6,0,0,-1,0,3,0,-1
볼트(OBSOLETE),,27,6,1,0,-1,0,2,0,-1
화살,,28,6,2,0,-1,0,2,0,-1
탄환,,29,6,3,0,-1,0,2,0,-1
화살통,,30,11,0,0,-1,0,7,0,-1
화살 (미사용),,31,11,1,0,-1,0,7,0,-1
화살통,,32,11,2,0,-1,0,6,0,-1
탄환 주머니,,33,11,3,0,-1,0,6,0,-1
투척 무기,투척 무기류,34,2,16,0,-1,16,0,1,-1
투척 무기(OBSOLETE),,35,6,4,0,-1,0,2,0,-1
지능,,36,3,0,1,-1,0,1,0,-1
직업용품 (미사용),,37,7,0,0,-1,0,3,0,-1
부품,,38,7,1,10,-1,0,1,0,-1
폭발물 (미사용),,39,7,2,0,-1,0,3,0,-1
책,,40,9,0,0,-1,0,1,0,-1
가죽세공,,41,9,1,0,-1,0,1,0,-1
재봉술,,42,9,2,0,-1,0,1,0,-1
폭발물 및 장치,,43,0,0,0,-1,0,1,0,-1
물약,,44,0,1,0,-1,0,1,0,-1
비약,,45,0,2,0,-1,0,1,0,-1
창,창류,46,2,17,0,-1,3,2,2,-1
돈,,47,10,0,0,-1,0,1,0,-1
머리,,48,8,0,0,-1,0,1,0,-1
퀘스트,,49,12,0,0,-1,0,1,0,-1
재료,,50,5,0,0,-1,0,1,0,-1
물건,,51,14,0,0,-1,0,1,0,-1
잡동사니,,52,15,0,0,-1,0,1,0,-1
열쇠,,53,13,0,0,-1,0,1,0,-1
자물쇠따개,,54,13,1,0,-1,0,1,0,-1
석궁,석궁류,55,2,18,0,-1,160,0,1,-1
마법봉,마법봉류,56,2,19,0,-1,256,0,1,-1
낚싯대,낚싯대,57,2,20,0,-1,0,0,8,-1
기계장치 (미사용),,77,7,3,0,-1,0,3,0,-1
기계공학,,99,9,3,0,-1,0,1,0,-1
대장기술,,100,9,4,0,-1,0,1,0,-1
요리,,101,9,5,10,-1,0,1,0,-1
연금술,,102,9,6,0,-1,0,1,0,-1
응급치료,,103,9,7,11,-1,0,1,0,-1
마법부여,,104,9,8,0,-1,0,1,0,-1
낚시,,105,9,9,12,-1,0,1,0,-1
보석세공,,106,9,10,0,-1,0,1,0,-1
영혼의 가방,,107,1,1,0,-1,0,6,0,-1
약초 가방,,109,1,2,0,-1,0,0,0,-1
마법부여 가방,,110,1,3,0,-1,0,0,0,-1
기계공학 가방,,111,1,4,0,-1,0,0,0,-1
성서,성서,112,4,7,0,-1,0,2,0,-1
우상,우상,113,4,8,0,-1,0,2,0,-1
토템,토템,114,4,9,0,-1,0,2,0,-1
보석세공,,115,7,4,1,-1,0,1,0,-1
보석 가방,,116,1,5,0,-1,0,0,0,-1
채광 자루,,118,1,6,0,-1,0,0,0,-1
민첩성,,119,3,1,2,-1,0,1,0,-1
힘,,120,3,2,3,-1,0,1,0,-1
체력,,121,3,3,4,-1,0,1,0,-1
정신력,,122,3,4,5,-1,0,3,0,-1
치명타 및 극대화,,123,3,5,6,-1,0,1,0,-1
특화,,124,3,6,7,-1,0,1,0,-1
가속,,125,3,7,8,-1,0,1,0,-1
유연성,,126,3,8,9,-1,0,1,0,-1
영약 및 약병,,131,0,3,0,-1,0,1,0,-1
두루마리 (미사용),,132,0,4,0,-1,0,3,0,-1
음식과 음료,,133,0,5,0,-1,0,1,0,-1
아이템 강화 (미사용),,134,0,6,0,-1,0,3,0,-1
붕대,,135,0,7,0,-1,0,1,0,-1
기타,,136,0,8,10,-1,0,1,0,-1
천,,137,7,5,0,-1,0,1,0,-1
가죽,,138,7,6,0,-1,0,1,0,-1
광물,,139,7,7,0,-1,0,1,0,-1
요리,,140,7,8,0,-1,0,1,0,-1
약초,,141,7,9,0,-1,0,1,0,-1
원소,,142,7,10,20,-1,0,1,0,-1
기타,,143,7,11,30,-1,0,1,0,-1
재료,,144,15,1,0,-1,0,1,0,-1
애완동물 친구,,145,15,2,0,-1,0,1,0,-1
축제용품,,146,15,3,0,-1,0,1,0,-1
기타,,147,15,4,30,-1,0,1,0,-1
마법부여,,148,7,12,0,-1,0,1,0,-1
가죽세공 가방,,149,1,7,0,-1,0,0,0,-1
재료 (미사용),,150,7,13,0,-1,0,3,0,-1
탈것,탈것,152,15,5,0,-1,0,0,0,-1
전사,전사,153,16,1,0,-1,0,0,0,-1
성기사,성기사,154,16,2,0,-1,0,0,0,-1
사냥꾼,사냥꾼,155,16,3,0,-1,0,0,0,-1
도적,도적,156,16,4,0,-1,0,0,0,-1
사제,사제,157,16,5,0,-1,0,0,0,-1
주술사,주술사,158,16,7,0,-1,0,0,0,-1
마법사,마법사,159,16,8,0,-1,0,0,0,-1
흑마법사,흑마법사,160,16,9,0,-1,0,0,0,-1
드루이드,드루이드,161,16,11,0,-1,0,0,0,-1
죽음의 기사,죽음의 기사,162,16,6,0,-1,0,0,0,-1
아이템 마법부여 (미사용),,163,7,14,0,-1,0,3,0,-1
무기 마법부여 - 사용 안 함,무기 마법부여 - 사용 안 함,164,7,15,0,-1,0,3,0,-1
인장,인장,165,4,10,0,-1,0,2,0,-1
주문각인 가방,,167,1,8,0,-1,0,0,0,-1
주문각인,주문각인,168,9,11,0,-1,0,1,0,-1
기타,,169,3,9,10,-1,0,1,0,-1
다수의 능력치,,170,3,10,11,-1,0,0,0,-1
낚시상자,,171,1,9,0,-1,0,0,0,-1
성물,,173,4,11,0,-1,0,2,0,-1
수도사,수도사,177,16,10,0,-1,0,0,0,-1
전투애완동물,전투애완동물,178,17,0,0,-1,0,0,0,-1
요리 가방,요리 가방,179,1,10,0,-1,0,0,0,-1
WoW 토큰,,180,18,0,0,-1,0,0,0,-1
쐐기돌,,181,5,1,0,-1,0,1,0,-1
악마사냥꾼,악마사냥꾼,183,16,12,0,-1,0,0,0,-1
반투스 룬,,184,0,9,0,-1,0,1,0,-1
주문각인,,185,7,16,0,-1,0,1,0,-1
폭발물 및 장치 (미사용),,186,7,17,11,-1,0,3,0,-1
유물 성물,,187,3,11,0,-1,0,1,0,-1
목,,188,8,1,0,-1,0,1,0,-1
어깨,,189,8,2,0,-1,0,1,0,-1
망토,,190,8,3,0,-1,0,1,0,-1
가슴,,191,8,4,0,-1,0,1,0,-1
손목,,192,8,5,0,-1,0,1,0,-1
손,,193,8,6,0,-1,0,1,0,-1
허리,,194,8,7,0,-1,0,1,0,-1
다리,,195,8,8,0,-1,0,1,0,-1
발,,196,8,9,0,-1,0,1,0,-1
손가락,,197,8,10,0,-1,0,1,0,-1
무기,,198,8,11,0,-1,0,1,0,-1
양손 무기,,199,8,12,0,-1,0,1,0,-1
방패/보조무기,,200,8,13,0,-1,0,1,0,-1
기타,,201,8,14,0,-1,0,1,0,-1
탈것 장비,,326,15,6,0,-1,0,0,0,-1
선택 재료,,327,7,18,25,-1,0,1,0,-1
상황 토큰,,328,5,2,0,-1,0,1,0,-1
대장기술,,329,19,0,0,-1,0,0,0,-1
가죽세공,,330,19,1,0,-1,0,0,0,-1
연금술,,331,19,2,0,-1,0,0,0,-1
약초채집,,332,19,3,0,-1,0,0,0,-1
요리,,333,19,4,0,-1,0,0,0,-1
채광,,334,19,5,0,-1,0,0,0,-1
재봉술,,335,19,6,0,-1,0,0,0,-1
기계공학,,336,19,7,0,-1,0,0,0,-1
마법부여,,337,19,8,0,-1,0,0,0,-1
낚시,,338,19,9,0,-1,0,0,0,-1
무두질,,339,19,10,0,-1,0,0,0,-1
보석세공,,340,19,11,0,-1,0,0,0,-1
주문각인,,341,19,12,0,-1,0,0,0,-1
고고학,,342,19,13,0,-1,0,0,0,-1
마무리 재료,,343,7,19,25,-1,0,1,0,-1
재료 가방,,344,1,11,0,-1,0,0,0,-1
보조 수집품,,345,0,10,0,-1,0,2,0,-1
전투 수집품,,346,0,11,0,-1,0,2,0,-1
