ID,Description_lang,SoulbindID,CreatureDisplayInfoID,ModelSceneActorID,TextureKitID,OrderIndex,GlobalOrderIndex,ActivationSoundKitID
1,니야는 자신의 터에 잠든 야생씨앗을 지키고 보살피는 책무를 짊어졌던 실바르입니다. 령의 회수를 위해 터가 희생되어가던 비극적인 시기에 당신과 니야의 만남은 이뤄졌습니다. 니야는 당신과 여정을 함께하며 가뭄에서 살아남기 위한 가혹한 진실을 깨달았습니다. 숙련된 사냥꾼이자 추적자인 그녀라면 가뭄과 몽환숲을 향한 위협을 해결하는 데 도움이 될 것입니다.,1,95232,1030,5312,0,6,171896
2,침착하고 차분한 드림위버는 숲의 야생씨앗에서 잠든 채 환생을 기다리는 자연의 영혼들이 무슨 꿈을 꾸는지 살펴보는 능력을 지녔습니다. 드림위버는 당신에게 반응을 보였던 특이한 영혼씨앗의 잠든 영혼과 유대를 맺을 수 있도록 도와주기도 했습니다. 몽환숲이 외부의 적들에게 포위당한 상황인 만큼 드림위버의 치유 능력은 보탬이 될 겁니다.,2,94430,1029,5313,1,7,171898
3,"장군 드레이븐은 돌 군단의 사령관으로 오랜 세월 레벤드레스를 섬겼습니다. 그는 어떤 전장에서든 최전방에 서서 전투가 끝나는 순간까지 명예롭게 싸우며, 병사를 버리지 않는 인물입니다. 데나트리우스가 간수를 택했던 그 순간, 드레이븐은 레나탈의 반란군을 택했습니다. 그는 무엇보다 레벤드레스를 최우선으로 생각합니다.",3,92399,1031,5314,2,11,171889
4,"뛰어난 만큼 괴짜 기질이 강한 메릴레트는 말드락서스 내에서 가장 강력한 효과를 자랑하는 물약을 만들어낸 장본인입니다. 역병의 의회가 공작으로 파멸했을 당시, 메릴레트는 그 여파에 휩쓸려 광기에 사로잡히고 말았습니다. 창의적인 계책을 내놓아 전황을 주도하는 데 큰 역할을 하는 인물이지만... 간혹 그에 따른 부작용이 발생하곤 합니다.",4,94122,1035,5315,0,3,171890
5,에메니의 피조물 육신은 말드락서스의 누더기광장에서 조립되었습니다. 생전의 에메니는 왕좌를 차지하고자 수백에 달하는 형제자매들을 학살한 강대한 귀족이었습니다. 그런 그녀가 공공의 적을 절멸하고자 공투했던 당신의 힘과 실력을 존중하고 있습니다. 홀몸으로 전설을 이뤄냈던 에메니는 나락 방랑자와 영혼을 결속하면서 훨씬 더 높은 악명을 떨치게 되었습니다.,5,93825,1036,5316,1,4,171892
7,"야생 사냥단의 사냥꾼 코레인은 강인한 의지를 지닌 지도자이자 흉포한 전사입니다. 그 무엇보다 위험하고 걷잡을 수 없는 위협으로부터 숲을 보호하는 책무를 짊어진 코레인은 사냥감을 처단하고 몽환숲의 안전을 도모할 때까지 물러서지 않을 것입니다. 겨울잠 골짜기가 공격당한 그 날, 승리를 쟁취할 수 있었던 이유 역시 코레인의 지도력과 결의가 빛을 발휘한 덕분이었습니다.",6,95248,1037,5317,2,8,171899
9,"승천의 보루의 열망자 펠라고스는 시련과 역경 앞에서도 승천할 순간을 꿈꾸며 성실하게 훈련합니다. 그의 영혼결속자인 클레이아와 마찬가지로, 집정관에게 알현을 청하고 이탈자의 위협에 맞서면서 당신과 그는 금세 친근한 사이가 되었습니다. 펠라고스는 필멸자로 살았던 과거의 기억과 의심에 시달리면서도 쾌활함과 희망을 잃는 법이 없습니다.",7,94137,1039,5318,0,0,171883
10,"시초자의 제자인 에어미르는 말드락서스에서 가장 오랜 세월을 살아온 필멸자의 영혼 중 하나입니다. 영겁의 세월에 걸쳐 단련하고 연마한 덕분에, 뼈와 강철로 무기와 방어구를 벼려내는 데는 최고로 손꼽히는 존재가 되었습니다. 그녀가 만들어낸 무구로 중무장한 덕분에, 선택받은 자의 의회와 당신은 주위를 둘러싼 적들과 대적할 수 있게 되었습니다.",10,96102,1038,5319,2,5,171894
11,"키리안 승천자로 거듭난 클레이아는 열망자였을 때 당신과 연을 맺었습니다. 그녀는 영혼결속자인 펠라고스와 여타 키리안 앞에서, 끝없이 나아가며 어떤 시련이라도 넘어서고 말겠다는 각오를 천명해 보이기도 하였습니다. 펠라고스와 당신을 돌보는 선도자이기도 한 그녀이기에, 친우들과 승천의 보루를 지킬 수 있다면 무슨 일이든 할 것입니다.",13,94873,1040,5320,1,1,171885
12,"승천의 보루의 청지기인 미카니코스는 소싯적부터 두각을 드러냈으며, 순식간에 수석 제련장인의 지위에 오른 입지전적인 인물입니다. 그는 승천의 보루의 수많은 상징을 만든 장본인이기도 합니다. 나락 방랑자의 잠재력을 알아본 미카니코스는 훌륭한 동료가 되어, 령 가뭄을 비롯한 여러 위협을 해결할 수 있게끔 조력하고 있습니다.",18,96348,1041,5322,2,2,171886
14,자칭 그간 검을 휘두른 검투사 중 최강이라 자부하는 나지아는 정체된 삶에 몸서리치며 새로운 경험을 갈망하는 인물입니다. 소란이 일어났다 하면 그 중심에는 언제나 나지아가 있을 정도입니다. 그런 그녀가 당신의 명령을 따라 실력을 발휘하여 레벤드레스를 지키고자 합니다. 물론 나름의 여흥을 즐기려는 의도도 있지만 말입니다.,8,93210,1042,5327,0,9,171887
15,"미치광이라고 해도 무례한 게 용서되진 않습니다! 종래의 귀족 사회에서 추방당한 테오타르는 한담을 나눌 추방자를 불러 모아 자신만의 궁정을 꾸몄습니다. 가장 아끼는 찻주전자로 강력한 마법을 자아내거나, 대신해서 양산을 짊어질 허드레꾼을 만들어내곤 하는 테오타르는 레벤드레스의 강대한 힘을 자신만의 유별난 방식으로 휘두릅니다.",9,93223,1043,5328,1,10,171888
