ID,BaseTag,TagText_lang,Flags
9597,BUG_BUTTON,버그 및 제안,1
9598,CHARACTER_BUTTON,캐릭터 정보,1
9599,MAINMENU_BUTTON,게임 메뉴,3
9600,QUESTLOG_BUTTON,퀘스트 목록,1
9601,SPELLBOOK_BUTTON,마법책,1
9602,BACKPACK_TOOLTIP,소지품,5
9603,INVENTORY_TOOLTIP,소지품,5
9605,MELEE_ATTACK,근접 숙련도:,1
9606,ATTACK_SPEED_SECONDS,공격 속도 (초),1
9607,UNSPENT_TALENT_POINTS,사용하지 않은 특성 포인트: %s,1
9610,DAMAGE_BONUS_TOOLTIP,무기 공격력 증가,1
9613,EXPERIENCE_COLON,경험치:,1
9614,GUILD_TEMPLATE,%2$s의 %1$s,1
9615,HEALTH_COLON,생명력:,1
9616,INTELLECT_COLON,지능:,1
9617,DEFENSE_TOOLTIP,캐릭터의 방어를 나타냅니다.,1
9618,MAGIC_RESISTANCES_COLON,마법에 대한 저항:,1
9619,MANA_COLON,마나:,1
9620,MODIFIERS_COLON,수정치:,1
9621,PLAYER_LEVEL,%s 레벨 |c%s%s %s|r,1
9622,PROFICIENCIES_COLON,숙련 기술:,1
9623,SPIRIT_COLON,정신력:,1
9625,REPUTATION,평판,5
9626,RESISTANCE0_NAME,방어도,1
9627,RESISTANCE1_NAME,신성 저항력,5
9628,RESISTANCE2_NAME,화염 저항력,5
9629,RESISTANCE3_NAME,자연 저항력,5
9630,RESISTANCE4_NAME,냉기 저항력,5
9633,STRENGTH_COLON,힘:,1
9634,TITLE_TEMPLATE,%2$s의 %1$s,1
9635,CONTAINER_SLOTS,%d칸 %s,1
9636,EQUIP_CONTAINER,가방 칸,1
9637,HEADSLOT,머리,1
9638,NECKSLOT,목,1
9639,SHOULDERSLOT,어깨,1
9640,BACKSLOT,등,1
9641,SHIRTSLOT,속옷,1
9642,CHESTSLOT,가슴,1
9643,WAISTSLOT,허리,1
9644,LEGSSLOT,다리,1
9645,FEETSLOT,발,1
9646,WRISTSLOT,손목,1
9647,HANDSSLOT,손,1
9648,FINGER1SLOT,손가락,1
9649,TRINKET0SLOT,장신구,1
9650,TRINKET1SLOT,장신구,1
9651,MAINHANDSLOT,주장비,1
9652,SECONDARYHANDSLOT,보조장비,1
9653,RANGEDSLOT,원거리 장비,1
9654,BAGSLOT,가방,1
9655,INVTYPE_HEAD,머리,5
9656,INVTYPE_NECK,목,5
9657,INVTYPE_BODY,속옷,5
9658,INVTYPE_CHEST,가슴,5
9659,INVTYPE_LEGS,다리,5
9660,INVTYPE_FEET,발,5
9661,INVTYPE_WRIST,손목,5
9662,INVTYPE_HAND,손,5
9663,INVTYPE_FINGER,손가락,5
9664,INVTYPE_WEAPON,한손 장비,5
9665,INVTYPE_WEAPONOFFHAND,보조장비,5
9666,INVTYPE_SHIELD,보조장비,5
9667,INVTYPE_RANGED,원거리 장비,5
9668,INVTYPE_CLOAK,등,5
9669,INVTYPE_2HWEAPON,양손 장비,5
9670,INVTYPE_BAG,가방,5
9671,INVTYPE_HOLDABLE,보조장비,5
9672,BANK_BAG,가방 보관함,1
9673,ITEMSLOTTEXT,아이템 보관함,1
9674,BAGSLOTTEXT,가방 보관함,1
9675,BANKSLOTPURCHASE_LABEL,가방 보관함을 추가로 구입하시겠습니까?,1
9676,BANKSLOTPURCHASE,구입,1
9677,ADD_FRIEND,친구 추가,3
9678,ADD_IGNORE_LABEL,차단할 플레이어의 이름을 입력하거나 대화창의 캐릭터 이름에 SHIFT 키를 누른 채로 클릭하십시오:,1
9679,REMOVE_FRIEND,친구 삭제,3
9680,GROUP_INVITE,파티 초대,3
9681,SEND_MESSAGE,메시지 전송,3
9682,FRIENDS,친구,3
9683,FRIENDS_LIST,친구 목록,3
9684,IGNORE,차단,3
9685,IGNORE_PLAYER,플레이어 차단,3
9686,GROUPS,파티,1
9687,WHO,누구,1
9688,FRIENDS_LIST_TEMPLATE,|cffffffff- %s|r %s,3
9689,FRIENDS_LEVEL_TEMPLATE,%d 레벨 %s,3
9690,ITEM_BIND_ON_EQUIP,착용 시 귀속,5
9691,ITEM_BIND_ON_USE,사용 시 귀속,5
9692,ITEM_BIND_QUEST,퀘스트 아이템,5
9693,ITEM_CLASSES_ALLOWED,직업: %s,5
9694,ITEM_COOLDOWN_TIME_MIN,재사용 대기시간: %d분,1
9695,ITEM_LEVEL,아이템 레벨: %d,5
9696,ITEM_MIN_SKILL,요구 사항: %s (%d),1
9697,ITEM_MOD_MANA,마나 %c%s,1
9698,ITEM_MOD_HEALTH,생명력 %c%s,1
9699,ITEM_MOD_AGILITY,민첩성 %c%s,5
9700,ITEM_MOD_STRENGTH,힘 %c%s,5
9701,ITEM_MOD_SPIRIT,정신력 %c%s,1
9702,ITEM_MOD_STAMINA,체력 %c%s,5
9703,ITEM_NO_DROP,파괴 불가,1
9704,ITEM_PROPOSED_ENCHANT,받게될 효과: %s,1
9705,ITEM_QUALITY1_DESC,일반,5
9706,ITEM_QUALITY2_DESC,고급,5
9707,ITEM_QUALITY3_DESC,희귀,5
9708,ITEM_QUALITY4_DESC,영웅,5
9709,ITEM_QUALITY5_DESC,전설,5
9710,ITEM_REQ_SKILL,요구 사항: %s,1
9711,ITEM_RESIST_ALL,모든 저항 %c%d,1
9712,MORE_REAGENTS,추가 재료 필요,1
9713,TRADE_SKILL_TITLE,%s,1
9714,COLOR_PICKER,색 지정,1
9715,PLAYER_NOT_FOUND,해당 플레이어를 찾을 수 없습니다.,5
9716,TRADE,거래 요청,1
9717,ERR_QUEST_FAILED_WRONG_RACE,현재 종족으로는 이 퀘스트를 수행할 수 없습니다.,1
9718,PROFANITY_FILTER,비속어 필터,1
9719,VOICEMACRO_0_Dw_0_FEMALE,도와줘!,1
9720,VOICEMACRO_0_Dw_1_FEMALE,도움이 필요하다!,1
9721,ERR_NO_ITEMS_WHILE_SHAPESHIFTED,변신 중일 때는 아이템을 사용할 수 없습니다.,1
9722,BUG_CATEGORY10,소리,1
9723,TRADE_WITH_QUESTION,%s 님과 거래하시겠습니까?,1
9724,JOINED_PARTY,%s 님이 파티에 합류했습니다.,1
9725,LEFT_PARTY,%s 님이 파티를 떠났습니다.,1
9726,NOT_IN_GROUP,파티를 떠났습니다.,1
9727,PARTY_INVITE,초대하기,3
9728,PARTY_LEAVE,파티 떠나기,1
9729,PARTY_PROMOTE,파티장 위임,1
9730,PARTY_UNINVITE,내보내기,1
9731,GUILD_INFO_TEMPLATE,"길드 창단일: %3$d년 %1$d월 %2$d일, 총 플레이어: %4$d명, 총 계정: %5$d개",1
9732,GUILD_MEMBER_TEMPLATE,"%s, %s",1
9733,GUILD_RANK0_DESC,길드장,1
9734,GUILD_RANK1_DESC,길드관리자,1
9735,GUILD_RANK2_DESC,원로길드원,1
9736,GUILD_RANK3_DESC,일반길드원,1
9737,GUILD_RANK4_DESC,신입길드원,1
9738,GUILD_ROSTER_TEMPLATE,"플레이어 %d명, 계정 %d개",1
9739,GUILD_TITLE_TEMPLATE,%2$s 길드의 %1$s,1
9740,PET_PASSIVE,수동적,1
9741,PET_DEFENSIVE,방어적,1
9742,PET_AGGRESSIVE,공격적,1
9743,PET_WAIT,대기,1
9744,PET_FOLLOW,따르기,1
9745,PET_ATTACK,공격,5
9746,PET_ABANDON,풀어주기,1
9747,PET_DISMISS,소환 해제,1
9748,PET_RENAME,이름 변경,1
9763,ERR_ONLY_ONE_QUIVER,화살통은 한 번에 하나만 착용할 수 있습니다.,1
9764,BAGS_ONLY,이곳엔 가방만 착용할 수 있습니다.,1
9765,CANT_AFFORD_ITEM,소지금이 부족합니다.,1
9766,CANT_USE_ITEM,해당 아이템을 사용할 수 없습니다.,1
9767,FACING_WRONG_DIRECTION,올바른 방향이 아닙니다!,1
9768,FOOD_TIMER,지금은 너무 배불러서 아무것도 먹지 못합니다.,1
9769,INSPECT_NOTIFY,%s 님이 당신을 살펴보고 있습니다.,1
9770,INVENTORY_FULL,소지품이 가득 찼습니다.,1
9771,ITEM_WRONG_CLASS,해당 직업으로는 이 아이템을 사용할 수 없습니다.,1
9772,LEVEL_TOO_LOW,이 아이템을 착용하려면 %d 레벨이 되어야 합니다.,1
9775,LEVEL_UP_SKILL_POINTS,전문 기술 %d개를 더 배울 수 있습니다.,1
9777,LOCKED_WITH_ITEM,%s 필요,1
9778,LOCKED_WITH_SPELL,%s 필요,1
9779,LOOT_ITEM_PUSHED_SELF,아이템을 획득했습니다: %s,1
9780,LOOT_MONEY,%s 님이 %s|1을;를; 획득했습니다.,1
9781,LOOT_MONEY_SPLIT,자신의 몫으로 %s|1을;를; 분배받았습니다.,1
9782,LOOT_NEXT_PAGE,다음 목록,1
9783,LOOT_NO_DROP,%s|1을;를; 집으면 당신에게 귀속됩니다.,1
9784,NOT_ENOUGH_MANA,%s 주문을 시전할 마나가 부족합니다.,1
9785,ONLY_EMPTY_BAGS,빈 가방만 집을 수 있습니다.,1
9786,RACE_CLASS_ONLY,%s 전용,5
9787,SKILL_RANK_UP,기술이 향상되었습니다: %s (%d),1
9788,ABILITIES,능력,5
9789,ACCEPT,수락,7
9790,ARMOR,방어도,7
9791,CANCEL,취소,7
9792,CHARACTER,캐릭터,3
9793,CHARACTER_INFO,캐릭터 정보,1
9794,COMPLETE,완료,5
9795,COPPER_AMOUNT,%d 코퍼,1
9796,CORPSE_RED,|cffff2020시체|r,1
9797,DAMAGE,피해,5
9798,DEAD,죽음,1
9799,DECLINE,거절,7
9800,ERROR_CAPS,오류,1
9801,EXIT,닫기,1
9802,INSPECT,살펴보기,1
9803,ITEMS,아이템,1
9804,GOLD_AMOUNT,%d 골드,1
9805,GOODBYE,닫기,1
9806,LANGUAGE,언어,5
9807,LEVEL,레벨,7
9808,LEVEL_REQUIRED,요구 레벨: %d,1
9809,MINUTES,분,3
9810,NEXT,다음,7
9811,NO,아니요,7
9812,NONE_CAPS,없음,3
9813,OKAY,확인,3
9814,PAGE_NUMBER,%d,3
9815,PREV,이전,1
9816,SECONDS,초,3
9817,SOCIALS,소셜,1
9818,SPEED,속도,7
9819,SPELLBOOK,마법책,1
9820,SPELLS,주문,1
9821,UNKNOWN,알 수 없음,3
9822,XP,경험치,5
9823,HP,HP,1
9824,MP,MP,1
9825,YES,예,7
9826,YOU,당신,1
9827,TIME_TWELVEHOURPM,오후 %d:%02d,1
9828,TIME_TWENTYFOURHOURS,%d:%02d,1
9829,TIME_DAYHOURMINUTESECOND,"%d일, %d시간, %d분, %d초",1
9830,DAYS_ABBR,%d일,3
9832,HOURS_ABBR,%d시간,3
9836,FRAMERATE_LABEL,FPS:,1
9837,SCREENSHOT_SUCCESS,스크린샷 저장,3
9838,VIDEOOPTIONS_MENU,그래픽 설정,3
9839,QUIT,게임 종료,3
9840,CONTINUE,계속,7
9841,OPTIONS_MENU,설정 메뉴,1
9842,LOW,낮음,3
9843,HIGH,높음,3
9844,WORLD_LOD,단계별 세부묘사,3
9845,INVERT_MOUSE,마우스 반전,1
9846,STATUS_BAR_TEXT,상태바 숫자 표시,1
9847,ENVIRONMENT_DETAIL,원거리 사물 표현,3
9848,WATER_DETAIL,물 세부묘사,1
9849,FARCLIP,가시 거리,3
9850,TERRAIN_MIP,지형 혼합,3
9851,ANIMATION,애니메이션,1
9852,GAMMA,감마,3
9866,SPELL_SKILL_LINE,%s,1
9867,MANA_COST_PER_TIME,"마나 %s, 추가로 초당 %s",1
9868,SPELL_DURATION_SEC,%.1f초,1
9869,SPELL_DURATION_MIN,%.1f분,1
9870,SPELL_DURATION_UNTIL_CANCELLED,활성화되어 있는,1
9871,SPELL_EQUIPPED_ITEM,%s 필요,1
9872,SPELL_REQUIRED_FORM,%s 필요,1
9873,SPELL_NOT_SHAPESHIFTED,변신 중에는 불가능합니다.,1
9874,SPELL_EQUIPPED_ITEM_NOSPACE,%s 필요,1
9875,SPELL_INSTANT_EFFECT,즉시 효과,1
9876,SPELL_LASTING_EFFECT,%s 지속,1
9877,SPELL_STAT1_NAME,힘,1
9878,SPELL_STAT4_NAME,지능,1
9879,SPELL_STAT5_NAME,정신력,1
9880,SPELL_STATALL,모든 능력치,1
9881,SPELL_SCHOOL0_NAME,물리,1
9882,SPELL_SCHOOL1_NAME,신성,1
9883,SPELL_SCHOOL2_NAME,화염,1
9884,SPELL_SCHOOL3_NAME,자연,1
9885,SPELL_SCHOOL4_NAME,냉기,1
9886,SPELL_SCHOOL5_NAME,암흑,1
9887,SPELL_SCHOOLALL,모든,1
9888,SPELL_SCHOOLMAGICAL,마법,1
9889,SPELL_SCHOOL0_CAP,물리,1
9890,SPELL_SCHOOL1_CAP,신성,1
9891,SPELL_SCHOOL2_CAP,화염,1
9892,SPELL_SCHOOL3_CAP,자연,1
9893,SPELL_SCHOOL4_CAP,냉기,1
9894,SPELL_SCHOOL5_CAP,암흑,1
9896,SPELL_TARGET_TEMPLATE,%s 대상,1
9897,SPELL_TARGET_MULTIPLE_TEMPLATE,%3$s|1으로부터;로부터; %2$d미터 안에 있는 %1$s 대상,1
9898,SPELL_TARGET_CONE_TEMPLATE,%3$s|1으로부터;로부터; %2$d미터 부채꼴 안에 있는 %1$s 대상,1
9899,SPELL_TARGET_TYPE1_DESC,아무,1
9900,SPELL_TARGET_TYPE_DEAD1_DESC,죽은 캐릭터,1
9901,SPELL_TARGET_TYPE2_DESC,아군,1
9902,SPELL_TARGET_TYPE_DEAD2_DESC,죽은 아군,1
9903,SPELL_TARGET_TYPE3_DESC,적,1
9904,SPELL_TARGET_TYPE_DEAD3_DESC,죽은 적,1
9905,SPELL_TARGET_TYPE4_DESC,파티원,1
9906,SPELL_TARGET_TYPE_DEAD4_DESC,죽은 파티원,1
9907,SPELL_TARGET_TYPE6_DESC,지역,1
9908,SPELL_TARGET_TYPE7_DESC,물체,1
9909,SPELL_TARGET_TYPE8_DESC,소환수,1
9910,SPELL_TARGET_TYPE9_DESC,주장비 아이템,1
9911,COSTS_LABEL,비용:,1
9912,STATS_LABEL,세부 사항:,1
9913,REQUIRES_LABEL,요구 사항:,1
9914,EFFECTS_LABEL,고급 설정,3
9915,TRAIN,배우기,1
9916,TRAINER_CAST_TIME_INSTANT,시전 시간: |cffffffff즉시|r,1
9917,TRAINER_CAST_TIME_SEC,시전 시간: |cffffffff%d초|r,1
9918,TRAINER_COOLDOWN_TIME_INSTANT,재사용: |cffffffff즉시|r,1
9919,TRAINER_COOLDOWN_TIME_SEC,재사용: |cffffffff%d초|r,1
9920,TRAINER_MANA_COST,마나 소모: |cffffffff%d|r,1
9921,TRAINER_MANA_COST_PER_TIME,"마나 소모: |cffffffff%d, 추가로 초당 %d|r",1
9922,TRAINER_REQ_LEVEL_RED,|cffff2020%d|r 레벨,1
9924,TRAINER_REQ_SKILL_RANK,%s (|cffffffff%d|r),1
9925,TRAINER_REQ_SKILL_RANK_RED,%s (|cffff2020%d|r),1
9926,TRAINER_REQ_ABILITY,|cffffffff%s|r,1
9927,TRAINER_REQ_ABILITY_RED,|cffff2020%s|r,1
9928,TRAINER_COST_TP_RED,특성 |cffff2020%d|r,1
9929,LOOT_ROUND_ROBIN,전리품: 차례대로 획득,1
9930,LOOT_MASTER_LOOTER,전리품: 길드장이 획득,1
9931,LOOT_PROMOTE,전리품 담당자로 지정,1
9932,CHAT_EMOTE_GET,%s|1이;가;\32,1
9933,CHAT_EMOTE_SEND,%s|1이;가;\32,1
9934,CHAT_GUILD_SEND,길드:\32,1
9935,CHAT_GUILD_UNINVITE_SEND,길드에서 제외,1
9936,CHAT_GUILD_PROMOTE_SEND,진급,1
9937,CHAT_GUILD_DEMOTE_SEND,강등,1
9938,CHAT_GUILD_LEADER_SEND,길드장으로 지정:,1
9939,CHAT_INVITE_SEND,초대하기,3
9940,CHAT_MONSTER_SAY_GET,%s의 말:\32,1
9941,CHAT_MONSTER_EMOTE_GET,,1
9942,CHAT_OFFICER_GET,|Hchannel:OFFICER|h[길드관리자]|h %s:\32,1
9943,CHAT_OFFICER_SEND,길드관리자:\32,1
9944,CHAT_PARTY_SEND,파티:\32,3
9945,CHAT_PROMOTE_SEND,위임,3
9946,CHAT_SAY_GET,%s:\32,1
9947,CHAT_SAY_SEND,대화:\32,3
9948,CHAT_UNINVITE_SEND,내보내기,3
9949,CHAT_WHISPER_INFORM_GET,%s 님에게 귓속말:\32,1
9950,CHAT_WHISPER_GET,%s 님의 귓속말:\32,1
9951,CHAT_WHISPER_SEND,%s 님에게 귓속말:\32,3
9952,CHAT_YELL_SEND,외치기:\32,1
9953,CHAT_CHANNEL_LEAVE_GET,%s 님이 채널을 떠났습니다.,1
9954,CHAT_YOU_LEFT_NOTICE,채널 종료: |Hchannel:%d|h[%s]|h,3
9955,CHAT_CHANNEL_GET,%s:\32,1
9956,CHAT_CHANNEL_SEND,[%d. %s]:\32,3
9957,CHAT_CHANNEL_LIST_GET,|Hchannel:CHANNEL:%d|h[%s]|h\32,1
9958,CHAT_NOT_MODERATOR_NOTICE,|Hchannel:%d|h[%s]|h 채널의 방장이 아닙니다.,1
9959,CHAT_PASSWORD_CHANGED_NOTICE,|Hchannel:%d|h[%s]|h 비밀번호 변경됨: %s,1
9960,CHAT_OWNER_CHANGED_NOTICE,|Hchannel:%d|h[%s]|h 방장이 %s 님으로 변경되었습니다.,1
9961,CHAT_CHANNEL_OWNER_NOTICE,|Hchannel:%d|h[%s]|h %s 님이 채널의 방장입니다.,1
9962,CHAT_ANNOUNCEMENTS_ON_NOTICE,|Hchannel:%d|h[%s]|h %s 님이 채널 알림 기능을 설정했습니다.,1
9963,CHAT_MODERATION_OFF_NOTICE,|Hchannel:%d|h[%s]|h %s 님이 채널 관리 기능을 해제했습니다.,1
9964,CHAT_SET_MODERATOR_NOTICE,|Hchannel:%d|h[%s]|h %s 님에게 채널 관리 권한이 부여되었습니다.,1
9965,CHAT_MUTED_NOTICE,|Hchannel:%d|h[%s]|h 채널에 대한 발언권이 없습니다.,1
9966,CHAT_PLAYER_ALREADY_MEMBER_NOTICE,|Hchannel:%d|h[%s]|h %s 님은 이미 채널에 있습니다.,1
9967,CHAT_WRONG_FACTION_NOTICE,%s에 대한 잘못된 진영,1
9968,CHAT_AFK_GET,%s 님은 자리 비움 상태입니다:,1
9969,CHAT_FLAG_AFK,<자리 비움>,1
9970,CHAT_FLAG_DND,<다른 용무 중>,1
9971,CHAT_FLAG_GM,<GM>,1
9972,CHAT_IGNORED,%s 님은 당신을 차단했습니다.,1
9973,EMOTE_MESSAGE,감정 표현,1
9974,GUILD_MESSAGE,길드 대화,1
9975,PARTY_MESSAGE,파티 대화,3
9976,REPLY_MESSAGE,답신,3
9977,SAY_MESSAGE,대화,1
9978,WHISPER_MESSAGE,귓속말,3
9979,SLASH_ASSIST1,/a,1
9980,SLASH_EMOTE1,/e,1
9981,SLASH_EMOTE2,/감정표현,1
9982,SLASH_EMOTE3,/이모트,1
9983,SLASH_EMOTE4,/감정,1
9984,SLASH_GUILD1,/g,1
9985,SLASH_GUILD2,/gc,1
9986,SLASH_GUILD3,/gu,1
9987,SLASH_GUILD4,/길드,1
9988,SLASH_GUILD_HELP1,/ghelp,1
9989,SLASH_GUILD_HELP2,/guildhelp,1
9990,SLASH_GUILD_INVITE1,/ginvite,1
9991,SLASH_GUILD_UNINVITE1,/gremove,1
9992,SLASH_GUILD_UNINVITE2,/길드추,1
9993,SLASH_GUILD_PROMOTE1,/gpromote,1
9994,SLASH_GUILD_DEMOTE1,/gdemote,1
9995,SLASH_GUILD_DEMOTE2,/강등,1
9996,SLASH_GUILD_ROSTER1,/groster,1
9997,SLASH_GUILD_DISBAND1,/gdisband,1
9998,SLASH_GUILD_LEADER1,/gleader,1
9999,SLASH_GUILD_LEAVE1,/gquit,1
10000,SLASH_GUILD_LEAVE2,/guildquit,1
10001,SLASH_GUILD_MOTD1,/gmotd,1
10002,SLASH_GUILD_MOTD2,/길드공,1
10003,SLASH_HELP1,/h,1
10004,SLASH_HELP2,/헬프,1
10005,SLASH_HELP3,/?,1
10006,SLASH_INSPECT1,/살펴보기,1
10008,SLASH_INVITE1,/inv,1
10009,SLASH_INVITE2,/초대,1
10010,SLASH_OFFICER1,/o,1
10011,SLASH_OFFICER2,/길드관리,1
10012,SLASH_PARTY1,/p,3
10013,SLASH_PARTY2,/party,3
10014,SLASH_PLAYED1,/played,1
10015,SLASH_PROMOTE1,/pr,1
10016,SLASH_PROMOTE2,/파티장위임,1
10017,SLASH_REPLY1,/r,3
10018,SLASH_SAY1,/s,1
10019,SLASH_TIME1,/시간,1
10020,SLASH_TRADE2,/거래,1
10021,SLASH_UNINVITE1,/u,1
10022,SLASH_UNINVITE2,/제외,1
10023,SPELL_TARGET_TYPE10_DESC,보조장비 아이템,1
10024,SPELL_TARGET_TYPE11_DESC,파티,1
10025,SPELL_TARGET_TYPE12_DESC,모든,1
10026,SPELL_TARGET_TYPE_DEAD12_DESC,모든 시체,1
10027,SPELL_TARGET_TYPE13_DESC,다수의 적,1
10028,SPELL_TARGET_TYPE14_DESC,다수의 파티원,1
10029,SPELL_TARGET_TYPE_DEAD14_DESC,다수의 죽은 파티원,1
10030,SPELL_TARGET_CREATURE_TYPE1_DESC,%s,1
10031,SPELL_TARGET_CREATURE_TYPE_DEAD1_DESC,죽은 %s,1
10032,SPELL_TARGET_CREATURE_TYPE2_DESC,아군 %s,1
10033,SPELL_TARGET_CREATURE_TYPE_DEAD2_DESC,죽은 아군 %s,1
10034,SPELL_TARGET_CREATURE_TYPE3_DESC,적 %s,1
10035,SPELL_TARGET_CREATURE_TYPE_DEAD3_DESC,죽은 적 %s,1
10036,SPELL_TARGET_CREATURE_TYPE12_DESC,모든 %s,1
10037,SPELL_TARGET_CREATURE_TYPE_DEAD12_DESC,모든 죽은 %s,1
10038,SPELL_TARGET_CREATURE_TYPE13_DESC,적 %s,1
10039,SPELL_TARGET_CENTER_CASTER,시전자,1
10040,SPELL_TARGET_CENTER_LOC,대상 지역,1
10041,SPELL_CAST_TIME_MIN,시전 시간 %.2g분,1
10042,SPELL_PASSIVE,지속효과,1
10043,SPELL_RECAST_TIME_MIN,%.2g분 후 재사용 가능,1
10044,SPELL_RECAST_TIME_INSTANT,즉시 재사용 가능,1
10045,SPELL_TIME_REMAINING_SEC,지속시간: %d초,1
10046,SPELL_TIME_REMAINING_MIN,지속시간: %d분,1
10047,PROC_EVENT2_DESC,공격받을 때,1
10048,PROC_EVENT3_DESC,공격하거나 받을 때,1
10049,ERR_CANT_EQUIP_EVER,해당 아이템은 사용할 수 없습니다.,1
10050,ERR_BAG_FULL,그 가방은 가득 찼습니다.,1
10051,ERR_NO_SLOT_AVAILABLE,현재 그 아이템을 장착할 칸이 부족합니다.,1
10052,SPELL_TIMER,%s 시전 실패: 아직 사용할 준비가 안 됐습니다.,1
10053,TIME_PLAYED_TOTAL,전체 플레이 시간: %s,1
10054,TIME_TEMPLATE_LONG,"%d일, %d시간 %d분 %d초",1
10055,USE_NO_DROP,이 아이템을 사용하면 당신에게 귀속됩니다.,1
10056,WRONG_SLOT_FOR_ITEM,해당 아이템은 그 칸에 넣을 수 없습니다.,1
10057,PLAYER_LOGOUT_FAILED_ERROR,지금은 앉을 수 없기 때문에 접속을 종료할 수 없습니다.,1
10058,ATTACK,공격,1
10061,BLOCK,방패 막기,3
10066,DODGE,피함,3
10069,PARRIED,무기 막기,1
10071,PARRY,무기 막기,3
10075,INTERRUPTED,방해를 받아 취소되었습니다,1
10076,INTERRUPT,방해를 받아 취소되었습니다,1
10078,RESIST,저항함,1
10083,IMMUNE,면역,1
10086,STUNNED,기절함,1
10087,STUN,기절,1
10088,STUN_CAPS,기절,1
10089,DEATH_RELEASE,영혼으로 전환,1
10090,DEATH_RELEASE_TIMER,%d%s 후에는 자동으로 유령이 되어 무덤으로 이동합니다,1
10091,CAMP_TIMER,접속 종료까지 %d%s|1이;가; 남았습니다,1
10092,CAMP_NOW,지금 접속 종료,3
10094,SEND_SUGGEST,제안하기,1
10095,SEND_BUG,버그 보내기,1
10096,SUGGESTFRAME_TITLE,제안 및 버그,1
10097,ASSIGNED_COLON,진행 중인 퀘스트:,1
10098,CLOSE_LOG,목록 닫기,1
10099,COMPLETE_QUEST,퀘스트 완료,1
10100,CURRENT_QUESTS,진행 중인 퀘스트,1
10101,QUEST_COMPLETE,퀘스트를 완료했습니다.,1
10102,QUEST_DESCRIPTION,내용,1
10103,QUEST_FAILED,퀘스트 완료 실패,1
10104,QUEST_FAILED_TAG,- 실패함,1
10105,QUEST_HARD,(어려움),1
10106,QUEST_LOG,퀘스트 목록,1
10107,QUEST_OBJECTS_FOUND,%2$d/%3$d %1$s,1
10108,QUEST_ITEMS_NEEDED,%2$d/%3$d %1$s,1
10109,QUEST_OBJECTIVES,퀘스트 임무,1
10110,QUEST_REWARDS,보상,1
10111,QUEST_TIMERS,퀘스트 시간 제한,1
10112,QUESTS_COLON,퀘스트:,1
10113,REWARD_CHOICES,아래의 보상 중 한 가지를 선택할 수 있습니다:,1
10114,REWARD_ITEMS,추가로 받게 될 보상:,1
10115,SORT_QUEST,퀘스트 정렬,1
10116,TASKS_COLON,임무:,1
10117,TIME_REMAINING,남은 시간:,5
10118,TURN_IN_ITEMS,필요한 아이템:,1
10119,ALREADY_LEARNED,이미 습득함,1
10120,ITEM_RESIST_SINGLE,%3$s 저항력 %1$c%2$d,1
10121,ITEM_SOULBOUND,귀속 아이템,5
10122,ITEM_SPELL_CHARGES,%d회 사용 가능,1
10123,ITEM_UNIQUE,고유 아이템,1
10124,ITEM_UNIQUE_MULTIPLE,고유 아이템 (%d),1
10125,ITEM_CONJURED,창조 아이템,1
10126,LEVEL_GAINED,%d 레벨,1
10127,PRIMARY,주,1
10128,PRIMARY_SKILLS,주 기술:,1
10129,PROFICIENCIES,숙련 기술:,1
10130,SECONDARY,보조,1
10131,SECONDARY_SKILLS,보조 기술 숙련도:,1
10132,SKILL_LEVEL,기술 레벨,1
10133,SPECIAL_SKILLS,%s 숙련도:,1
10134,TRADE_SKILLS,전문 기술,1
10135,HELP_TEXT_LINE12,- r 또는 /r: 최근 귓속말에 답장,1
10136,HELP_TEXT_LINE13,- /누구: 플레이어 목록 표시,1
10137,CHAT_HELP_TEXT_LINE2,"/#, /c, /csay - #번 대화 채널에 메시지 보내기 (예: /1 안녕하세요)",3
10138,CHAT_HELP_TEXT_LINE4,"/참가, /입장, /join - 채널에 참가하기",3
10139,CHAT_HELP_TEXT_LINE8,"/방장, /owner <채널> [플레이어] - 채널 방장 표시 또는 방장 위임",3
10140,CHAT_HELP_TEXT_LINE9,"/관리자지정, /mod, /관리자해제, /unmod <채널> <플레이어> - 플레이어의 관리 권한 변경",3
10141,GUILD_HELP_TEXT_LINE1,현재 길드를 생성하려면 콘솔에서 'guildcreate <길드명>'을 입력하십시오.,1
10142,GUILD_HELP_TEXT_LINE4,/o <할말> - 모든 길드관리자에게 메시지 보내기,1
10143,GUILD_HELP_TEXT_LINE5,"/길드초대, /ginvite <플레이어> - 길드에 해당 플레이어 초대하기",1
10144,GUILD_HELP_TEXT_LINE9,"/길드공지, /gmotd <할말> - 오늘의 길드 메시지 정하기",1
10145,SPELL_FAILED_UNKNOWN,알 수 없는 원인,1
