CustomGossipDescriptionString_lang,CompletedOptionDescriptionString_lang,ID,GossipMenuID,UiTextureKitID
"스콜더스의 전당은 토르가스트의 수많은 수감동 중 하나에 지나지 않습니다. 감시관 스콜더스는 야수, 사슬, 함정을 이용해 포로와 자신의 영역을 침범한 이들을 고문합니다.",보상 획득 - 이 단계를 다시 완료하면 소량의 추가 영혼 재를 받습니다.,1,26048,5352
,,2,26191,5336
,,3,26192,5336
골절의 방 안에서는 어둠땅 전역에서 온 수감자들이 뼈가 부러지고 다시 붙는 잔혹한 고문의 굴레에 갇혀 끝없이 고통받고 있습니다. 이들을 풀어주어 복수를 이룰 수 있게 해 주십시오.,보상 획득 - 이 단계를 다시 완료하면 소량의 추가 영혼 재를 받습니다.,4,26375,5354
토르가스트의 우뚝 솟은 첨탑들 사이에 떠 있는 얼음심장의 간극은 나락살이 키리안의 소굴입니다. 나락살이들은 하늘에서 공격을 퍼부으며 겁 없는 침입자들을 발 아래 어둠 속으로 떨어뜨릴 것입니다.,보상 획득 - 이 단계를 다시 완료하면 소량의 추가 영혼 재를 받습니다.,5,26377,5355
"변화무쌍하며 일그러진 이곳의 지형처럼, 모르트레가르에 갇힌 영혼들에게 본디의 모습은 흔적도 남아 있지 않습니다. 간수의 부하들은 이들을 복종시켜 강령술 실험체로 사용하며 끔찍한 괴수로 변형시킵니다.",보상 획득 - 이 단계를 다시 완료하면 소량의 추가 영혼 재를 받습니다.,6,26378,5353
상층부는 간수에게 가장 헌신적인 하수인들의 영역입니다. 정예 나락살이 군대와 그들과 동맹을 맺은 벤티르들은 이 전당을 순찰하며 그들의 주인을 위해 가장 강력한 방어 체계를 유지하고 있습니다.,보상 획득 - 이 단계를 다시 완료하면 소량의 추가 영혼 재를 받습니다.,7,26379,5357
"뒤틀린 회랑은 그 이름에 걸맞게 토르가스트의 수많은 수감동을 관통하며 예측할 수 없이 얽혀 있으며, 간수가 부리는 온갖 하수인들의 보호를 받고 있습니다. 용감하게 이 18층 탑으로 걸음을 내딛은 이들 중 돌아온 이는 많지 않습니다.",획득한 보상,8,26380,5358
영혼제련실은 저주받은 영혼들을 녹여 간수의 군대를 위한 무기와 갑옷으로 만들어 내는 곳입니다. 회랑에서 맹렬하게 타오르는 불길을 조심하십시오.,보상 획득 - 이 단계를 다시 완료하면 소량의 추가 영혼 재를 받습니다.,9,26376,5356
"스콜더스의 전당은 토르가스트의 수많은 수감동 중 하나에 지나지 않습니다. 감시관 스콜더스는 야수, 사슬, 함정을 이용해 포로와 자신의 영역을 침범한 이들을 고문합니다.",보상 획득 - 이 단계를 다시 완료하면 소량의 추가 영혼 재를 받습니다.,10,26655,5352
골절의 방 안에서는 어둠땅 전역에서 온 수감자들이 뼈가 부러지고 다시 붙는 잔혹한 고문의 굴레에 갇혀 끝없이 고통받고 있습니다. 이들을 풀어주어 복수를 이룰 수 있게 해 주십시오.,보상 획득 - 이 단계를 다시 완료하면 소량의 추가 영혼 재를 받습니다.,11,26656,5354
영혼제련실은 저주받은 영혼들을 녹여 간수의 군대를 위한 무기와 갑옷으로 만들어 내는 곳입니다. 회랑에서 맹렬하게 타오르는 불길을 조심하십시오.,보상 획득 - 이 단계를 다시 완료하면 소량의 추가 영혼 재를 받습니다.,12,26657,5356
토르가스트의 우뚝 솟은 첨탑들 사이에 떠 있는 얼음심장의 간극은 나락살이 키리안의 소굴입니다. 나락살이들은 하늘에서 공격을 퍼부으며 겁 없는 침입자들을 발 아래 어둠 속으로 떨어뜨릴 것입니다.,보상 획득 - 이 단계를 다시 완료하면 소량의 추가 영혼 재를 받습니다.,13,26658,5355
"변화무쌍하며 일그러진 이곳의 지형처럼, 모르트레가르에 갇힌 영혼들에게 본디의 모습은 흔적도 남아 있지 않습니다. 간수의 부하들은 이들을 복종시켜 강령술 실험체로 사용하며 끔찍한 괴수로 변형시킵니다.",보상 획득 - 이 단계를 다시 완료하면 소량의 추가 영혼 재를 받습니다.,14,26659,5353
상층부는 간수에게 가장 헌신적인 하수인들의 영역입니다. 정예 나락살이 군대와 그들과 동맹을 맺은 벤티르들은 이 전당을 순찰하며 그들의 주인을 위해 가장 강력한 방어 체계를 유지하고 있습니다.,보상 획득 - 이 단계를 다시 완료하면 소량의 추가 영혼 재를 받습니다.,15,26660,5357
"뒤틀린 회랑은 그 이름에 걸맞게 토르가스트의 수많은 수감동을 관통하며 예측할 수 없이 얽혀 있으며, 간수가 부리는 온갖 하수인들의 보호를 받고 있습니다. 용감하게 이 18층 탑으로 걸음을 내딛은 이들 중 돌아온 이는 많지 않습니다.|n|n무수히 많은 것이 든 상자의 영향을 받지 않습니다.",획득한 보상,16,26661,5358
,,17,25967,5283
,,18,26513,5283
,,19,26517,5287
,,20,26516,5285
,,21,26514,5302
,,22,26131,5283
,,23,26132,5302
,,24,26133,5287
,,25,26041,5285
,,26,26324,5283
,,27,26323,5283
,,28,26327,5283
,,29,26322,5283
,,30,26326,5283
,,31,26328,5287
,,32,26342,5287
,,33,26344,5287
,,34,26341,5287
,,35,26343,5287
,,36,26346,5302
,,37,26347,5302
,,38,26348,5302
,,39,26345,5302
,,40,26349,5302
,,41,26356,5285
,,42,26355,5285
,,43,26358,5285
,,44,26354,5285
,,45,26357,5285
최근 발견된 철화의 석실은 간수가 혐오해 마지않는 수감자들을 가두어 놓는 곳입니다.,보상 획득 - 이 단계를 다시 완료하면 소량의 추가 영혼 재를 받습니다.,46,26812,5354
토르가스트 모든 구역의 우두머리와 8층에 걸쳐 한바탕 전투를 벌입니다. 높이 올라갈수록 더욱더 어려워집니다.|n|n친구와 함께하길 추천합니다.|n|n무수히 많은 것이 든 상자의 영향을 받지 않습니다.,보상 획득,47,27436,5358
토르가스트 모든 구역의 우두머리와 8층에 걸쳐 한바탕 전투를 벌입니다. 높이 올라갈수록 더욱더 어려워집니다.|n|n친구와 함께하길 추천합니다.|n|n무수히 많은 것이 든 상자의 영향을 받지 않습니다.,보상 획득,48,27491,5358
,,50,32917,5551
,,51,32924,5551
,,52,33048,5551
,,53,33148,5551
,,54,33198,5551
,,56,33340,5551
,,57,33398,5551
,,58,33426,5551
,,59,33664,5551
,,60,33804,5551
,,61,33912,5551
,,63,33965,5551
,,64,34040,5551
,,65,36702,5551
,,66,37069,5551
,,68,37309,5551
,,69,38648,5551
,,70,39563,5551
,,75,39749,5551
