Name_lang,ID,Field_9_0_1_33978_001,PlayerConditionID,ReagentType,Field_10_0_2_46091_005,Field_11_2_0_61476_006
,12,1,0,0,0,0
아이템 레벨 변경 - 상급,16,0,0,0,0,0
보조 능력치 지정,17,0,0,0,0,0
,31,0,0,0,0,0
아이템 레벨 변경 - 하급,46,0,0,0,0,0
,47,0,0,0,0,0
,48,0,0,0,0,0
,49,0,0,0,0,0
,50,0,0,0,0,0
보조 능력치 지정,67,0,0,0,0,0
보조 능력치 지정,72,0,0,0,0,0
보조 능력치 지정,73,0,0,0,0,0
보조 능력치 지정,74,0,0,0,0,0
보조 능력치 지정,75,0,0,0,0,0
아이템 레벨 변경 - 하급,77,0,0,0,0,0
등급 증가,78,0,92156,0,0,0
창시자 강화 추가,79,0,95770,0,0,0
Test Ore (DNT),80,1,0,1,0,0
Draconium Ore (DNT),81,0,0,1,0,0
Primal Molten Alloy (DNT),82,0,0,1,0,0
Frostfire Alloy (DNT),83,0,0,1,0,0
Obsidian Seared Alloy (DNT),84,0,0,1,0,0
Infurious Alloy (DNT),85,0,0,1,0,0
등급이 모두 동일한 추가 재료입니다.,86,0,0,0,0,0
등급이 각기 다른 추가 재료입니다.,87,0,0,0,0,0
등급 차이가 존재하거나 존재하지 않는 선택 재료,88,0,0,0,0,0
Test finishing reagent (DNT),89,0,0,2,0,0
Test finishing reagent Slot (DNT),90,0,0,2,0,0
연금술 촉매,91,2,0,2,2,0
하급 명민한 통찰,92,2,0,2,2,0
명민한 통찰,93,2,0,2,2,0
연금술 촉매,94,2,0,2,2,0
Hochenblume (DNT),98,0,0,1,0,0
Writhebark (DNT),99,0,0,1,0,0
Saxifrage (DNT),100,0,0,1,0,0
Bubble Poppy (DNT),101,0,0,1,0,0
Primal Convergent (DNT),102,0,0,1,0,0
Omnium Draconis (DNT),103,0,0,1,0,0
Draconic Vial (DNT),104,0,0,1,0,0
Elemental Potion of Power (DNT),105,0,0,1,0,0
Phial of Tepid Versatility (DNT),106,0,0,1,0,0
Phial of Elemental Chaos (DNT),107,0,0,1,0,0
Potion of Frozen Focus (DNT),108,0,0,1,0,0
등급 증가,110,0,92156,0,0,0
힘 주입,111,2,0,0,1,0
장식 추가,112,0,0,0,1,0
Serevite Ore (DNT),114,0,0,1,0,0
훈련 매트릭스로 강화,116,0,0,0,1,0
Khaz'gorite Ore (DNT),117,0,0,1,0,0
장식 추가,123,0,0,0,1,0
담금질 용액,124,2,0,2,2,0
보조 능력치 지정,125,2,0,0,0,0
힘 주입,126,0,0,0,1,0
Queen's Ruby (DNT),128,0,0,1,0,0
Mystic Sapphire (DNT),129,0,0,1,0,0
Vibrant Emerald (DNT),130,0,0,1,0,0
Sundered Onyx (DNT),131,0,0,1,0,0
Eternity Amber (DNT),132,0,0,1,0,0
Alexstraszite (DNT),133,0,0,1,0,0
Malygite (DNT),134,0,0,1,0,0
Ysemerald (DNT),135,0,0,1,0,0
Neltharite (DNT),136,0,0,1,0,0
Nozdorite (DNT),137,0,0,1,0,0
