Name_lang,ID,UiTextureKitID,UiNameColor,UiBarOverlayColor,UiBarBackgroundColor,ChrSpecializationID,Flags,ArtifactCategoryID,UiModelSceneID,SpellVisualKitID
단도르의 격노,1,207,-11776,-382936,-2816,0,0,1,0,0
파멸의 인도자,2,207,-11776,16765504,4006400,70,0,1,28,82183
기만자의 쌍날검,3,206,-2200833,16122111,8650889,577,0,1,23,82147
알루네스 - 마그나의 대지팡이,4,208,-1267719,6343151,8615067,62,0,1,26,82174
대지의 수호자의 비늘,11,215,-44766,11010048,3276800,73,0,1,20,82029
타락한 왕자의 칼날,12,214,-3804673,9152481,1447762,251,0,1,22,82144
그하니르 - 어머니 나무,13,217,-2031755,-5579161,-16291053,105,0,1,24,82149
저주받은 자의 아귀,15,214,-3804673,-1494733,-12778752,250,0,1,22,82144
대재앙,16,214,-3804673,-12517523,-16761586,252,0,1,22,82144
포식자의 송곳니,17,216,-45544,-1278118,-6935508,261,0,1,21,82029
칼날갈퀴 - 야생 신의 창,34,226,-2031755,-13053570,-16760525,255,0,1,46,82153
발라리아르의 전쟁검,35,215,-44766,11010048,3276800,72,0,1,20,82029
스트롬카르 - 전쟁파괴자,36,215,-44766,11010048,3276800,71,0,1,20,82029
만아리의 해골,37,229,-4163342,-11204234,-16121829,266,2,1,32,82197
살게라스의 홀,38,229,-4163342,-7319653,-13500291,267,0,1,32,82197
울타레쉬 - 저승바람 수확기,39,229,-4163342,-6665828,-11199626,265,0,1,32,82197
라덴의 주먹,40,225,-9057793,-11808266,-16711616,262,0,1,31,82193
둠해머,41,225,-9057793,-11806981,-13022058,263,2,1,31,82193
샤라스달 - 해일의 홀,42,225,-9057793,-16473972,-16753298,264,0,1,31,82193
국왕 시해자,43,216,-45544,-2522525,-9889768,259,0,1,21,82029
공포의 검,44,216,-45544,-1589760,0,260,0,1,21,82029
투우레 - 나루의 봉화,45,227,-8851726,-9699335,-16766881,257,0,1,29,82184
빛의 분노,46,227,-8851726,-10424321,-16739937,256,0,1,29,82184
잘아타스 - 검은 제국의 비수,47,241,-4163342,-7580513,-11986828,258,2,1,30,82190
은빛 손,48,207,-11776,16765504,4006400,65,0,1,28,82183
진실의 수호자,49,207,-11776,16765504,4006400,66,0,1,28,82183
하늘의 주먹,50,228,-9044026,-12779585,-15226471,269,0,1,27,82181
셰이룬 - 안개의 지팡이,51,228,-9044026,-11733812,-16755897,270,0,1,27,82181
푸 잔 - 방랑자의 친구,52,228,-9044026,-12452628,-16083317,268,0,1,27,82181
칠흑한기 - 알로디의 대지팡이,53,208,-1267719,6343151,8615067,64,0,1,26,82174
펠로멜로른,54,208,-1267719,-1065376,-6281667,63,2,1,26,82174
타스도라 - 윈드러너의 유산,55,226,-2031755,-526230,-12430833,254,0,1,46,82153
티탄분쇄자,56,226,-2031755,-143103,0,253,0,1,46,82153
우르속의 발톱,57,217,-2031755,-5579161,-16291053,104,0,1,24,82149
아샤메인의 송곳니,58,217,-2031755,-5579161,-16291053,103,0,1,24,82149
엘룬의 낫,59,217,-2031755,-5579161,-16291053,102,0,1,24,82149
알드라치 전투검,60,206,-2200833,16122111,8650889,581,0,1,23,82147
미명 낚싯대,73,227,-1,-10976565,-16772353,0,0,2,0,0
떡갈나무의 인도자,74,207,-11776,16765504,4006400,70,0,1,0,0
시험용 유물 2,80,207,-11776,16765504,4006400,70,0,1,18,23596
시험용 유물,81,207,-11776,16765504,4006400,65,0,1,0,0
시험용 유물 3,82,207,-11776,16765504,4006400,66,0,1,0,0
오웬 시험용 유물,89,0,-16777216,-1732055,0,0,0,1,0,0
정의의 도구,194,227,-4207580,-1645248,-1890009,0,0,2,0,0
전쟁의 날개,195,227,-4207580,-1645248,-1890009,0,0,2,0,0
보루의 충의,196,227,-4207580,-1645248,-1890009,0,0,2,0,0
쾌속의 선봉대,197,227,-4207580,-1645248,-1890009,0,0,2,0,0
정의로운 복수,198,227,-4207580,-1645248,-1890009,0,0,2,0,0
레벤드레스의 교리서,199,214,-3804673,-1494733,-12778752,0,0,2,0,0
레벤드레스의 교리서,200,214,-3804673,-1494733,-12778752,0,0,2,0,0
레벤드레스의 교리서,201,214,-3804673,-1494733,-12778752,0,0,2,0,0
레벤드레스의 교리서,202,214,-3804673,-1494733,-12778752,0,0,2,0,0
레벤드레스의 교리서,203,214,-3804673,-1494733,-12778752,0,0,2,0,0
특성 시스템 1,205,214,-3804673,-1494733,0,0,0,2,0,0
특성 시스템 2,223,214,-3804673,-1494733,0,0,0,2,0,0
특성 시스템 3,225,214,-3804673,-1494733,0,0,0,2,0,0
스트롬카르 - 전쟁파괴자,234,215,-44766,11010048,3276800,71,0,1,20,82029
