ID,CategoryName_lang,CustomizeIcon,CustomizeIconSelected,OrderIndex,CameraZoomLevel,Flags,SpellShapeshiftFormID,CameraDistanceOffset
1,몸,11987,11986,4,20,3,0,0
2,얼굴,11991,11990,1,100,2,0,0
3,장신구,11985,11984,3,100,2,0,0
4,머리,11989,11988,2,100,2,0,0
5,특징,11987,11986,5,65,3,0,0
6,곰 변신,15730,15730,6,0,1,5,1
7,표범 변신,15731,15731,7,0,1,1,0
9,수중 동물 변신,15729,15729,10,0,1,4,1
10,날쌘 동물 변신,15734,15734,11,0,1,3,1
11,폭풍날개 변신,15732,15732,9,0,1,27,0
12,달빛야수 변신,15733,15733,8,0,1,31,0
13,얼굴 (언데드),11991,11990,1,80,3,0,0
14,얼굴 (판다렌),11991,11990,1,80,3,0,0
15,얼굴 (마그하르 오크),11991,11990,1,85,3,0,0
16,얼굴 (드워프),11991,11990,1,88,2,0,0
17,장신구 (드워프),11985,11984,3,88,2,0,0
18,얼굴 (타우렌),11991,11990,1,100,3,0,0
19,장신구 (타우렌),11985,11984,3,100,3,0,0
20,Face (Worgen),11991,11990,1,100,3,0,0
21,임프,24571,24571,40,50,1,0,1
22,몸 (드랙티르),11987,11986,1,20,2,0,0
23,거울,18308,18307,2,100,2,0,0
24,방어구 (드랙티르),11993,11992,5,20,2,0,0
26,Armor 2 (Dracthyr),11993,11992,6,20,2,0,0
27,몸통 (용 조련술),20126,20127,1,20,3,0,0
28,몸통 2 (용 조련술),20128,20129,2,20,3,0,0
29,머리 (용 조련술),20130,20131,3,100,2,0,0
30,머리 2 (용 조련술),18308,18307,4,100,2,0,0
31,장신구 (드랙티르),20130,20131,2,100,2,0,0
32,얼굴 (드랙티르),11991,11990,3,100,2,0,0
33,거울 (드랙티르),18308,18307,4,100,2,0,0
34,장신구 (마그하르 오크),11985,11984,2,85,3,0,0
37,지옥사냥개,24570,24570,43,50,1,0,1
39,공허방랑자,24575,24575,41,40,1,0,1
42,지옥수호병,24569,24569,44,30,1,0,1.4
43,파멸수호병,24684,24684,46,30,1,0,-1.2
44,세이야드,24574,24574,42,40,1,0,1
45,지옥불,24685,24685,45,30,1,0,1.5
46,몸 (달빛야수),11987,11986,1,40,3,0,0
47,암흑시선,26042,26042,47,30,1,0,1
48,폭군,26043,26043,48,70,1,0,1
50,보석,11987,11986,4,30,3,0,0
52,소생한 원시비룡,19958,19958,102,50,1,0,1
53,바람내기 벨로시비룡,19959,19959,103,50,1,0,1
54,절벽 황야비룡,19960,19960,104,50,1,0,1
55,구불구불한 비단비룡,23901,23901,105,50,1,0,1
56,동굴 황천날개 비룡,25100,25100,106,50,1,0,1
57,알가리안 폭풍기수,25101,25101,107,50,1,0,1
58,만개하는 변덕비룡,25531,25531,108,50,1,0,1
59,구렁 탐험가의 비행선,27697,27697,109,50,1,0,1
60,구렁 탐험가의 고블린 쾌속정,28583,28583,110,50,1,0,1
61,고원 비룡,19957,19957,101,50,1,0,1
