Description_lang,SortedProperty_lang,ID,ItemClass,ItemSubClass,InventoryType,OrderIndex,ParentCategory,DefaultAuctionHouseFilter,AuctionHouseExtraColumn
무기,아이템 레벨,1,3,0,13,100,0,0,1
한손 장비,아이템 레벨,2,0,0,0,10,1,0,1
한손 도끼,아이템 레벨,3,3,3,0,10,2,0,1
한손 둔기,아이템 레벨,4,3,7,0,20,2,0,1
한손 도검,아이템 레벨,5,3,10,0,30,2,0,1
전투검,아이템 레벨,6,3,12,0,40,2,0,1
단검,아이템 레벨,7,3,18,0,50,2,0,1
장착 무기,아이템 레벨,8,3,16,0,60,2,0,1
마법봉,아이템 레벨,9,3,56,0,70,2,0,1
양손 장비,아이템 레벨,10,0,0,0,20,1,0,1
양손 도끼,아이템 레벨,11,3,4,0,10,10,0,1
양손 둔기,아이템 레벨,12,3,8,0,20,10,0,1
양손 도검,아이템 레벨,13,3,11,0,30,10,0,1
장창,아이템 레벨,14,3,9,0,40,10,0,1
지팡이,아이템 레벨,15,3,13,0,50,10,0,1
원거리 장비,아이템 레벨,16,0,0,0,30,1,0,1
활,아이템 레벨,17,3,5,0,10,16,0,1
석궁,아이템 레벨,18,3,55,0,20,16,0,1
총기,아이템 레벨,19,3,6,0,30,16,0,1
투척 무기,아이템 레벨,20,3,34,0,40,16,0,1
기타,아이템 레벨,21,0,0,0,40,1,0,1
낚싯대,아이템 레벨,22,3,57,0,10,21,0,1
기타,아이템 레벨,23,3,17,0,20,21,0,1
방어구,아이템 레벨,24,5,0,0,200,0,0,1
판금,아이템 레벨,25,5,23,0,10,24,0,1
룬조각술,아이템 레벨,26,5,23,0,10,25,12,1
머리,아이템 레벨,27,5,23,1,20,25,0,1
어깨,아이템 레벨,28,5,23,3,30,25,0,1
가슴,아이템 레벨,29,5,23,5,40,25,0,1
허리,아이템 레벨,30,5,23,6,50,25,0,1
다리,아이템 레벨,31,5,23,7,60,25,0,1
발,아이템 레벨,32,5,23,8,70,25,0,1
손목,아이템 레벨,33,5,23,9,80,25,0,1
손,아이템 레벨,34,5,23,10,90,25,0,1
사슬,아이템 레벨,35,5,22,0,20,24,0,1
룬조각술,아이템 레벨,36,5,22,0,10,35,12,1
머리,아이템 레벨,37,5,22,1,20,35,0,1
어깨,아이템 레벨,38,5,22,3,30,35,0,1
가슴,아이템 레벨,39,5,22,5,40,35,0,1
허리,아이템 레벨,40,5,22,6,50,35,0,1
다리,아이템 레벨,41,5,22,7,60,35,0,1
발,아이템 레벨,42,5,22,8,70,35,0,1
손목,아이템 레벨,43,5,22,9,80,35,0,1
손,아이템 레벨,44,5,22,10,90,35,0,3
가죽,아이템 레벨,45,5,21,0,30,24,0,1
룬조각술,아이템 레벨,46,5,21,0,10,45,12,1
머리,아이템 레벨,47,5,21,1,20,45,0,1
어깨,아이템 레벨,48,5,21,3,30,45,0,1
