Name_lang,ID,UiTextureAtlasElementID,DecorCategoryID,OrderIndex
좌석,1,29176,1,0
침대,2,29113,1,3
문,3,29125,2,0
벽과 기둥,4,29203,2,1
탁자와 책상,5,29191,1,1
창고,6,29185,1,2
기타 가구,7,30799,1,4
창문,8,29206,2,2
대형 구조물,9,29155,2,3
기타 구조물,10,30799,2,4
장식품,11,29164,3,0
벽 걸개,12,29197,3,1
음식과 음료,13,29131,3,2
바닥,14,29128,3,3
기타 강조 요소,15,30799,3,4
대형 조명,16,29152,4,0
벽 조명,17,29200,4,1
천장 조명,18,29140,4,2
소형 조명,19,29182,4,3
환경 조명,20,29110,4,4
기타 조명,21,30799,4,5
다용도,22,29194,5,0
대형 관엽,25,29149,6,0
소형 관엽,26,29179,6,1
덤불,27,29116,6,2
지피 식물,28,29137,6,3
기타 자연,29,30799,6,4
기타 - 전체,34,30799,8,0
방 - 전체,35,0,9,0
기타 기능성,51,30799,5,1
