ID,EffectDescription_lang,AuraDescription_lang,SpellEffectType,AuraEffectType,PointsSign,TargetType,SchoolMask,EffectOrderIndex,AuraOrderIndex
1,적 하나에게 $s@effectindex의 물리 피해를 입힙니다.,,2,0,1,3,1,50,50
2,적 하나에게 $s@effectindex의 신성 피해를 입힙니다.,,2,0,1,3,2,50,50
3,적 하나에게 $s@effectindex의 화염 피해를 입힙니다.,,2,0,1,3,4,50,50
4,적 하나에게 $s@effectindex의 자연 피해를 입힙니다.,,2,0,1,3,8,50,50
5,적 하나에게 $s@effectindex의 냉기 피해를 입힙니다.,,2,0,1,3,16,50,50
6,적 하나에게 $s@effectindex의 암흑 피해를 입힙니다.,,2,0,1,3,32,50,50
7,적 하나에게 $s@effectindex의 비전 피해를 입힙니다.,,2,0,1,3,64,50,50
8,적 하나에게 $s@effectindex의 혼돈 피해를 입힙니다.,,2,0,1,3,127,50,50
9,충격 지점 $A@effectindex미터 내에 있는 적에게 $s@effectindex의 물리 피해를 입힙니다.,,2,0,1,5,1,50,50
10,충격 지점 $A@effectindex미터 내에 있는 적에게 $s@effectindex의 신성 피해를 입힙니다.,,2,0,1,5,2,50,50
11,충격 지점 $A@effectindex미터 내에 있는 적에게 $s@effectindex의 화염 피해를 입힙니다.,,2,0,1,5,4,50,50
12,충격 지점 $A@effectindex미터 내에 있는 적에게 $s@effectindex의 자연 피해를 입힙니다.,,2,0,1,5,8,50,50
13,충격 지점 $A@effectindex미터 내에 있는 적에게 $s@effectindex의 냉기 피해를 입힙니다.,,2,0,1,5,16,50,50
14,충격 지점 $A@effectindex미터 내에 있는 적에게 $s@effectindex의 암흑 피해를 입힙니다.,,2,0,1,5,32,50,50
15,충격 지점 $A@effectindex미터 내에 있는 적에게 $s@effectindex의 비전 피해를 입힙니다.,,2,0,1,5,64,50,50
16,충격 지점 $A@effectindex미터 내에 있는 적에게 $s@effectindex의 혼돈 피해를 입힙니다.,,2,0,1,5,127,50,50
17,$A@effectindex미터 내에 있는 적에게 $s@effectindex의 물리 피해를 입힙니다.,,2,0,1,7,1,50,50
18,$A@effectindex미터 내에 있는 적에게 $s@effectindex의 신성 피해를 입힙니다.,,2,0,1,7,2,50,50
19,$A@effectindex미터 내에 있는 적에게 $s@effectindex의 화염 피해를 입힙니다.,,2,0,1,7,4,50,50
20,$A@effectindex미터 내에 있는 적에게 $s@effectindex의 자연 피해를 입힙니다.,,2,0,1,7,8,50,50
21,$A@effectindex미터 내에 있는 적에게 $s@effectindex의 냉기 피해를 입힙니다.,,2,0,1,7,16,50,50
22,$A@effectindex미터 내에 있는 적에게 $s@effectindex의 암흑 피해를 입힙니다.,,2,0,1,7,32,50,50
23,$A@effectindex미터 내에 있는 적에게 $s@effectindex의 비전 피해를 입힙니다.,,2,0,1,7,64,50,50
24,$A@effectindex미터 내에 있는 적에게 $s@effectindex의 혼돈 피해를 입힙니다.,,2,0,1,7,127,50,50
