ID,Description_lang,Color
2,부가 설명 추가,16777215
20,10 시즌,-16711936
226,10 시즌 정예,-16711936
525,9 시즌 정예,-16711936
653,9 시즌,-16711936
1013,11 시즌,-16711936
1208,11 시즌 정예,-16711936
1591,19 시즌,-16711936
1593,이 색은 눈이 아픕니다,-65536
1641,공격대 찾기,-16711936
2015,상급,65280
2023,10 시즌 정예,-1
2255,12 시즌,65280
2667,12 시즌 정예,65280
3564,,65280
3759,세공 재료,-10044417
3765,100 칸 가방,-1
3845,정예 상급,65280
3859,정예,65280
3933,13 시즌,65280
3934,13 시즌 정예,65280
4918,1 등급,-16711681
4949,2 등급,-16711681
4953,3 등급,-16711681
4957,4 등급,-16711681
4961,5 등급,-16711681
4965,7 등급,-16711681
4969,8 등급,-16711681
4970,6 등급,-16711681
5213,시나리오 아이템,-1
5616,천둥벼림,65280
6360,천둥벼림 상급,65280
6798,9 등급,-16711681
6842,?? 등급,-16711681
6843,8 시즌,65280
6894,8 시즌 정예,65280
7052,7 시즌,65280
7225,7 시즌 정예,65280
7261,6 시즌,65280
7434,6 시즌 정예,65280
7463,5 시즌,65280
7636,4 시즌,65280
7775,3 시즌,65280
7906,2 시즌,65280
8027,1 시즌,65280
8869,탄력적 공격대,65280
9059,14 시즌,65280
9459,14 시즌 정예,65280
10066,천둥벼림 상급,16711680
10126,15 시즌,65280
10520,15 시즌 정예,65280
11080,영원의 장비,65280
11179,전쟁벼림 상급,65280
11428,전쟁벼림,65280
12743,노획품,-10044417
12790,온전함,-16711936
12934,연금술 재료,-10044417
13021,세공 재료,-7820545
13111,힘의,0
13145,신화,-16711936
13149,기계공학 재료,-10044417
13150,불꽃섬광의,0
13151,무쌍의,0
13152,쾌검의,0
13153,야만의,0
13154,광신도의,0
13155,속임수의,0
13156,열꽃의,0
13157,서광의,0
13158,기교의,0
13159,광신자의,0
13160,바람구체자의,0
13161,조화의,0
13162,무자비의,0
13163,예언자의,0
13164,귀족의,0
13165,전략가의,0
13166,점쟁이의,0
13167,강인한 자의,0
13168,전령의,0
13169,폭풍파괴자의,0
13170,조급한 자의,0
13171,학자의,0
13172,융통성의,0
13173,냉혹한 자의,0
13174,신앙의,0
13175,불굴의,0
13176,척살자의,0
13178,전쟁군주 토너먼트,65280
13181,요리 재료,-10044417
13184,제작 재료,-10044417
13185,2/6 단계,65280
13186,3/6 단계,65280
13187,1/6 단계,65280
13188,전쟁벼림 신화,-16711936
13190,추종자 장비,-9316865
13191,주둔지 자원,-10044417
13192,교역소 물품,-16724737
13193,일반,65280
13194,교역소 모듈,-16724737
13195,온전,-10044417
13196,전쟁군주 1 시즌,65280
13197,종족별 PvP 징표,-7820545
13198,전쟁군주 1 시즌 정예,65280
13201,0 단계,65280
13202,1 단계 - 신성,65280
13203,1 단계 - 화염,65280
13204,1 단계 - 타락,65280
13205,2 단계 - 신성,65280
13206,2 단계 - 화염,65280
13207,2 단계 - 타락,65280
13208,4/6 단계,65280
13209,주둔지 도면,-10044417
13210,시간여행단,-1651584
13211,전쟁군주 2 시즌,65280
13212,전쟁군주 2 시즌 정예,65280
13213,전쟁군주 3 시즌,65280
13214,전쟁군주 3 시즌 정예,65280
13215,훔치기,-16724737
13216,시간왜곡,-16711936
13217,5/6 단계,65280
13218,6/6 단계,65280
13219,유물력,-1651584
13220,전쟁벼림 시간왜곡,-16711936
13222,강화,65280
13223,고대 마나,-10044417
13224,해상 장비,65280
13225,불길한 장비,-16711936
13226,군단 1 시즌,65280
13227,군단 1 시즌 정예,65280
13228,용사 장비,-12288
13230,1/9단계,65280
13231,2/9단계,65280
13232,3/9단계,65280
13233,4/9단계,65280
13234,5/9단계,65280
13235,6/9단계,65280
13236,7/9단계,65280
13237,8/9단계,65280
13238,9/9단계,65280
13239,티탄벼림,65280
13241,오딘의 격노,-1651584
13242,헬리아의 분노,-1651584
13243,서리수확자,-1651584
13244,얼음인도자,-1651584
13245,베루스,-1651584
13246,무라마스,-1651584
13247,알부르크,-1651584
13248,알라에드,-1651584
13249,고뇌,-1651584
13250,슬픔,-1651584
13251,운명,-1651584
13252,행운,-1651584
13253,피송곳니,-1651584
13254,아카리의 의지,-1651584
13256,소멸석: 0/10,65280
13257,소멸석: 1/10,65280
13258,소멸석: 2/10,65280
13259,소멸석: 3/10,65280
13260,소멸석: 4/10,65280
13261,소멸석: 5/10,65280
13262,소멸석: 6/10,65280
13263,소멸석: 7/10,65280
13264,소멸 가능,-7820545
13265,신화 2,-16711936
13266,신화 3,-16711936
13267,신화 4,-16711936
13268,신화 5,-16711936
13269,신화 6,-16711936
13270,신화 7,-16711936
13271,신화 8,-16711936
13272,신화 9,-16711936
13273,신화 10,-16711936
13274,신화 2 행운,-16711936
13275,신화 3 행운,-16711936
13276,신화 4 행운,-16711936
13277,신화 5 행운,-16711936
13278,신화 6 행운,-16711936
13279,신화 7 행운,-16711936
13280,신화 8 행운,-16711936
13281,신화 9 행운,-16711936
13282,소멸석: 8/10,65280
13284,역전용사,-16711936
13285,소멸석: 9/10,65280
13286,소멸석: 10/10,65280
13287,군단 2 시즌,65280
13288,군단 2 시즌 정예,65280
13289,신화 11,-16711936
13290,신화 12,-16711936
13291,25인 (일반),0
13292,25인 (영웅),0
13293,10인 (일반),65280
13294,8 등급,-16711681
13295,군단 3 시즌,65280
13296,군단 3 시즌 정예,65280
13297,군단 4 시즌,65280
13298,군단 4 시즌 정예,65280
13299,군단 5 시즌,65280
13300,군단 5 시즌 정예,65280
13301,검투사,-16711936
13302,전투원 I,-16711936
13303,지원자,-16711936
13304,명예,-16711936
13305,태양샘,-16711936
13306,PVP 희귀,65280
13307,PVP 영웅,65280
13308,신화 13,-16711936
13309,신화 14,-16711936
13310,신화 15,-16711936
13311,군단 6 시즌,65280
13312,군단 7 시즌,65280
13313,군단 6 시즌 정예,65280
13314,군단 7 시즌 정예,65280
13315,군단 1/2 시즌,65280
13316,군단 1/2 시즌 정예,65280
13317,군단 3/4 시즌,65280
13318,군단 3/4 시즌 정예,65280
13319,제작 아이템,-10044417
13320,승계의 장비,65280
13321,담대의 장비,65280
13322,원시 소멸석: 0/10,65280
13323,원시 소멸석: 1/10,65280
13324,원시 소멸석: 2/10,65280
13325,원시 소멸석: 3/10,65280
13326,원시 소멸석: 4/10,65280
13327,원시 소멸석: 5/10,65280
13328,원시 소멸석: 6/10,65280
13329,원시 소멸석: 7/10,65280
13330,원시 소멸석: 8/10,65280
13331,원시 소멸석: 9/10,65280
13332,원시 소멸석: 10/10,65280
13333,샤투그,-6081042
13334,프하르그,-6081042
13335,"군단 5, 6, 7 시즌",65280
13336,"군단 5, 6, 7 시즌 정예",65280
13337,압수의 장비,65280
13338,무결의 장비,65280
13339,무결의 장비,-16711936
13343,아제라이트 3레벨,15923845
13445,도전자 I,-16711936
13446,승부사 I,-16711936
13447,결투사,-16711936
13448,격전지,-1
13449,유물력,-6447715
13450,기념품,65280
13451,공포를 부르는 전투원,-16711936
13452,사악한 전투원,-16711936
13453,공포를 부르는 도전자,-16711936
13454,사악한 도전자,-16711936
13455,공포를 부르는 승부사,-16711936
13456,사악한 승부사,-16711936
13457,공포를 부르는 결투사,-16711936
13458,사악한 결투사,-16711936
13459,공포를 부르는 검투사,-16711936
13460,사악한 검투사,-16711936
13461,격전의 아제로스 1 시즌,65280
13462,격전의 아제로스 2 시즌,65280
13463,사악한 정예병,-16711936
13464,공포를 부르는 정예병,65280
13465,메카곤 땜질,-10044417
13486,봉인된 은밀한 선물,-6081042
13487,열어 본 은밀한 선물,-6081042
13488,멋의 대제전 4 시즌,65280
13489,멋의 대제전 2 시즌,65280
13490,멋의 대제전 1 시즌,65280
13491,측정값- 가속 0.75 : 유연성 0.25,-14614752
13492,멋의 대제전 3 시즌,65280
13493,악명 높은 도전자,-16711936
13494,악명 높은 전투원,-16711936
13495,악명 높은 결투사,-16711936
13496,악명 높은 정예병,-16711936
