Name_lang,Description_lang,ID,UiTextureAtlasElementID,TraitTreeID
Yellow [DNT],[DNT] This is a UI Engineering test SubTree.,9,18688,898
Pink [DNT],[DNT] This is a UI Engineering test SubTree.,10,4076,898
Blue [DNT],[DNT] This is a UI Engineering test SubTree.,11,4073,898
Red [DNT],[DNT] This is a UI Engineering test SubTree.,12,11358,898
UI Test Subtree 1,설명,16,11409,878
UI Test Subtree 2,기타 설명,17,0,880
공허술사,"공허술사는 공허 마법의 기원을 연구하는 데 전념해 왔고, 공허와의 미약한 연결 고리를 찢어 열어젖히는 방법을 발견했습니다. 이 힘은 엄청나게 위험하고 불안정하며, 경로에 있는 모든 것을 집어삼킵니다.",18,26682,795
집정관,"집정관은 무척이나 독실하며, 빛과 그림자와 깊이 연결되어 있습니다. 집정관은 지고한 존재에게 축복을 받음으로써 승천 상태로 거듭나 궁극의 존재가 될 수 있습니다.",19,27430,795
예언자,예언자는 미래를 내다보는 통찰력으로 아군을 보호하고 강화합니다. 예언자는 예지력을 바탕으로 아군에게 독특한 축복과 이로운 효과를 부여합니다. 받는 상대가 이런 도움이 필요할 거란 걸 깨닫기도 전에 말입니다.,20,26934,795
발톱의 드루이드,"발톱의 드루이드는 강력한 동물 변신의 대가입니다. 이들은 표범이나 곰으로 변신했을 때 흉포한 전투원이나 마찬가지이며, 그 힘으로 자연을 수호합니다.",21,26675,793
야생추적자,"야생추적자는 외딴 자연과 어울려 살아갑니다. 이들은 사냥을 통해 영원한 생명과 죽음의 순환을 유지하고 자연을 더럽히는 자들을 처단합니다. 또, 치유의 힘으로 황량한 땅과 생명체들을 복원하기도 합니다.",22,26677,793
숲의 수호자,"숲의 수호자는 자연의 조화와 꿈을 수호하는 세나리우스의 강력한 자손들에게서 영감을 얻었습니다. 이들은 꿈의 힘을 집중하여 주문의 위력을 대폭 강화하고 강화된 나무정령을 소환해 아군을 보호하는 한편, 적을 짓밟습니다.",23,26686,793
엘룬의 대행자,"엘룬의 대행자는 달의 여신에게 헌신하며, 엘룬처럼 달과 별의 유대를 활용합니다. 이들의 능력에는 천공의 힘이 깃들어 있으며 강력한 달빛 마법을 불러 내립니다.",24,26685,793
공격 담당,브란이 아끼는 무기 든든한 동반자를 사용해 멀리서 적을 공격합니다.,29,24179,874
치유 담당,브란이 의료 보급품과 수집한 유물로 부상당한 플레이어를 처치합니다.,30,24186,874
산레인,산레인은 혈기와 암흑 마법으로 적을 약화시키고 자신의 힘을 강화하는 실력이 탁월합니다.,31,26673,750
종말의 기수,"종말의 기수는 전설적인 4인 기사단을 권속으로 거느립니다. 이들은 기사단을 불러내 그 힘을 빌리고, 죽음과 기근, 질병의 권능을 부립니다.",32,27222,750
죽음의 인도자,"죽음의 사자가 됩니다. 어둠땅의 힘으로 강화된 공격을 구사해 적의 영혼을 노리며, 필연적인 최후를 떠올리게 합니다.",33,26672,750
지옥상흔,지옥상흔은 내면의 악마를 받아들여 지옥 화염의 폭발적인 힘을 극대화합니다.,34,27066,854
알드라치 파괴자,"알드라치 전사는 타의 추종을 불허하는 전투검술의 달인이며, 치명적이고 기품 있게 적을 처단합니다. 나아가 상대의 영혼을 흡수해 무기에 더욱더 강한 힘을 불어넣습니다.",35,27132,854
비늘사령관,"비늘사령관은 타고난 지도자입니다. 이들은 동료를 고무시켜 성장의 길로 이끌며, 그렇기에 드랙티르의 장군으로 선택받았습니다. 비늘사령관은 강화 주문으로 병력에 전투 명령을 내리고 병력을 불러냅니다.",36,27067,872
불꽃형성자,"불꽃형성자는 알렉스트라자와 긴밀한 관계를 맺고 있으며 아군 보호와 재생, 소생을 특기로 삼고 있습니다. 이들은 용의 불꽃을 퍼뜨리고, 증폭시키고, 조작하는 독특한 능력을 구사합니다.",37,27223,872
시간 감시자,"시간 감시자는 시간을 조작해 미래를 엿볼 수 있으며, 빠른 속도로 공격하거나 메아리를 불러내 과거의 행동을 돌아볼 수 있습니다. 청동용의 마법에 특화된 이들은 늘 수많은 미래의 가능성을 보기 때문에 불안정을 유발하기도 합니다.",38,26678,872
성난태양,비전 화염을 받아들인 성난태양 마법사는 파괴적인 주문을 강화하여 구사합니다. 심지어 비전화염 불사조의 도움을 받기도 합니다.,39,27133,658
주문술사,주문술사는 마법의 불안정한 본질에 통달하여 마법을 쪼개 강력하고 불안정한 효과를 창출해 냅니다.,40,27429,658
