Description_lang,Title_lang,Reward_lang,ID,Instance_ID,Faction,Supercedes,Category,Minimum_criteria,Points,Flags,Ui_order,IconFileID,RewardItemID,Criteria_tree,Shares_criteria,CovenantID,HiddenBeforeDisplaySeason,LegacyAfterTimeEvent
10 레벨 달성,10 레벨,,6,-1,-1,0,92,0,10,2097156,11,236562,0,2050,0,0,0,0
20 레벨 달성,20 레벨,,7,-1,-1,6,92,0,10,2097156,12,236563,0,2683,0,0,0,0
30 레벨 달성,30 레벨,,8,-1,-1,7,92,0,10,2097156,14,236564,0,1289,0,0,0,0
40 레벨 달성,40 레벨,,9,-1,-1,8,92,0,10,2097156,15,236565,0,942,0,0,0,0
어둠땅 확장팩 출시 전에 50 레벨 달성,50 레벨 (유산),,10,-1,-1,0,15446,0,0,2103300,1,236566,0,0,0,0,0,0
어둠땅 확장팩 출시 전에 60 레벨 달성,60 레벨 (유산),,11,-1,-1,10,15446,0,0,2103300,2,236567,0,0,0,0,0,0
어둠땅 확장팩 출시 전에 70 레벨 달성,70 레벨 (유산),,12,-1,-1,11,15446,0,0,2103300,3,236568,0,0,0,0,0,0
어둠땅 확장팩 출시 전에 80 레벨 달성,80 레벨 (유산),,13,-1,-1,12,15446,0,0,2103300,4,236569,0,0,0,0,0,0
서로 다른 애완동물 15마리 모으기,애완동물 애호가,,15,-1,-1,1017,15118,0,10,131072,5,132599,0,22152,0,0,0,0
맨손 전투 숙련도 400 달성,주먹밥 시키신 분?,,16,-1,-1,0,15446,0,0,2048,30,132356,0,6318,0,0,0,0
연속 5일 동안 일일 퀘스트 수행,매일 매일 퀘스트,,31,-1,-1,0,96,0,10,131072,25,236680,0,2807,0,0,0,0
"퀘스트 2,000개 완료","퀘스트 2,000개 완료",,32,-1,-1,508,96,0,10,131072,8,236670,0,2810,0,0,0,0
아래 나열된 북풍의 땅 이야기 전개 완료,북풍의 땅이 지루하다고?,,33,-1,1,0,14863,0,10,131072,2,236728,0,1741,0,0,0,0
아래 나열된 울부짖는 협만 이야기 전개 완료,협만 여행,,34,-1,1,0,14863,0,10,131072,6,236787,0,5287,0,0,0,0
아래 나열된 용의 안식처 이야기 전개 완료,용의 안식처의 힘,,35,-1,1,0,14863,0,10,131072,10,236749,0,1745,0,0,0,0
아래 나열된 줄드락 이야기 전개 완료,줄드락 제국,,36,-1,-1,0,14863,0,10,131072,17,236862,0,1881,0,0,0,0
아래 나열된 회색 구릉지 이야기 전개 완료,회색 구릉지 모험,,37,-1,1,0,14863,0,10,131072,14,236772,0,5284,0,0,0,0
아래 나열된 폭풍우 봉우리 이야기 전개 완료,폭풍우 봉우리 정상,,38,-1,-1,0,14863,0,10,131072,22,236838,0,1884,0,0,0,0
아래 나열된 숄라자르 분지 이야기 전개 완료,숄라자르 분지로,,39,-1,-1,0,14863,0,10,131072,20,236823,0,1887,0,0,0,0
아래 나열된 얼음왕관 이야기 전개 완료,얼음왕관: 최종 목표,,40,-1,-1,0,14863,0,10,131072,23,236799,0,3375,0,0,0,0
아래 나열된 노스렌드 퀘스트 업적 완료,노스렌드의 현자,,41,-1,-1,0,14863,0,10,131072,33,236812,0,5756,0,0,0,0
동부 왕국 지역 탐험,동부 왕국 탐험가,,42,-1,-1,0,97,0,25,131072,1,236759,0,2402,0,0,0,0
칼림도어 지역 탐험,칼림도어 탐험가,,43,-1,-1,0,97,0,25,131072,2,236807,0,3317,0,0,0,0
아웃랜드 지역 탐험,아웃랜드 탐험가,,44,-1,-1,0,97,0,25,131072,3,236813,0,3340,0,0,0,0
노스렌드 지역 탐험,노스렌드 탐험가,보상: 탐험가의 휘장,45,-1,-1,0,97,0,25,131072,4,236812,0,12064,0,0,0,0
"동부 왕국, 칼림도어, 아웃랜드, 노스렌드, 판다리아, 드레노어, 부서진 섬, 쿨 티라스, 잔달라 및 대격변으로 드러난 지역 탐험",세계 탐험가,칭호: 탐험가,46,-1,-1,0,97,0,50,131072,13,237381,0,3257,0,0,0,0
알터랙 계곡 승리,알터랙 계곡 승리,,49,30,-1,0,153,0,0,1,6,136243,0,15889,0,0,0,0
폭풍의 눈 승리,폭풍의 눈 승리,,50,566,-1,0,153,0,0,1,13,136243,0,9109,0,0,0,0
아라시 분지 승리,아라시 분지 승리,,51,529,-1,0,153,0,0,1,8,136243,0,5504,0,0,0,0
전쟁노래 협곡 전투,전쟁노래 협곡 전투,,52,489,-1,0,153,0,0,1,20,136243,0,5507,0,0,0,0
알터랙 계곡 전투,알터랙 계곡 전투,,53,30,-1,0,153,0,0,1,5,136243,0,5510,0,0,0,0
폭풍의 눈 전투,폭풍의 눈 전투,,54,566,-1,0,153,0,0,1,11,136243,0,1272,0,0,0,0
아라시 분지 전투,아라시 분지 전투,,55,529,-1,0,153,0,0,1,7,136243,0,3391,0,0,0,0
전체 죽은 횟수,전체 죽은 횟수,,60,-1,-1,0,122,0,0,1,1,136243,0,1189,0,0,0,0
아라시 분지 단일 전투에서 거점 3개 공격,아라시 분지 농락,,73,-1,-1,0,14802,0,10,0,5,132333,0,7709,0,0,0,0
포기한 퀘스트,포기한 퀘스트,,94,-1,-1,0,133,0,0,1,5,136243,0,805,0,0,0,0
일일 평균 완료한 퀘스트,일일 평균 완료한 퀘스트,,95,-1,-1,0,133,0,0,65,2,136243,0,5199,98,0,0,0
완료한 일일 퀘스트,완료한 일일 퀘스트,,97,-1,-1,0,133,0,0,1,3,136243,0,5766,0,0,0,0
완료한 퀘스트,완료한 퀘스트,,98,-1,-1,0,133,0,0,1,1,136243,0,758,0,0,0,0
로데론의 폐허 경기,로데론의 폐허 경기,,99,-1,-1,0,152,0,0,1,35,136243,0,15898,0,0,0,0
나그란드 투기장 승리,나그란드 투기장 승리,,100,-1,-1,0,152,0,0,1,30,136243,0,836,0,0,0,0
나그란드 투기장 경기,나그란드 투기장 경기,,101,-1,-1,0,152,0,0,1,29,136243,0,945,0,0,0,0
로데론의 폐허 승리,로데론의 폐허 승리,,102,-1,-1,0,152,0,0,1,36,136243,0,8210,0,0,0,0
칼날 산맥 투기장 경기,칼날 산맥 투기장 경기,,103,-1,-1,0,152,0,0,1,13,136243,0,808,0,0,0,0
칼날 산맥 투기장 승리,칼날 산맥 투기장 승리,,104,-1,-1,0,152,0,0,1,14,136243,0,15892,0,0,0,0
