ID,Name_lang,TotemCategoryType,TotemCategoryMask
1,무두질용 손칼,1,1
2,대지의 토템,2,1
3,바람의 토템,2,2
4,불의 토템,2,4
5,물의 토템,2,8
6,룬새김 마법막대,24,65536
7,룬새김 마법막대,24,65536
8,룬새김 마법막대,24,65536
9,룬새김 마법막대,24,65536
10,룬새김 마법막대,24,65536
11,채광용 곡괭이,21,1
12,현자의 돌,22,1
13,대장장이 망치,23,1
14,만능 스패너,24,1
15,자동회전 초정밀조율기,24,2
21,만물의 토템,2,15
41,룬새김 마법막대,24,65536
62,룬새김 마법막대,24,65536
63,룬새김 마법막대,24,65536
81,빈 깃대,22,4
101,룬새김 마법막대,24,69631
121,숙련자의 필기구,24,-2147483648
141,북소리,24,1073741824
161,노움 군용칼,24,127
162,대장장이 망치,24,4
165,채광용 곡괭이,24,8
166,무두질용 손칼,24,16
167,망치 곡괭이,24,12
168,칼날 곡괭이,24,24
169,부싯돌과 불쏘시개,24,32
189,룬새김 마법막대,24,65536
190,룬새김 마법막대,24,65536
209,룬새김 마법막대,24,65536
210,고성능 나사 총,24,64
230,룬새김 마법막대,24,65536
238,보석세공인의 도구,24,64
250,궁극적 노움 군용칼,24,-2147417985
253,라나텔의 핏빛 깃털,61,1
354,고5급 스패너,24,1
355,공허 집중 장치,162,1
356,강화된 공허 집중 장치,162,3
357,해방된 공허 집중 장치,162,7
358,기술의 달인,24,-2147483553
359,숙련자의 각인 도구,24,-2147483648
362,기계공학 다용도 도구,24,71
369,노움 군대 장비 일체,164,-1
