ID,Name_lang,GameType_lang,ShortDescription_lang,LongDescription_lang,PvpType,MinLevel,MaxLevel,RatedPlayers,MinPlayers,MaxPlayers,GroupsAllowed,MaxGroupSize,HolidayWorldState,Flags,IconFileDataID,Required_Player_Condition_ID
1,알터랙 계곡,대규모 전장,,,0,20,80,25,10,40,1,5,1941,152,136324,0
2,클래식 전쟁노래 협곡,깃발 쟁취,,,0,0,0,10,5,10,1,5,1942,0,136365,0
3,클래식 아라시 분지,점령,,,0,0,0,10,8,15,1,5,1943,0,136322,0
4,Nagrand Arena (old),,,,1,0,0,5,0,5,1,5,0,1,460867,5793
5,zzOldBlade's Edge Arena,,,,1,0,0,5,0,5,1,5,0,1,460861,0
6,모든 투기장,,,,1,20,80,5,0,5,1,3,0,8,525915,0
7,폭풍의 눈,점령,,,0,20,80,15,8,15,1,5,2851,24,525912,0
8,로데론의 폐허,,,,1,10,80,5,0,5,1,5,0,8,460869,0
9,고대의 해안,공성,,,0,10,60,15,8,15,1,5,3695,1,460870,0
10,달라란 하수도,,,,1,10,80,5,0,5,1,5,0,8,460862,0
11,용맹의 투기장,,,,1,0,0,5,0,5,1,5,0,0,460868,0
30,정복의 섬,대규모 전장,,,0,20,80,25,10,40,1,5,4273,152,311222,0
32,무작위 전장,,,,0,10,80,25,5,10,1,5,0,0,525915,0
100,평점제 전장,,,,0,50,80,10,5,10,1,10,0,2,0,0
101,평점제 전장,,,,0,50,60,15,8,15,1,15,0,2,0,0
102,평점제 전장,,,,0,50,80,6,4,6,1,6,0,2,0,0
108,쌍둥이 봉우리,깃발 쟁취,,,0,30,80,10,5,10,1,5,5361,24,525913,0
120,길니아스 전투지,점령,,,0,20,80,10,3,10,1,5,5360,24,460871,0
656,평점제 폭풍의 눈,,,,0,50,80,10,5,10,1,5,2851,10,0,0
699,코트모구의 사원,무력의 공,,,0,40,80,10,2,10,1,5,6306,24,791651,0
706,CTF3,,,,0,0,0,10,5,10,1,5,6408,1,0,0
708,은빛수정 광산,자원 획득,,,0,30,80,10,5,10,1,5,6436,24,791650,0
719,톨비론 투기장,,,,1,10,80,5,0,5,1,5,0,8,791652,0
754,깊은바람 협곡 (유산),점령,,,0,40,70,10,8,15,1,5,7671,8,875925,0
757,범의 봉우리,,,,1,10,80,5,0,5,1,5,0,8,875926,0
789,타렌 밀농장 대 사우스쇼어,난투,,,0,50,80,0,10,40,1,5,0,32,0,0
803,Small Battleground D,여러 지역,,,0,0,0,5,0,5,1,5,0,1,0,0
808,검은 떼까마귀 요새 투기장,,,,1,10,80,5,0,5,1,5,0,8,1389174,0
809,나그란드 투기장,,,,1,10,80,5,0,5,1,5,0,8,460867,0
816,아샤메인의 몰락지,,,,1,10,80,5,0,5,1,5,0,8,1389175,0
844,칼날 산맥 투기장,,,,1,10,80,5,0,5,1,5,0,8,460861,0
846,길니아스 전투지 (구 도시 지도),난투,,,0,0,0,10,5,10,1,5,0,33,460871,0
847,아라시 분지 겨울,난투,,,0,50,80,10,8,15,1,5,0,32,136322,0
848,AI Test - Arathi Basin,,,,0,0,0,10,8,15,1,15,12812,1,0,0
849,깊은바람 덩크슛,난투,,,0,50,80,10,8,15,1,5,0,32,875925,0
853,음영파 결전지,난투,,,0,50,80,5,0,5,1,5,0,96,0,0
856,[TEMP] RaceTrackBG,점령,,,0,0,0,10,5,10,1,5,0,1,875925,0
857,검은바위 산 전투지,,,,0,0,0,0,2,2,1,2,0,33,136326,0
858,앗뜨모구의 사원,난투,,,0,50,80,10,1,10,1,5,0,32,791651,0
859,중력 붕괴,난투,,,0,50,80,15,8,15,1,5,0,32,525912,0
860,깊은바람 덩크슛,난투,,,0,50,80,10,8,15,1,5,0,32,875925,0
861,전쟁노래 쟁탈전,난투,,,0,50,80,10,5,10,1,5,0,32,136365,0
862,뿔의 눈,난투,,,0,50,80,15,8,15,1,5,0,32,525912,0
866,모든 투기장,난투,,,0,50,80,5,8,15,1,5,0,96,525915,0
868,로데론의 폐허,,,,0,50,80,5,0,15,1,5,0,96,460869,0
869,달라란 하수도,,,,0,50,80,5,0,15,1,5,0,96,460862,0
870,톨비론 투기장,,,,0,50,80,5,0,15,1,5,0,96,791652,0
871,범의 봉우리,,,,0,50,80,5,0,15,1,5,0,96,875926,0
872,검은 떼까마귀 요새 투기장,,,,0,50,80,5,0,15,1,5,0,96,1389174,0
873,나그란드 투기장,,,,0,50,80,5,0,15,1,5,0,96,460867,0
874,아샤메인의 몰락지,,,,0,50,80,5,0,15,1,5,0,96,1389175,0
875,칼날 산맥 투기장,,,,0,50,80,5,0,15,1,5,0,96,460861,0
878,AI Test - Warsong Gulch,,,,0,0,0,10,5,10,1,10,0,1,0,0
879,용맹한 6인,난투,,,0,50,80,6,5,6,1,6,0,32,0,0
880,아라시 분지,난투,,,0,50,80,6,6,6,1,6,0,32,0,0
881,깊은바람 협곡,난투,,,0,50,80,6,6,6,1,6,0,32,0,0
882,폭풍의 눈,난투,,,0,50,80,6,6,6,1,6,0,32,0,0
883,은빛수정 광산,난투,,,0,50,70,6,6,6,1,6,0,32,0,0
