ID,Reaction_lang,FriendshipRepID,ReactionThreshold,OverrideColor
1,이방인,2,0,0
2,지인,2,8400,0
3,동료,2,16800,0
4,친구,2,25200,0
5,좋은 친구,2,33600,0
6,가장 친한 친구,2,42000,0
59,이방인,16,0,0
60,지인,16,8400,0
61,동료,16,16800,0
62,친구,16,25200,0
63,좋은 친구,16,33600,0
64,가장 친한 친구,16,42000,0
65,이방인,17,0,0
66,지인,17,8400,0
67,동료,17,16800,0
68,친구,17,25200,0
69,좋은 친구,17,33600,0
70,가장 친한 친구,17,42000,0
71,이방인,18,0,0
72,지인,18,8400,0
73,동료,18,16800,0
74,친구,18,25200,0
75,좋은 친구,18,33600,0
76,가장 친한 친구,18,42000,0
77,이방인,19,0,0
78,지인,19,8400,0
79,동료,19,16800,0
80,친구,19,25200,0
81,좋은 친구,19,33600,0
82,가장 친한 친구,19,42000,0
83,이방인,20,0,0
84,지인,20,8400,0
85,동료,20,16800,0
86,친구,20,25200,0
87,좋은 친구,20,33600,0
88,가장 친한 친구,20,42000,0
89,이방인,21,0,0
90,지인,21,8400,0
91,동료,21,16800,0
92,친구,21,25200,0
93,좋은 친구,21,33600,0
94,가장 친한 친구,21,42000,0
95,이방인,22,0,0
96,지인,22,8400,0
97,동료,22,16800,0
98,친구,22,25200,0
99,좋은 친구,22,33600,0
100,가장 친한 친구,22,42000,0
101,이방인,23,0,0
102,지인,23,8400,0
103,동료,23,16800,0
104,친구,23,25200,0
105,좋은 친구,23,33600,0
106,가장 친한 친구,23,42000,0
107,이방인,24,0,0
108,지인,24,8400,0
109,동료,24,16800,0
110,친구,24,25200,0
111,좋은 친구,24,33600,0
112,가장 친한 친구,24,42000,0
113,초급,25,0,0
114,초급,25,8400,0
115,수습,25,16800,0
116,수습,25,25200,0
117,수습,25,33600,0
118,전문,25,42000,0
119,이방인,26,0,0
120,아는 사람,26,8400,0
121,동료,26,16800,0
122,친구,26,25200,0
123,가장 친한 친구,26,42000,0
124,좋은 친구,26,33600,0
127,1계급,28,0,0
128,2계급,28,1000,0
129,3계급,28,2000,0
130,4계급,28,3000,0
131,5계급,28,4000,0
132,6계급,28,5000,0
133,7계급,28,6000,0
