Name_lang,ID,StoreFrontID,OrderIndex,Icon,Field_11_0_7_57361_005
애완동물,1,1,1,656556,1
탈것,2,1,10,132261,3
총기,3,1,40,1934251,2
무기,4,1,30,1958262,2
뱃사람,5,1,50,4279080,2
세련된,6,1,60,5519312,2
머리,7,1,90,1941312,2
건장한,8,1,70,5559633,2
폭풍 깃든,9,1,80,1941310,2
휘장,10,1,100,5690395,2
등,13,1,110,2428524,2
장난감,14,1,15,237429,4
기타,15,1,20,1542848,4
[PH] Test Category 1,16,2,10,6013778,1
[PH] Test Category 2,17,2,20,6074803,2
방어구,18,3,0,1602705,2
탈것,19,3,10,132261,3
무기,20,3,30,1958262,2
애완동물,21,3,1,656556,1
하우징 장식,22,3,20,132930,4
