Name_lang,ID,ChrCustomizationOptionID,ChrCustomizationReqID,ChrCustomizationVisReqID,OrderIndex,UiOrderIndex,Flags,AddedInPatch,SoundKitID,SwatchColor[0],SwatchColor[1]
,1,9,291,0,0,40,0,90001,0,-1654626,0
,2,9,291,0,1,41,0,90001,0,-2312813,0
,3,9,291,0,2,42,0,90001,0,-3036537,0
,4,9,291,0,3,43,0,90001,0,-3694724,0
,5,9,291,0,4,44,0,90001,0,-4352911,0
,6,9,291,0,5,45,0,90001,0,-5076891,0
,7,9,291,0,6,46,0,90001,0,-5735078,0
,8,9,291,0,7,47,0,90001,0,-6458802,0
,9,9,291,0,8,48,0,90001,0,-7116989,0
,10,9,291,0,9,49,0,90001,0,-10142692,0
,11,9,12,0,10,100,0,90001,0,11961695,0
,12,9,12,0,11,101,0,90001,0,0,0
,13,9,53,0,12,70,0,90001,0,11640187,0
,14,9,53,0,13,71,0,90001,0,11377493,0
,15,9,53,0,14,72,0,90001,0,-6717857,0
,16,9,12,0,15,102,0,90001,0,11968895,0
,17,9,10,0,16,103,0,90001,0,0,0
,18,9,12,0,17,104,0,90001,0,0,0
,20,10,141,0,0,0,0,90001,0,0,0
,21,10,141,0,1,1,0,90001,0,0,0
,22,10,141,0,2,2,0,90001,0,0,0
,23,10,141,0,3,3,0,90001,0,0,0
,24,10,141,0,4,4,0,90001,0,0,0
,25,10,141,0,5,5,0,90001,0,0,0
,26,10,141,0,6,6,0,90001,0,0,0
,27,10,141,0,7,7,0,90001,0,0,0
,28,10,141,0,8,8,0,90001,0,0,0
,29,10,141,0,9,9,0,90001,0,0,0
,30,10,141,0,10,10,0,90001,0,0,0
,31,10,141,0,11,11,0,90001,0,0,0
빡빡머리,44,11,141,0,0,0,0,90001,0,0,0
중앙가르마 단발머리,45,11,141,0,1,1,0,90001,0,0,0
군인 머리,46,11,141,0,2,2,0,90001,0,0,0
일출형 머리,47,11,141,0,3,3,0,90001,0,0,0
야만전사 머리,48,11,141,0,4,4,0,90001,0,0,0
화려한 머리,49,11,141,0,5,5,0,90001,0,0,0
처진 머리,50,11,141,0,6,6,0,90001,0,0,0
귀족 머리,51,11,141,0,7,7,0,90001,0,0,0
일출형 긴 머리,52,11,141,0,8,8,0,90001,0,0,0
긴 꽁지머리,53,11,141,0,9,9,0,90001,0,0,0
연예인 머리,54,11,141,0,10,10,0,90001,0,0,0
치렁치렁 머리,55,11,141,0,11,11,0,90001,0,0,0
긴 단발머리,56,11,141,0,12,12,0,90001,0,0,0
뾰족 머리,57,11,141,0,13,13,0,90001,0,0,0
넘겨 세운 뾰족머리,58,11,141,0,14,14,0,90001,0,0,0
망나니 머리,59,11,141,0,15,15,0,90001,0,0,0
긴 머리,60,11,141,0,16,16,0,90001,0,0,0
,61,12,35,0,0,1,0,90001,0,3815996,0
,62,12,35,0,1,8,0,90001,0,8935702,0
,63,12,35,0,2,4,0,90001,0,11559219,0
,64,12,35,0,3,5,0,90001,0,11356928,0
,65,12,35,0,4,7,0,90001,0,13726464,0
,66,12,35,0,5,9,0,90001,0,12287002,0
,67,12,35,0,6,10,0,90001,0,-3563710,0
,68,12,35,0,7,6,0,90001,0,10319959,0
,69,12,35,0,8,16,0,90001,0,7630177,0
,70,12,35,0,9,17,0,90001,0,13092807,0
,71,12,35,0,10,13,0,90001,0,-13090448,0
,72,12,35,0,11,18,0,90001,0,-6581634,-10269341
,73,12,35,0,12,19,0,90001,0,-6247249,-11316614
,74,12,10,0,13,1001,0,90001,0,0,0
없음,76,13,141,0,0,0,0,90001,0,0,0
염소 수염,77,13,141,0,1,1,0,90001,0,0,0
무성한 수염,78,13,141,0,2,2,0,90001,0,0,0
구레나룻 수염,79,13,141,0,3,3,0,90001,0,0,0
굵은 수염,80,13,141,0,4,4,0,90001,0,0,0
짧은 수염,81,13,141,0,5,5,0,90001,0,0,0
꽁지 수염,82,13,141,0,6,6,0,90001,0,0,0
입술 밑 턱수염,83,13,141,0,7,7,0,90001,0,0,0
,85,14,318,0,0,40,0,90001,0,-1654626,0
,86,14,318,0,1,41,0,90001,0,-2312813,0
,87,14,318,0,2,42,0,90001,0,-3036537,0
,88,14,318,0,3,43,0,90001,0,-3694724,0
,89,14,318,0,4,44,0,90001,0,-4352911,0
,90,14,318,0,5,45,0,90001,0,-5076891,0
,91,14,318,0,6,46,0,90001,0,-5735078,0
,92,14,318,0,7,47,0,90001,0,-6458802,0
,93,14,318,0,8,48,0,90001,0,-7116989,0
,94,14,318,0,9,49,0,90001,0,-10142692,0
,95,14,12,0,10,100,0,90001,0,0,0
,96,14,12,0,11,101,0,90001,0,0,0
,97,14,319,0,12,70,0,90001,0,12563876,0
,98,14,319,0,13,71,0,90001,0,-4544423,0
,99,14,319,0,14,72,0,90001,0,-6059911,0
,100,14,10,0,15,102,0,90001,0,0,0
,101,14,12,0,16,103,0,90001,0,0,0
,102,15,141,0,0,0,0,90001,0,0,0
,103,15,141,0,1,1,0,90001,0,0,0
,104,15,141,0,2,2,0,90001,0,0,0
,105,15,141,0,3,3,0,90001,0,0,0
,106,15,141,0,4,4,0,90001,0,0,0
,107,15,141,0,5,5,0,90001,0,0,0
,108,15,141,0,6,6,0,90001,0,0,0
,109,15,141,0,7,7,0,90001,0,0,0
,110,15,141,0,8,8,0,90001,0,0,0
,111,15,141,0,9,9,0,90001,0,0,0
,112,15,141,0,10,10,0,90001,0,0,0
,113,15,141,0,11,11,0,90001,0,0,0
,114,15,141,0,12,12,0,90001,0,0,0
,115,15,141,0,13,13,0,90001,0,0,0
,116,15,141,0,14,14,0,90001,0,0,0
생머리,132,16,141,0,0,0,0,90001,0,0,0
처진 머리,133,16,141,0,1,1,0,90001,0,0,0
일자 앞머리,134,16,141,0,2,2,0,90001,0,0,0
자연스러운 긴 머리,135,16,141,0,3,3,0,90001,0,0,0
옆 가르마 긴 머리,136,16,141,0,4,4,0,90001,0,0,0
한쪽 넘긴 머리,137,16,141,0,5,5,0,90001,0,0,0
상고머리,138,16,141,0,6,6,0,90001,0,0,0
내려 묶은 머리,139,16,141,0,7,7,0,90001,0,0,0
올려 묶은 머리,140,16,141,0,8,8,0,90001,0,0,0
세련된 단발머리,141,16,141,0,9,9,0,90001,0,0,0
긴 바람머리,142,16,141,0,10,10,0,90001,0,0,0
