String_lang,ID,Flags
"업적 필요: ""하늘빛 동료""",740,1
"업적 필요: ""절벽의 동반자""",741,1
"업적 필요: ""함께 창공으로""",742,1
"업적 필요: ""새 친구""",743,1
|cff808080이 특성은 전문화 기본 특성입니다. 습득을 취소할 수 없습니다.|r,910,1
이 특성을 잠금 해제하려면 %d점 더 소모해야 합니다.,911,1
클래식,953,1
아웃랜드,954,1
노스렌드,955,1
대격변,956,1
판다리아,957,1
드레노어,958,1
군단,959,1
쿨 티란,960,1
어둠땅,961,1
용의 섬,962,1
잔달라,963,1
탐험가,970,1
모험가,971,1
노련가,972,1
챔피언,973,1
영웅,974,1
"아이템 레벨이 더 높은 불꽃으로 이 아이템을 재제작할 경우, 폭풍 충전 조작기로 추가한 홈이 영구적으로 제거됩니다.|n|n정말 진행하시겠습니까?",975,1
이 특성을 잠금 해제하려면 %d점 더 소모해야 합니다.,976,1
|cff808080이 특성은 전문화 기본 특성입니다. 습득을 취소할 수 없습니다.|r,977,1
신화,978,1
카즈 알가르,989,1
모험가,990,1
"아이템 레벨이 더 높은 불꽃으로 이 아이템을 재제작할 경우, 화산 조각기로 추가한 홈이 영구적으로 제거됩니다.|n|n정말 진행하시겠습니까?",991,1
항목 1,992,0
항목 2,993,0
항목 3,994,0
항목 4,995,0
항목 5,996,0
"아이템 레벨이 더 높은 불꽃으로 이 아이템을 재제작할 경우, 자연의 요람으로 추가한 홈이 영구적으로 제거됩니다.|n|n정말 진행하시겠습니까?",997,1
각성,998,1
$@spellname263165 특성이 필요합니다.,1000,0
"장군이 당신을 ""군식구""로 생각해야 합니다.",1001,1
"방직공이 당신을 ""지인""으로 생각해야 합니다.",1002,1
"방직공이 당신을 ""친우""로 생각해야 합니다.",1003,1
"방직공이 당신을 ""공모자""로 생각해야 합니다.",1004,1
"장군이 당신을 ""협조자""로 생각해야 합니다.",1005,1
"장군이 당신을 ""사주자""로 생각해야 합니다.",1006,1
"장군이 당신을 ""모략가""로 생각해야 합니다.",1007,1
"방직공이 당신을 ""주모자""로 생각해야 합니다.",1008,1
"장군이 당신을 ""지인""으로 생각해야 합니다.",1009,1
"장군이 당신을 ""친우""로 생각해야 합니다.",1010,1
"장군이 당신을 ""공모자""로 생각해야 합니다.",1011,1
"방직공이 당신을 ""협조자""으로 생각해야 합니다.",1012,1
"방직공이 당신을 ""군식구""로 생각해야 합니다.",1013,1
"방직공이 당신을 ""사주자""로 생각해야 합니다.",1014,1
"방직공이 당신을 ""모략가""로 생각해야 합니다.",1015,1
"재상이 당신을 ""지인""으로 생각해야 합니다.",1016,1
"재상이 당신을 ""친우""로 생각해야 합니다.",1017,1
"재상이 당신을 ""공모자""로 생각해야 합니다.",1018,1
"재상이 당신을 ""협조자""로 생각해야 합니다.",1019,1
"재상이 당신을 ""군식구""로 생각해야 합니다.",1020,1
"재상이 당신을 ""사주자""로 생각해야 합니다.",1021,1
"재상이 당신을 ""모략가""로 생각해야 합니다.",1022,1
"재상이 당신을 ""주모자""로 생각해야 합니다.",1023,1
"장군이 당신을 ""주모자""로 생각해야 합니다.",1024,1
천둥벼락을 추가로 구매해야 합니다.,1025,1
후광 특성이 필요합니다.,1026,1
$@spellname73325 특성이 필요합니다.,1027,0
$@spellname121536 특성이 필요합니다.,1028,0
$@spellname374348 특성이 필요합니다.,1029,0
$@spellname367226 특성이 필요합니다.,1030,0
$@spellname370553 특성이 필요합니다.,1031,0
$@spellname6343 특성이 필요합니다.,1032,0
$@spellname46968 특성이 필요합니다.,1033,0
$@spellname29725 특성이 필요합니다.,1034,0
$@spellname227847 특성이 필요합니다.,1036,0
$@spellname265187 특성이 필요합니다.,1037,0
$@spellname1122 특성이 필요합니다.,1038,0
$@spellname108558 특성이 필요합니다.,1039,0
$@spellname386997 특성이 필요합니다.,1041,0
$@spellname375982 특성이 필요합니다.,1042,0
$@spellname200071 특성 또는 $@spellname73685 특성이 필요합니다.,1043,0
$@spellname51564 특성이 필요합니다.,1044,0
$@spellname79206 특성이 필요합니다.,1045,0
$@spellname210689 특성이 필요합니다.,1046,0
$@spellname6343 특성 및 $@spellname107574 특성이 필요합니다.,1047,0
$@spellname108416 특성이 필요합니다.,1049,0
$@spellname107570 특성이 필요합니다.,1050,0
$@spellname3411 특성이 필요합니다.,1051,0
$@spellname268358 특성이 필요합니다.,1052,0
$@spellname5484 특성이 필요합니다.,1053,0
$@spellname106898 특성이 필요합니다.,1054,0
$@spellname274837 특성이 필요합니다.,1055,0
$@spellname80313 특성이 필요합니다.,1056,0
$@spellname202770 특성 또는 $@spellname274281 특성이 필요합니다.,1057,0
$@spellname204066 특성이 필요합니다.,1058,0
$@spellname203964 특성이 필요합니다.,1059,0
$@spellname102401 특성이 필요합니다.,1060,0
$@spellname205636 특성이 필요합니다.,1061,0
$@spellname102693 특성이 필요합니다.,1062,0
$@spellname392356 특성이 필요합니다.,1063,0
$@spellname390378 특성 또는 $@spellname450184 특성이 필요합니다.,1064,0
$@spellname102793 특성이 필요합니다.,1065,0
$@spellname194878 특성이 필요합니다.,1066,0
$@spellname279302 특성이 필요합니다.,1067,0
$@spellname42650 특성이 필요합니다.,1068,0
$@spellname232893 특성이 필요합니다.,1070,0
$@spellname179057 특성이 필요합니다.,1071,0
$@spellname360194 특성이 필요합니다.,1072,0
$@spellname382245 특성이 필요합니다.,1073,0
$@spellname57934 특성이 필요합니다.,1074,0
$@spellname51690 특성이 필요합니다.,1075,0
$@spellname359844 특성이 필요합니다.,1076,0
$@spellname288613 특성이 필요합니다.,1077,0
$@spellname19574 특성이 필요합니다.,1078,0
$@spellname360952 특성이 필요합니다.,1079,0
$@spellname153561 특성이 필요합니다.,1080,0
$@spellname153595 특성이 필요합니다.,1081,0
$@spellname342245 특성이 필요합니다.,1082,0
$@spellname389713 특성이 필요합니다.,1083,0
$@spellname382440 특성이 필요합니다.,1084,0
$@spellname55342 특성이 필요합니다.,1085,0
$@spellname365350 특성이 필요합니다.,1086,0
$@spellname12472 특성이 필요합니다.,1087,0
$@spellname190319 특성이 필요합니다.,1088,0
$@spellname384581 특성이 필요합니다.,1089,0
$@spellname2948 특성이 필요합니다.,1090,0
$@spellname157980 특성이 필요합니다.,1091,0
$@spellname399491 특성이 필요합니다.,1092,0
$@spellname388917 특성이 필요합니다.,1093,0
$@spellname322118 특성 또는 $@spellname325197 특성이 필요합니다.,1094,0
$@spellname123904 특성이 필요합니다.,1095,0
$@spellname457397 특성이 필요합니다.,1096,0
$@spellname451505 특성이 필요합니다.,1097,0
$@spellname388193 특성이 필요합니다.,1098,0
$@spellname322507 특성이 필요합니다.,1099,0
$@spellname123986 특성 또는 $@spellname450391 특성이 필요합니다.,1100,0
$@spellname116841 특성이 필요합니다.,1101,0
$@spellname255937 특성이 필요합니다.,1102,0
$@spellname114165 특성 또는 $@spellname148039 특성이 필요합니다.,1103,0
$@spellname384376 특성이 필요합니다.,1104,0
$@spellname53595 특성 또는 $@spellname204019 특성이 필요합니다.,1105,0
$@spellname387174 특성이 필요합니다.,1106,0
$@spellname375576 특성이 필요합니다.,1107,0
$@spellname6940 특성이 필요합니다.,1108,0
$@spellname190784 특성이 필요합니다.,1109,0
$@spellname10060 특성이 필요합니다.,1110,0
$@spellname280719 특성이 필요합니다.,1111,0
$@spellname33757 특성이 필요합니다.,1112,0
$@spellname382021 특성이 필요합니다.,1113,0
$@spellname60103 특성이 필요합니다.,1114,0
$@spellname5394 특성이 필요합니다.,1115,0
"아이템 레벨이 더 높은 불꽃으로 이 아이템을 재제작할 경우, 네루비안 보석직조기로 추가한 홈이 영구적으로 제거됩니다.|n|n정말 진행하시겠습니까?",1117,1
$@spellname232893 특성 및 $@spellname198793 특성이 필요합니다.,1118,0
$@spellname373481 특성이 필요합니다.,1119,0
2 레벨,1123,0
3 레벨,1124,0
4 레벨,1125,0
5 레벨,1126,0
6 레벨,1127,0
7 레벨,1128,0
8 레벨,1129,0
9 레벨,1130,0
10 레벨,1131,0
11 레벨,1132,0
$@spellname199786 특성이 필요합니다.,1133,0
$@spellname454016 특성이 필요합니다.,1134,0
$@spellname200183 또는 $@spellname391387 특성이 필요합니다.,1135,0
환영 2주 차,1136,1
