ID,Name_lang,BackgroundFile,Description_lang,OrderIndex,Field_4_4_0_53627_004,ClassMask,CategoryEnumID,SpellIconID,RoleMask,MasterySpellID[0],MasterySpellID[1]
181,전투,RogueCombat,민첩하고 기민한 모험가입니다. 적과 정면으로 맞서 싸웁니다.,1,0,8,0,0,8,76806,0
182,암살,RogueAssassination,치명적인 독극물의 대가입니다. 단검으로 잔인한 일격을 날려 적을 처치합니다.,0,0,8,0,0,8,76803,0
183,잠행,RogueSubtlety,어둠의 추적자입니다. 그림자 속에 숨어 있다가 희생자가 눈치챌 틈도 없이 기습 공격합니다.,2,0,8,0,0,8,76808,0
261,정기,ShamanElementalCombat,자연과 정령의 파괴적인 힘을 자유자재로 이용하여 주문을 시전합니다.,0,0,64,0,0,8,77222,0
262,복원,ShamanRestoration,고대의 영혼과 정화하는 물의 힘을 불러내어 아군의 부상을 치유합니다.,2,0,64,0,0,4,77226,0
263,고양,ShamanEnhancement,토템을 사용하는 전사입니다. 정령의 힘이 깃든 무기로 적을 공격합니다.,1,0,64,0,0,8,77223,0
398,혈기,DeathKnightBlood,어둠의 수호자입니다. 생명의 기운을 조종하고 오염시켜 적이 공습해 오는 순간에도 자신의 생명을 유지합니다.,0,0,32,0,0,2,77513,0
399,냉기,DeathKnightFrost,얼어붙은 죽음의 사신입니다. 룬 마력의 힘을 기반으로 신속한 일격을 날립니다.,1,0,32,0,0,8,77514,0
400,부정,DeathKnightUnholy,죽음과 부패의 대가로 질병을 퍼뜨려 언데드 부하를 통제하고 자신을 따르게 만듭니다.,2,0,32,0,0,8,77515,0
409,끈기,HunterPetTenacity,,0,0,0,2,0,2,0,0
410,,,,0,0,0,0,0,0,0,0
411,,,,0,0,0,0,0,0,0,0
760,수양,PriestDiscipline,마법을 이용하여 아군이 피해를 입지 않도록 보호하고 상처를 치료합니다.,0,0,16,0,0,4,77484,0
795,암흑,PriestShadow,주로 주기적인 피해 주문으로 구성된 사악한 어둠의 마법을 사용하여 적을 처치합니다.,2,0,16,0,0,8,77486,0
807,사격,HunterMarksmanship,뛰어난 궁수이자 명사수입니다. 멀리 있는 적을 솜씨 좋게 처치합니다.,1,0,4,0,0,8,76659,0
809,생존,HunterSurvival,"튼튼한 추적자입니다. 동물의 독과 폭탄, 함정과 같은 치명적인 무기를 즐겨 사용합니다.",2,0,4,0,0,8,76658,0
811,야수,HunterBeastMastery,야생 동물의 지배자입니다. 다양한 야수를 길들여 함께 싸웁니다.,0,0,4,0,0,8,76657,0
813,신성,PriestHoly,다재다능한 치유 전문가입니다. 아군 개인 혹은 단체가 피해를 입지 않도록 보호하고 자신이 사망한 후에도 아군을 치유할 수 있습니다.,1,0,16,0,0,4,77485,0
865,파괴,WarlockDestruction,화력전의 대가입니다. 화염을 불러내 적을 불태우고 파괴합니다.,2,0,256,0,0,8,77220,0
867,악마,WarlockSummoning,악마술의 대가입니다. 악마로 변신하거나 악마의 힘을 부릴 수 있습니다.,1,0,256,0,0,8,77219,0
871,고통,WarlockCurses,"암흑 마법의 대가입니다. 공포, 흡수, 주기적인 피해 주문을 전문적으로 사용합니다.",0,0,256,0,0,8,77215,0
2053,,,,0,0,0,0,0,0,0,0
2054,,,,0,0,0,0,0,0,0,0
2058,,,,0,0,0,0,0,0,0,0
2096,,,,0,0,0,0,0,0,0,0
2208,,,,0,0,0,0,0,0,0,0
2213,,,,0,0,0,0,0,0,0,0
2214,,,,0,0,0,0,0,0,0,0
2219,,,,0,0,0,0,0,0,0,0
2223,,,,0,0,0,0,0,0,0,0
2239,,,,0,0,0,0,0,0,0,0
2740,,,,0,0,0,0,0,0,0,0
3279,,,,0,0,0,0,0,0,0,0
