ID,Name,Message_lang
1,MSG_TITLE_WOW,월드 오브 워크래프트
2,MSG_GX_INIT_FAILED_D3D,월드 오브 워크래프트가 3D 가속 기능을 시작하지 못했습니다. DirectX 9.0c 와 최신 비디오 카드 드라이버가 설치되어 있는지 확인해 보시기 바랍니다.
3,MSG_GX_INIT_FAILED,월드 오브 워크래프트가 3D 가속 기능을 시작하지 못했습니다.
4,MSG_HW_UNSUPPORTED,컴퓨터에 설치된 3D 비디오 카드가 월드 오브 워크래프트를 지원하지 못합니다. 더 자세한 내용을 보시려면 다음 웹사이트를 방문하십시오. https://kr.battle.net/support/ko/article/minimum-system-requirements-for-world-of-warcraft
5,MSG_HW_CHANGED,마지막 실행 이후 하드웨어가 변경되었습니다. 기본 설정을 사용하시겠습니까?
9,MSG_GLUEXML_UI_CORRUPT,로그인 인터페이스 파일이 손상되었습니다. 게임을 재설치 해주시기 바랍니다.
10,MSG_FRAMEXML_UI_CORRUPT,로그인 인터페이스 파일이 손상되었습니다. Interface\FrameXML 폴더를 삭제해주시기 바랍니다.
11,MSG_GX_NO_DEVICE,적절한 디스플레이 장치를 찾을 수 없습니다. 게임을 종료합니다.
12,MSG_REMOTE_DESKTOP,원격 데스크톱 연결을 사용하여 월드 오브 워크래프트를 실행할 수 없습니다. 게임을 종료합니다.
14,MSG_CLIENT_INIT,월드 오브 워크래프트가 게임 실행에 필요한 데이터 파일을 처음으로 설치하고 있습니다. 시간이 몇 분 정도 걸립니다. 이 과정을 취소하고 런처에서 게임 설치를 완료할 수도 있습니다.
15,MSG_DOWNLOAD_FAILED,필수 게임 데이터를 불러올 수 없습니다. 인터넷 연결을 확인하십시오.
16,MSG_DISK_FULL,저장공간이 부족합니다. 하드 디스크의 공간을 확보해 주십시오.
17,MSG_GX_FAIL_API_VERSION,월드 오브 워크래프트를 실행하려면 최신 DirectX 런타임이 설치되어 있어야 합니다. 자세한 정보는 http://kr.battle.net/support/ko/article/driverupdates에서 확인하십시오.
18,MSG_GX_FAIL_NO_DRIVER,"월드 오브 워크래프트 실행에 필요한 그래픽 카드를 찾을 수 없습니다. 최신 그래픽 카드 드라이버가 설치되었는지 확인하시고, 혹시 안전 모드에서 게임을 실행한 것은 아닌지 확인하십시오. 자세한 정보는 http://kr.battle.net/support/ko/article/driverupdates에서 확인하십시오."
27,MSG_COMPATIBILITY_ERROR,월드 오브 워크래프트가 호환성 모드 설정 때문에 실행될 수 없습니다. WoW.exe와 Launcher.exe의 호환성 모드 설정을 해제하시고 게임을 다시 실행해 주십시오. 호환성 모드 설정을 해제하는 자세한 방법은 https://kr.battle.net/support/ko/article/world-of-warcraft-sound-troubleshooting-pc에서 확인하십시오.
134,MSG_GX_SLOW_SHADER_BUILDING_WARNING,처음 게임을 실행할 때 셰이더를 최초로 구축하는 과정에서 게임이 매우 느려지는 GPU 드라이버 문제가 있음을 알려드립니다. 본 과정은 수 분 내로 완료됩니다.
135,MSG_INTEL_13TH_OR_14TH_GEN_MICROCODE_WARNING,월드 오브 워크래프트에서 귀하의 컴퓨터가 잠재적인 프로세서 불안정 문제를 해결하기 위한 업데이트가 적절하게 설치되지 않은 인텔 13세대 또는 14세대 프로세서를 사용하고 있음을 감지했습니다. 마더보드 BIOS를 인텔의 마이크로코드 0x12B 이상의 최신 버전으로 업데이트할 것을 적극 권장합니다.
136,MSG_MOTHERBOARD_BIOS_UPDATE,마더보드 BIOS 업데이트 관련 정보는 %s에서 참조해 주시길 바랍니다.
137,MSG_MOTHERBOARD_INFO,"CPU 이름: %s
마더보드 이름: %s
BIOS 출시일: %s
마이크로코드 버전: 0x%llX"
