ID,HordeName_lang,AllianceName_lang,Description_lang,Tooltip_lang,GarrTypeID,BuildingType,HordeGameObjectID,AllianceGameObjectID,GarrSiteID,UpgradeLevel,BuildSeconds,CurrencyTypeID,CurrencyQty,HordeUiTextureKitID,AllianceUiTextureKitID,IconFileDataID,AllianceSceneScriptPackageID,HordeSceneScriptPackageID,MaxAssignments,ShipmentCapacity,GarrAbilityID,BonusGarrAbilityID,GoldCost,Flags
8,전쟁 준비실,드워프 참호,주둔지의 무기를 보관하고 관리합니다.,퀘스트 보상으로 획득하는 아이템이 희귀 또는 영웅급으로 추가 강화될 확률을 2배 증가시킵니다. 드레노어의 오크 부족에게서 방어구 조각을 모아 형상변환에 사용할 수 있습니다.,2,10,230406,224548,0,1,3600,824,150,15,14,975736,1194,1193,0,0,0,0,150,1
9,전쟁 준비실,드워프 참호,주둔지의 무기를 보관하고 관리합니다.,주둔지 자원으로 추종자의 무기와 방어구를 주문할 수 있습니다. 또한 새로운 형상변환 아이템이 잠금 해제됩니다.,2,10,230407,224549,0,2,3600,824,900,18,16,975736,1196,1195,0,14,0,0,300,1
10,전쟁 준비실,드워프 참호,주둔지의 무기를 보관하고 관리합니다.,매주 필연적인 운명의 인장(공격대 보너스 전리품 주사위) 3개 중 1개를 대가 없이 획득할 수 있습니다.,2,10,230409,224550,0,3,3600,824,1200,19,17,975736,1198,1197,0,21,0,0,500,1
24,외양간,외양간,"사로잡은 생물들에게서 가죽과 고기, 모피를 채집하여 주둔지에 공급합니다.","가죽과 모피를 얻을 수 있는 갈래발굽, 엘레크, 늑대, 탈부크를 사로잡을 수 있습니다. 가죽세공과 재봉술에 사용됩니다.",2,3,230410,224795,0,1,3600,824,100,131,3,975737,1220,1219,0,7,0,0,150,1
25,외양간,외양간,"사로잡은 생물들에게서 가죽과 고기, 모피를 채집하여 주둔지에 공급합니다.",멧돼지와 강물하마를 사로잡을 수 있습니다. 멧돼지와 강물하마의 고기는 가장 강력한 음식을 만드는 데 필요합니다.,2,3,230411,224796,0,2,3600,824,300,132,57,975737,1222,1221,0,14,62,0,300,1
26,병영,병영,주둔지의 병력과 추종자들이 머무는 곳입니다.,정찰 임무를 잠금 해제합니다. 정찰 임무에서는 추종자의 경험치 보상이 증가합니다.,2,8,230412,224797,0,1,3600,824,150,142,36,975738,1224,1223,0,1,0,0,10,1
27,병영,병영,주둔지의 병력과 추종자들이 머무는 곳입니다.,경호원 속성을 지닌 추종자가 드레노어의 여러 지역에서 당신의 수호자로서 동행하게 합니다.,2,8,230413,224798,0,2,3600,824,900,143,37,975738,1226,1225,0,3,231,0,300,1
28,병영,병영,주둔지의 병력과 추종자들이 머무는 곳입니다.,"최대 추종자 수를 5명만큼 증가시키고, 종족별 경비병과 깃발을 사용할 수 있습니다.",2,8,230414,224799,0,3,3600,824,1200,144,38,975738,1228,1227,5,5,231,0,500,1
29,약초밭,약초밭,드레노어 약초를 심고 캘 수 있는 비옥한 정원입니다.,매일 드레나이 씨앗을 약초로 키워 냅니다. 정원에서 약초를 채집할 수 있습니다.,2,2,230415,224800,0,1,3600,824,50,137,59,134221,1230,1229,0,7,0,0,0,0
34,서리방벽 선술집,달빛내림 여관,"신 나는 모험! 뜨거운 열정! 이런 것도 좋지만, 영웅과 추종자들에게는 쉴 곳이 필요합니다.",매일 보상이 풍부한 던전 퀘스트를 주는 방문객이 당신의 여관에 머무릅니다.,2,5,230416,224805,0,1,3600,824,100,7,6,134414,1234,1233,0,1,0,0,150,1
