ID,Name_lang,OrderIndex
1,오그리마 공성전,1
2,동부 왕국,0
3,칼림도어,0
5,죽음의 폐광,0
6,피망치 잿가루 광산,0
7,강철 선착장,0
8,아킨둔,0
9,하늘탑,0
10,파멸철로 정비소,1
11,상록숲,0
12,어둠달 지하묘지,10
13,검은바위 첨탑 상층,0
14,높은망치,0
15,검은바위 용광로,0
16,낙스라마스,0
17,얼음왕관 성채,0
18,스칼로맨스,0
19,그림자송곳니 성채,0
20,지옥불 성루,0
21,피의 용광로,0
22,으스러진 손의 전당,0
23,강제 노역소,0
24,지하수렁,0
25,증기 저장고,0
26,마나 무덤,0
27,아키나이 납골당,0
28,세데크 전당,0
29,어둠의 미궁,0
30,붉은십자군 전당,0
31,붉은십자군 수도원,0
32,던홀드 탈출,0
33,어둠의 문 열기,0
34,메카나르,0
35,신록의 정원,0
36,알카트라즈,0
37,마법학자의 정원,0
38,우트가드 성채,0
39,우트가드 첨탑,0
40,아졸네룹,0
41,마력의 눈,0
42,번개의 전당,0
43,돌의 전당,0
44,옛 스트라솔름,0
45,드락타론 성채,0
46,군드락,0
47,안카헤트: 고대 왕국,0
48,보랏빛 요새,0
49,마력의 탑,0
50,용사의 시험장,0
51,영혼의 제련소,0
52,사론의 구덩이,0
53,투영의 전당,0
54,파도의 왕좌,0
55,검은바위 동굴,0
56,그림 바톨,0
57,시초의 전당,0
58,바위심장부,0
59,소용돌이 누각,0
60,톨비르의 잃어버린 도시,0
61,옥룡사,10
62,스톰스타우트 양조장,0
63,음영파 수도원,0
64,모구샨 궁전,0
65,니우짜오 사원 공성전투,0
66,석양문,0
67,상록숲,0
68,드레노어,0
69,아웃랜드,0
70,노스렌드,0
71,판다리아,0
73,십자군의 시험장,0
74,루비 성소,0
75,검은날개 강림지,0
76,황혼의 요새,0
77,네 바람의 왕좌,0
78,불의 땅,0
79,용의 영혼,0
80,모구샨 금고,5
81,공포의 심장,4
82,영원한 봄의 정원,3
83,천둥의 왕좌,2
84,무작위 판다리아 던전,0
86,테라모어의 몰락,0
102,양조 폭풍,0
103,공해 상에서의 전투,0
104,피로 얼룩진 설원,0
105,잊혀진 왕의 납골당,0
106,판다리아의 검은 심장,0
107,무작위 판다리아 시나리오,0
108,성난불길의 비밀,0
109,무작위 드레노어 던전,0
110,지옥불 성채,0
111,무작위 군단 던전,0
112,아즈샤라의 눈,9
113,어둠심장 숲,12
114,용맹의 전당,10
115,넬타리온의 둥지,10
116,보랏빛 요새 침공,40
117,감시관의 금고,13
118,검은 떼까마귀 요새,17
119,영혼의 아귀,40
120,별의 궁정,10
121,비전로,40
122,에메랄드의 악몽,40
123,밤의 요새,3
124,부서진 섬,0
125,다시 찾은 카라잔,41
126,용맹의 시험,2
127,카라잔 하층,5
128,카라잔 상층,6
129,영원한 밤의 대성당,41
130,공포흉터 균열,0
131,살게라스의 무덤,4
132,안토러스 - 불타는 왕좌,5
133,삼두정의 권좌,41
134,아르거스,0
135,울디르,0
136,무작위 격전의 아제로스 던전,0
137,아탈다자르,30
138,썩은굴,10
139,세스랄리스 사원,30
140,왕노다지 광산!!,30
141,왕들의 안식처,30
142,자유지대,10
143,폭풍의 사원,30
144,톨 다고르,30
145,웨이크레스트 저택,30
146,보랄러스 공성전,30
247,쿨 티라스,0
248,잔달라,0
249,군도 탐험,0
251,다자알로 전투,0
252,폭풍의 용광로,0
