Name_lang,ID,Parent,Ui_order
통계,1,-1,17
플레이어 간 전투,21,1,10
위업,81,-1,14
캐릭터,92,-1,1
플레이어 간 전투,95,-1,5
퀘스트,96,-1,2
탐험,97,-1,3
죽음,122,1,3
처치,128,1,2
캐릭터,130,1,1
소셜,131,1,7
숙련도,132,1,5
퀘스트,133,1,4
여행,134,1,6
몬스터,135,128,1
명예 승수,136,128,2
결정타,137,128,3
재산,140,130,1
소비용품,145,130,2
본선 전투,152,21,1
전장,153,21,2
야외,154,21,3
이벤트,155,-1,9
겨울맞이 축제,156,155,9
할로윈 축제,158,155,7
귀족의 정원,159,155,3
달의 축제,160,155,1
한여름 축제,161,155,5
가을 축제,162,155,6
어린이 주간,163,155,4
투기장,165,95,17
던전 및 공격대,168,-1,6
전문 기술,169,-1,7
요리,170,169,12
낚시,171,169,13
전문 기술,172,15234,6
전문 기술,173,132,2
보조 기술,178,132,1
온누리에 사랑을,187,155,2
평판,201,-1,8
동부 왕국,14777,97,1
칼림도어,14778,97,2
아웃랜드,14779,97,3
노스렌드,14780,97,4
알터랙 계곡,14801,95,5
아라시 분지,14802,95,3
폭풍의 눈,14803,95,4
전쟁노래 협곡,14804,95,2
불타는 성전,14805,168,2
리치 왕 던전,14806,168,3
던전 및 공격대,14807,1,9
오리지널,14808,168,1
오리지널,14821,14807,1
불타는 성전,14822,14807,2
리치 왕의 분노,14823,14807,3
동부 왕국,14861,96,1
아웃랜드,14862,96,3
노스렌드,14863,96,4
오리지널,14864,201,1
불타는 성전,14865,201,2
리치 왕의 분노,14866,201,3
겨울손아귀,14901,95,8
리치 왕 공격대,14922,168,4
은빛십자군 마상시합,14941,15301,1
순례자의 감사절,14981,155,8
정복의 섬,15003,95,7
대격변 던전,15067,168,5
대격변 공격대,15068,168,6
대격변,15069,97,5
대격변,15070,96,5
고고학,15071,169,14
대격변,15072,201,4
길니아스 전투지,15073,95,9
쌍둥이 봉우리,15074,95,10
톨 바라드,15075,15301,2
길드,15076,-1,16
퀘스트,15077,15076,2
플레이어 간 전투,15078,15076,3
던전 및 공격대,15079,15076,4
전문 기술,15080,15076,5
칼림도어,15081,96,2
오리지널,15082,15079,1
대격변 던전,15083,15079,5
불타는 성전,15084,15079,2
리치 왕 던전,15085,15079,3
리치 왕 공격대,15086,15079,4
대격변 공격대,15087,15079,6
일반,15088,15076,1
평판,15089,15076,6
전장,15090,15078,1
투기장,15091,15078,2
평점제 전장,15092,95,16
길드 위업,15093,15076,7
대격변,15096,14807,4
다크문 축제,15101,155,10
판다리아 던전,15106,168,7
판다리아 공격대,15107,168,8
판다리아,15110,96,6
판다리아,15113,97,6
판다리아,15114,201,5
애완동물 대전,15117,-1,10
수집,15118,15117,1
대전,15119,15117,2
레벨,15120,15117,3
판다리아 던전,15153,15079,7
판다리아 공격대,15154,15079,8
은빛수정 광산,15162,95,11
코트모구의 사원,15163,95,12
판다리아의 안개,15164,14807,5
유물,15176,1,13
깊은바람 협곡,15218,95,14
애완동물 대전,15219,1,11
드레노어,15220,96,7
수련의 장,15222,15301,4
수련의 장,15227,1,12
드레노어 던전,15228,168,9
드레노어 공격대,15231,168,10
드레노어,15232,201,6
드레노어의 전쟁군주,15233,14807,6
유산,15234,-1,15
드레노어,15235,97,7
드레노어 던전,15243,15079,9
드레노어 공격대,15244,15079,10
수집품,15246,-1,11
장난감 상자,15247,15246,1
탈것,15248,15246,2
군단,15252,96,8
군단 던전,15254,168,11
군단 공격대,15255,168,12
