ID,ZoneName,AreaName_lang,ContinentID,ParentAreaID,AreaBit,SoundProviderPref,SoundProviderPrefUnderwater,AmbienceID,UwAmbience,ZoneMusic,UwZoneMusic,IntroSound,UwIntroSound,FactionGroupMask,Ambient_multiplier,MountFlags,PvpCombatWorldStateID,WildBattlePetLevelMin,WildBattlePetLevelMax,WindSettingsID,ContentTuningID,Flags[0],Flags[1],LiquidTypeID[0],LiquidTypeID[1],LiquidTypeID[2],LiquidTypeID[3]
1,DunMorogh,던 모로,0,0,119,0,11,598,675,759,0,0,0,2,0.3,15,-1,1,2,0,74,16449,0,0,0,0,0
2,Longshore,기나긴 해안,0,40,120,0,11,567,675,9,0,0,0,0,0.15,15,-1,0,0,0,6,1073758272,0,0,0,0,0
3,Badlands,황야의 땅,0,0,121,0,11,606,675,738,0,0,0,0,0.15,15,-1,13,14,0,27,16448,0,0,0,0,0
4,BlastedLands,저주받은 땅,0,0,122,0,11,210,675,7,0,0,0,0,0.15,15,-1,16,17,0,34,16448,0,0,0,0,0
5,GLOBAL,- QA 및 DVD 전역 -,606,0,6800,0,0,0,0,0,0,0,0,0,0.15,15,-1,0,0,0,984,64,0,0,0,0,0
7,DarkwaterCove,검은바다 만,0,5287,123,0,11,0,675,3,0,0,0,0,0.15,15,-1,0,0,0,24,1073758272,0,0,0,0,0
8,SwampofSorrows,슬픔의 늪,0,0,124,0,11,33,675,223,0,0,0,0,0.3,15,-1,14,15,0,31,16448,0,0,0,0,0
9,NorthshireValley,북녘골 계곡,0,6170,125,0,11,35,675,1,0,674,0,0,0.15,15,-1,0,0,0,73,1076903936,0,0,0,0,0
10,Duskwood,그늘숲,0,0,617,0,11,572,675,2,0,0,0,0,0.3,15,-1,5,7,0,13,16448,0,0,0,0,0
11,Wetlands,저습지,0,0,618,0,11,603,675,637,0,0,0,0,0.3,15,-1,6,7,0,15,16448,0,0,0,0,0
12,ElwynnForest,엘윈 숲,0,0,126,0,11,604,675,1,0,670,0,2,0.15,15,-1,1,2,0,73,16448,0,0,0,0,0
