Name_lang,Description_lang,ID,JournalEncounterID,CreatureDisplayInfoID,FileDataID,OrderIndex,UiModelSceneID
글럽톡,,358,89,37410,522228,0,9
헬릭스 기어브레이커,,359,90,33002,522234,0,9
전투 절단기 5000,,360,91,35606,522225,0,9
제독 으르렁니,,361,92,35739,522189,0,9
"""선장"" 쿠키",,362,93,1305,522210,0,9
바네사 밴클리프,,365,95,32806,522278,0,9
남작 애쉬버리,,366,96,34610,522205,0,9
남작 실버레인,,367,97,37288,522206,0,9
사령관 스프링베일,,368,98,37287,522213,0,9
월든 경,,369,99,34612,522249,0,9
고드프리 경,,370,100,34611,522247,0,9
여군주 나즈자르,,371,101,34342,522245,0,9
사령관 울톡,,372,102,84332,522214,0,9
환각술사 구르샤,,373,103,32259,522253,0,9
오주마트,,374,104,34135,522259,0,9
해골분쇄자 롬오그,,375,105,33147,522266,0,9
황혼의 전령 코를라,,376,106,31546,522216,0,9
카쉬 스틸벤더,,377,107,31710,522244,0,9
아름이,,378,108,34433,522207,0,9
승천 군주 옵시디우스,,379,109,36465,522201,0,9
코보루스,,380,110,33477,522215,0,9
돌거죽,,381,111,36476,522271,0,9
오즈룩,,382,112,36475,522258,0,9
대여사제 아질,,383,113,26448,522237,0,9
대장로 에르탄,,384,114,35181,522229,0,9
알타이루스,,385,115,34265,522192,0,9
아사드,,386,116,35388,522200,0,9
장군 후삼,,387,117,34743,523205,0,9
오우,,388,118,37339,522203,1,9
톱니아귀,,389,118,33438,522246,0,9
고위 사제 바림,,390,119,34744,522239,0,9
시아마트,,394,122,35388,522269,0,9
사원 수호자 안후르,,424,124,35067,522272,0,9
대지전복자 프타,,425,125,31450,522219,0,9
안라펫,,426,126,34580,522195,0,65
이시세트,,427,127,33465,522241,0,66
아뮤내,,428,128,32943,522194,0,66
세테쉬,,429,129,33055,522267,0,66
라지,,430,130,33177,522262,0,66
장군 움브리스,,431,131,31498,522227,0,9
제련장인 트롱구스,,432,132,33429,522226,0,66
드라가 섀도버너,,433,133,31792,522218,0,9
발리오나,,434,133,31795,522276,1,9
에루닥스,,435,134,33428,522222,0,9
아르갈로스,,463,139,35426,522198,0,9
오큐타르,,464,140,37876,523207,0,9
네지르,북풍 군주,555,154,35232,522256,1,9
안샬,서풍 군주,556,154,35233,522196,0,9
로하시,동풍 군주,557,154,35234,522265,2,9
알아키르,,558,155,35248,522191,0,9
할푸스 웜브레이커,,559,156,34816,522232,0,66
발리오나,,560,157,34812,522277,1,9
테랄리온,,561,157,34813,522274,0,9
테라스트라,대지의 승천 의원,562,158,34824,522273,3,9
엘레멘티움 괴물,합체한 승천 의원,563,158,34825,522221,4,9
이그나시우스,불의 승천 의원,564,158,34821,522240,1,9
펠루디우스,물의 승천 의원,565,158,34822,522224,0,9
아리온,바람의 승천 의원,566,158,34823,522199,2,9
초갈,,587,167,34576,522212,0,9
시네스트라,,588,168,34335,522270,0,9
전기골렘,,589,169,32688,522220,2,9
맹독골렘,,590,169,32684,522275,3,9
용암골렘,,591,169,32685,522250,0,9
비전골렘,,592,169,32687,522197,1,9
용암아귀,,593,170,37993,522251,0,9
아트라메데스,,594,171,34547,522202,0,9
키마이론,,595,172,33308,522211,0,9
말로리악,,596,173,33186,522252,0,9
오닉시아,,599,174,32569,522257,1,9
네파리안,,600,174,32716,522255,0,9
대사제 베녹시스,,601,175,37788,522236,0,9
혈군주 만도키르,,602,176,37816,522209,0,9
그리렉,,603,177,8390,522230,0,9
하자라,,604,178,37832,522233,0,9
레나타키,,605,179,37830,522263,0,9
우슐레이,,606,180,37831,522279,0,9
대여사제 킬나라,,607,181,37805,522238,0,9
잔질,,616,184,37813,522280,0,9
신파괴자 진도,,617,185,37789,522243,0,9
아킬존,,618,186,21630,522190,0,9
날로라크,,619,187,21631,522254,0,9
잔알라이,,620,188,21633,522242,0,9
할라지,,621,189,21632,522231,0,9
사술 군주 말라크라스,,622,190,22332,522235,0,9
다카라,,623,191,38118,522217,0,9
베스틸락,,624,192,38227,522208,0,9
군주 라이올리스,,625,193,38414,522248,0,9
알리스라조르,,626,194,38446,522193,0,9
샤녹스,,627,195,38448,522268,0,9
청지기 스태그헬름,,628,197,37953,522223,0,9
라그나로스,,629,198,37875,522261,0,280
미련퉁이,,630,90,33003,523206,1,9
발레록,,770,196,38621,522204,0,9
티란데의 환영,,817,283,39617,571749,0,9
무르도즈노,무한의 군주,827,289,38931,536059,0,9
데스윙,,855,318,35268,536056,0,9
폭풍술사 하가라,,856,317,39318,536057,0,9
아큐리온,,862,322,35978,571743,0,9
실바나스의 환영,,864,323,38655,571748,0,9
여왕 아즈샤라,,865,291,39391,571747,0,9
장군 존오즈,,867,324,39138,536061,0,9
울트락시온,,875,331,39099,571750,0,9
잠들지 않는 요르사지,,876,325,39101,536062,0,9
전투대장 블랙혼,,877,332,39399,571752,0,9
모르초크,,881,311,39094,536058,0,9
