ID,Description_lang,ModifiedCraftingCategoryID,ItemBonusTreeID,Field_12_0_0_64124_003
3,Test for new modified crafting currency tech,903,3743,0
4,제작 품질에 따라 아이템 레벨 설정(범위: 220~233),902,5883,0
5,제작 품질에 따라 아이템 레벨 설정(범위: 233~246),902,5880,0
6,제작 품질에 따라 아이템 레벨 설정(범위: 246~259),900,5102,0
7,제작 품질에 따라 아이템 레벨 설정(범위: 259~272),901,5881,0
8,제작 품질에 따라 아이템 레벨 설정(범위: 272~285),901,5882,0
9,제작 품질에 따라 아이템 레벨 설정(범위: 305~318),911,6087,0
10,제작 품질에 따라 아이템 레벨 설정(범위: 318~331),911,6088,0
11,제작 품질에 따라 아이템 레벨 설정(범위: 266~279),902,6110,0
12,제작 품질에 따라 아이템 레벨 설정(범위: 279~292),902,6111,0
