ID,Description_lang,PendingText_lang,UiTextureKitID,GarrTypeID,GarrBuildingType,BaseCapacity,SmallDisplayInfoID,MediumDisplayInfoID,LargeDisplayInfoID,WorkingDisplayInfoID,WorkingSpellVisualID,CompleteSpellVisualID,MediumThreshold,LargeThreshold,Faction,CrossFactionID
2,,,0,2,17,1,16091,16092,16093,0,0,0,3,5,-1,0
3,,,0,2,0,2,439,7321,10344,0,0,0,3,5,-1,0
30,,맛있는 생선이 곧 배달됩니다!,51,2,0,0,15020,0,0,0,0,0,5,5,-1,0
31,"연금술 촉매를 생산합니다.

주둔지 보고서에서 생산 현황을 확인할 수 있습니다.

건물이 2 레벨 이상이 되면, 설계사의 작업대를 이용하여 추종자를 배치하고 생산량을 증가시킬 수 있습니다.",연금술 촉매,43,2,16,1,16091,16092,22545,0,0,0,14,21,1,57
32,"사로잡은 생물에 따라 고기, 가죽, 모피를 생산합니다.

건물이 2 레벨 이상이 되면, 설계사의 작업대를 이용하여 추종자를 배치하고 생산량을 증가시킬 수 있습니다.",외양간 제품,51,2,3,1,17819,14563,16155,0,0,0,14,21,-1,0
36,"드레노어 전역에서 채집한 목재로 주둔지 자원을 생산합니다.

주둔지 보고서에서 생산 현황을 확인할 수 있습니다.

생산이 완료되면 주둔지로 돌아와서 물품을 획득하십시오.",제재소 제품,54,2,4,1,16091,16092,19906,0,0,0,14,21,-1,0
37,"사술매듭 옷감을 생산합니다.

주둔지 보고서에서 생산 현황을 확인할 수 있습니다.

건물이 2 레벨 이상이 되면, 설계사의 작업대를 이용하여 추종자를 배치하고 생산량을 증가시킬 수 있습니다.",사술매듭 옷감,52,2,23,1,16091,16092,22545,0,0,0,14,21,1,64
49,"진철 주괴를 생산합니다.

주둔지 보고서에서 생산 현황을 확인할 수 있습니다.

건물이 2 레벨 이상이 되면, 설계사의 작업대를 이용하여 추종자를 배치하고 생산량을 증가시킬 수 있습니다.",진철 주괴,42,2,17,1,16091,16092,22545,0,0,0,14,21,1,58
50,"빛나는 가죽을 생산합니다.

주둔지 보고서에서 생산 현황을 확인할 수 있습니다.

건물이 2 레벨 이상이 되면, 설계사의 작업대를 이용하여 추종자를 배치하고 생산량을 증가시킬 수 있습니다.",빛나는 가죽,49,2,22,1,16091,16092,22545,0,0,0,14,21,1,63
51,"탈라다이트 수정을 생산합니다.

주둔지 보고서에서 생산 현황을 확인할 수 있습니다.

건물이 2 레벨 이상이 되면, 설계사의 작업대를 이용하여 추종자를 배치하고 생산량을 증가시킬 수 있습니다.",탈라다이트 수정,46,2,21,1,16091,16092,22545,0,0,0,14,21,1,62
