Description_lang,ID,MapID
깃발 획득,42,489
깃발 탈환,44,489
경비탑 점령,61,30
무덤 점령,63,30
경비탑 방어,64,30
무덤 방어,65,30
추가 목표,82,30
거점 공격,122,529
거점 방어,123,529
깃발 획득,183,566
파괴된 벽,215,571
파괴된 건물,216,571
파괴한 관문,231,607
파괴한 파괴전차,232,607
거점 공격,245,628
거점 방어,246,628
깃발 획득,290,726
깃발 탈환,291,726
거점 공격,370,761
거점 방어,371,761
거점 공격,391,968
거점 방어,392,968
깃발 획득,393,968
공 통제,418,998
승점,419,998
깃발 획득,422,1010
깃발 탈환,423,1010
수레 조종,428,727
수레 포획,457,1105
수레 회수,458,1105
광산 공격,459,1105
광산 방어,460,1105
점수,501,451
거점 공격,679,1681
거점 방어,680,1681
거점 공격,688,2177
거점 방어,690,2177
수집한 아제라이트,744,1803
깃발 획득,762,1740
깃발 탈환,763,1740
수집한 재료,923,1691
거점 공격,926,2107
거점 방어,927,2107
깃발 획득,928,2106
깃발 탈환,929,2106
수집한 유물,931,1191
거점 공격,1001,2245
거점 방어,1002,2245
경비탑 점령,1003,2197
추가 목표,1004,2197
무덤 방어,1005,2197
경비탑 방어,1006,2197
무덤 점령,1007,2197
라운드 승리,1008,1505
라운드 승리,1009,1672
라운드 승리,1010,1134
라운드 승리,1011,980
라운드 승리,1012,572
라운드 승리,1013,1911
라운드 승리,1014,1504
라운드 승리,1015,2509
라운드 승리,1016,2511
라운드 승리,1017,2547
라운드 승리,1018,2563
깃발 획득,1020,2656
수레 조종,1021,2656
라운드 승리,1022,2759
