Name_lang,Filename,Name_male_lang,Name_female_lang,PetNameToken,Description_lang,RoleInfoString_lang,DisabledString_lang,Hyphenated_name_male_lang,Hyphenated_name_female_lang,CreateScreenFileDataID,SelectScreenFileDataID,IconFileDataID,LowResScreenFileDataID,Flags,StartingLevel,SpellTextureBlobFileDataID,ArmorTypeMask,Field_5_5_0_61411_018,Field_5_5_0_61411_019,Field_5_5_0_61411_020,Field_5_5_0_61411_021,Field_5_5_0_61411_022,Field_5_5_0_61411_023,Field_5_5_0_61411_024,Field_5_5_0_61411_025,Field_5_5_0_61411_026,CinematicSequenceID,DefaultSpec,ID,HasStrengthAttackBonus,PrimaryStatPriority,DisplayPower,RangedAttackPowerPerAgility,AttackPowerPerAgility,AttackPowerPerStrength,SpellClassSet,ClassColorR,ClassColorG,ClassColorB,RolesMask,DamageBonusStat,HasRelicSlot
전사,WARRIOR,전사,전사,PET,전사는 판금 갑옷 투사로서 완벽한 무장 전투를 추구한다. 전투 시 차오르는 분노를 모아 특수 공격 기술에 사용한다.,"역할: |cffffffff방어, 근접 공격|r",이 직업으로 플레이하려면 다른 종족을 선택해야 합니다.,전사,전사,0,0,626008,0,169010,1,791568,113,20774,128667,132581,0,0,0,0,133297,15000,0,71,1,1,5,1,0,0,1,4,198,155,109,10,0,0
성기사,PALADIN,성기사,성기사,PET,"성기사는 중량 방어구를 착용하는 투사이자 수호자로서, 신성 마법을 사용하여 상처를 치유하고 악을 물리친다. 양손 무기, 방패 또는 치유에 집중한다.","역할: |cffffffff방어, 치유, 근접 공격|r",이 직업으로 플레이하려면 다른 종족을 선택해야 합니다.,성기사,성기사,0,0,626003,0,135226,1,791563,2289,20774,128833,132580,0,0,0,0,0,15000,0,70,2,1,4,0,0,0,1,10,244,140,186,14,0,1
사냥꾼,HUNTER,사냥꾼,사냥꾼,PET,사냥꾼은 야생의 세계에서 가장 편안함을 느끼고 야수와 밀접한 관계를 맺는다. 사냥꾼은 무기와 야수를 함께 활용하여 적을 공격한다.,역할: |cffffffff원거리 또는 근접 공격|r,이 직업으로 플레이하려면 다른 종족을 선택해야 합니다.,사냥꾼,사냥꾼,0,0,626000,0,33174,1,791560,41,20771,128903,132586,0,0,0,133832,133292,15000,0,253,3,1,2,2,1,1,0,9,170,211,114,8,1,0
도적,ROGUE,도적,도적,PET,"도적은 주로 암살자나 정찰병으로 활약하지만, 대다수의 도적은 한 마리 외로운 늑대와도 같다. 이들은 적진 한가운데 숨거나 적의 배후에서 공격을 시도함으로써 순식간에 적의 목숨을 끊어놓는다.",역할: |cffffffff근접 공격|r,이 직업으로 플레이하려면 다른 종족을 선택해야 합니다.,도적,도적,0,0,626005,0,167938,1,791565,37,20776,129018,132578,0,0,0,133289,133293,15000,0,259,4,1,3,3,1,1,0,8,255,244,104,8,1,0
사제,PRIEST,사제,사제,PET,"사제는 다양한 기술을 지닌 균형 잡힌 치유사이지만, 치유를 포기하고 암흑 마법 공격에 주력하기도 한다.","역할: |cffffffff치유, 원거리 공격|r",이 직업으로 플레이하려면 다른 종족을 선택해야 합니다.,사제,사제,0,0,626004,0,2,1,791564,35,20775,129129,132579,0,0,0,134409,133296,15000,0,256,5,0,0,0,0,0,0,6,255,255,255,12,0,0
죽음의 기사,DEATHKNIGHT,죽음의 기사,죽음의 기사,PET,"죽음의 기사는 영웅 직업이며, 이는 더 높은 레벨부터 시작함을 의미한다. 죽음의 기사는 질병을 일으키거나 암흑 마법을 사용하여 적을 공격하는 근접 공격 직업이다.","역할: |cffffffff방어, 근접 공격|r",어둠땅을 구매해야 선택한 종족으로 죽음의 기사를 생성할 수 있습니다.,죽음의 기사,죽음의 기사,236082,236082,135771,1560617,189562,8,791558,3121,20769,128790,132590,0,0,0,131787,133291,20000,165,251,6,1,5,6,0,0,1,15,196,30,58,10,9,0
주술사,SHAMAN,주술사,주술사,PET,"주술사는 정기로 무기 공격력과 주문을 강화한다. 전투 중 적을 무력화하거나, 아군을 치유하거나, 적에게 피해를 입히는 토템을 소환한다.","역할: |cffffffff치유, 원거리 공격, 근접 공격|r",이 직업으로 플레이하려면 다른 종족을 선택해야 합니다.,주술사,주술사,0,0,626006,0,294938,1,791566,2665,20777,128753,132575,0,0,0,0,0,25000,0,262,7,1,0,0,0,1,0,11,0,112,221,12,1,1
마법사,MAGE,마법사,마법사,PET,"마법사는 아제로스의 대표적인 마법 사용자들로, 심오한 학습과 연구를 통해 기술을 연마한다. 마법사의 갑옷은 뚫기 쉽지만, 강력한 공격 및 방어 주문으로 이를 보완한다.",역할: |cffffffff원거리 공격|r,이 직업으로 플레이하려면 다른 종족을 선택해야 합니다.,마법사,마법사,0,0,626001,0,4098,1,791561,35,20772,128789,132585,0,0,0,133322,133295,15000,0,62,8,0,0,0,0,0,0,3,63,199,235,8,0,0
흑마법사,WARLOCK,흑마법사,흑마법사,DEMON,"흑마법사는 화염 마법 또는 암흑 마법으로 적을 공격하고, 저주를 내리거나 생명력을 흡수한다. 악마를 소환하여 하수인으로 부리기도 한다.",역할: |cffffffff원거리 공격|r,이 직업으로 플레이하려면 다른 종족을 선택해야 합니다.,흑마법사,흑마법사,0,0,626007,0,134,1,791567,35,20778,129054,132568,0,0,0,133661,133290,15000,0,265,9,0,0,0,0,0,0,5,135,136,238,8,0,0
수도사,MONK,수도사,수도사,PET,"수도사는 맨손 전투 실력이 뛰어나, 무기 외에도 주먹과 발을 사용하여 적을 공격한다. 또한 안개의 치유하는 힘과 조율하여 아군을 회복시키는 전문화를 선택할 수도 있다.","역할: |cffffffff방어, 치유, 근접 공격|r",판다리아의 안개 필요,수도사,수도사,0,0,626002,0,165378,1,791562,37,20773,129344,132583,0,0,0,0,0,15000,0,268,10,1,2,3,0,1,0,53,0,255,152,14,0,0
