ID,Name_lang,UiTextureAtlasMemberID,UiTextureKitID
3,전투,3475,0
4,일반,3475,0
5,회수,3567,0
6,군수,3580,0
7,야생 동물,3572,0
8,교역,3575,0
9,건설,3578,0
10,보급,3568,0
11,신병 모집,3583,0
12,훈련,3574,0
13,순찰,3582,0
14,연구,3574,0
15,방어,3577,0
16,탐험,3476,0
17,공성,3570,0
18,연금술,3571,0
19,대장기술,3474,0
20,마법부여,3566,0
21,기계공학,3581,0
22,주문각인,3579,0
23,보석세공,3576,0
24,가죽세공,3584,0
25,재봉술,3573,0
35,보물,3575,0
36,애완동물 대전,3572,0
37,함선 - 전투,4613,174
38,Ship-Oil (Unused),4614,175
39,함선 - 훈련,4617,178
40,함선 - 보물,4618,179
41,함선 - 공성 (얼라),4615,176
42,함선 - 공성 (호드),4616,177
46,정찰,3582,0
47,함선 - 보너스,4897,220
48,함선-전설,4931,221
49,함선-공성 IH 얼라이언스,5016,224
50,함선-공성 IH 호드,5017,223
51,지역 지원 - 얼라이언스,5597,244
52,침공,3577,224
53,유물 - 수도사 임무,4929,221
54,일반 (7.0),3475,0
55,7.0 튜토리얼,4929,221
57,지역 지원 - 호드,5598,245
58,유물 - 주술사 임무,4929,221
59,유물 - 드루이드 임무,4929,221
60,유물 - 마법사 임무,4929,221
61,유물 - 사냥꾼 임무,4929,221
63,유물 - 성기사 임무,4929,221
64,유물 - 흑마법사 임무,4929,221
65,유물 - 악마사냥꾼 임무,4929,221
66,유물 - 도적 임무,4929,221
67,유물 - 사제 임무,4929,221
68,유물 - 죽음의 기사 임무,4929,221
69,유물 - 전사 임무,4929,221
70,7.0 직업 전당 - 대장정 임무,6130,0
71,7.0 직업 전당 - 일반 임무,6132,0
72,7.0 직업 전당 - 보물 임무,6128,0
73,7.0 직업 전당 - 특별 보상 임무,6131,0
74,7.0 직업 전당 - 퀘스트 임무,6130,0
75,7.0 직업 전당 - 보물 임무 - 던전,6128,0
76,7.0 직업 전당 - 보물 임무 - 공격대,6128,0
79,7.2 부서진 해변 - 일반 임무,6132,0
80,8.0 - Generic Missions,7747,0
81,8.0 - Stealth,7749,0
82,8.0 - Quick Strike,7748,0
83,8.0 - Long Campaign,8046,0
184,8.0 - Hub Unlock,7746,0
185,8.1 - Treasure Map,8778,0
186,8.2 - Holiday Mission,7746,0
187,8.2 - Deep Sea,9262,0
188,8.2 Azerite Essence - Treasure,8778,0
189,9.0 Encounter - Maldraxxus,6128,0
190,9.0 Encounter - Ardenweald,4929,0
191,9.0 Encounter - Revendreth,7748,0
192,9.0 Encounter - Bastion,6130,0
193,9.0 전투 - 타자베쉬,6128,0
194,9.0 전투 - 나락 습격,6128,0
195,9.0 Encounter - Treasure,6128,0
196,9.2 전투 - 제레스 모르티스,6128,0
