ID,OverrideNameString_lang,SlotMask,ItemNameDescriptionID
1,맹렬한 만과의 다리보호구,128,13884
15,Chilly Robe (DNT),1048576,13586
17,두려운 아름다움의 손,1024,13642
22,기질을 품은 가슴보호갑,32,13662
23,극악무도한 고리의 망토,65536,13663
24,거수의 외투,65536,13665
26,흡혈의 가슴갑옷,32,13668
27,진홍빛 룬의 손보호대,1024,13669
28,절대 영도의 사슬,4,13673
29,무한한 손아귀의 허리띠,64,13675
30,녹아내린 하늘의 손목싸개,512,13679
31,짙은 한기의 수도두건,2,13682
32,지도편달의 고리,2048,13684
33,피어나는 잠재력의 장식띠,64,13685
34,비전의 조화의 끈 달린 싸개,1024,13691
35,시간의 굴레,2048,13692
37,우서의 성역,36,13695
38,분노한 용장의 추격,256,13694
40,정의로운 격노의 봉인,2048,13704
42,냉혹한 심문관의 어깨덧옷,65536,13709
43,앙갚음의 발덮개,256,13713
44,천둥군주 디딤장화,256,13716
45,불안정한 정신의 건틀릿,1024,13720
47,전투군주의 부적,4,13722
48,지진의 반향의 어깨철갑,8,13723
49,선조의 손목싸개,512,13724
50,심연전율 요대,64,13725
51,심원한 자연의 어깨보호대,8,13726
52,하늘파괴자의 불타는 최후,1048608,13728
53,정기의 평형의 다리보호대,128,13729
54,세계의 분리의 메아리,8,13730
55,바람예언자의 부활하는 용암,256,13731
56,조나트의 자연 집중 다리보호대,128,13736
57,해일의 영혼나그네 망토,65536,13737
58,원시 해일의 손보호대,1024,13738
59,대지 조화의 망토,65536,13739
60,고통의 인도자 투구,2,13742
61,야성의 부름의 손목싸개,512,13743
62,헤멧의 덫 사냥 허리띠,64,13744
63,영혼 제련실의 불씨 견장,8,13745
64,비열한 책략의 아뮬렛,4,13746
66,광포한 명령의 새김 실반지,2048,13747
67,불꽃꼬리의 코브라 다리보호구,128,13748
68,에레다르의 전쟁 어깨덮개,8,13749
69,대가 라일라크 추적자의 망토,65536,13750
70,쇄도 사격의 손목보호대,512,13752
71,뱀추적자의 어깨덧대,8,13753
72,멈추지 않는 경계의 손목싸개,512,13754
73,지독한 라일라크 추적자의 다리보호대,128,13756
74,윌프레드의 최상급 소환의 손목싸개,512,13759
77,어둠의 문 기둥,4,13762
78,아즈아퀴르 기록의 로브,1048608,13763
79,사크로래쉬의 암흑 타격장갑,128,13764
80,수놓은 분노의 장화,256,13766
81,악몽의 뿔 달린 어깨덧대,8,13769
82,아즈아퀴르의 잿빛불길 다리보호대,128,13771
84,재생의 다리보호대,128,13666
87,반 거인의 가면,2,13776
90,파멸군주 장화,256,13779
99,엔데레스의 발톱 장화,256,13760
100,이미야르의 우아한 덧띠,64,13774
102,일급 암살자의 인장,2560,13790
105,어둠가루 웃옷,32,13793
106,맹독 칼날 장화,256,13791
110,더스크워커의 견장,32,13797
111,그린스킨의 버들,2,13798
112,좀도둑의 부적,4,13799
114,기민함의 반복,2048,13789
115,비장의 나팔총,1024,13800
116,최종막,65536,13801
117,아카리의 영혼 파편,1024,13802
119,죽음의 그림자,128,13804
126,악마의 결속력의 시야,2,13761
127,졸디크 가문의 발자국,256,13796
128,피로 흥건한 파멸칼날 견장,8,13795
130,핏빛송곳니 어깨덮개,8,13792
131,부패한 식욕,65536,13803
151,뒤틀린 지옥 디딤화,256,13781
158,불타오르는 지옥의 투구,2,13782
159,암흑의 시간의 외투,32,13778
161,암흑시선의 메달,4,13777
163,혼돈의 순환,64,13780
165,영원히 불타는 가슴보호대,32,13810
167,파멸군주 장화,256,13809
168,지옥 불길의 끊임없는 고리,2048,13785
169,어둠 불길의 수도두건,2,13783
170,불타는 영혼의 광적인 손아귀,1024,13786
171,파멸자의 잃어버린 다리보호대,128,13784
172,황혼과 여명의 시야,2,13697
175,최후의 투구,130,13834
176,끝없는 허기의 경갑,256,13835
179,죄악의 견갑,8,13837
180,영광의 가슴보호갑,32,13836
182,죄악의 향락의 손장갑,1024,13839
184,동종 친화의 어깨덮개,8,13844
185,천신의 영혼의 발보호대,256,13846
186,분노의 무리의 가슴보호대,32,13841
187,뒤울리는 청명의 어깨덧대,8,13851
189,책무의 망치의 투구,2,13854
190,업화의 학살의 다리보호구,256,13857
191,광휘의 잿불의 손장갑,1024,13853
192,풍요의 계절의 장화,256,13861
193,브원삼디의 서약의 투구,2,13862
195,어둠의 권능: 조작의 팔보호구,512,13863
197,분리된 정령의 허리싸개,64,13867
198,원소 출현의 사슬 조끼,32,13869
199,절멸의 조각 다리보호구,128,13871
200,부식성 영혼의 발보호구,256,13872
201,격리된 영원한 폭발의 머리보호구,2,13873
202,영혼추적자의 장갑,1024,13874
203,군수품 관리자의 건틀릿,512,13875
204,장로 가지뿔 파편의 목걸이,4,13876
205,서슬 퍼런 파편의 장화,256,13877
206,넘쳐흐르는 조끼,32,13866
207,흉물의 손장갑,1024,13832
208,난폭한 전이의 가슴갑옷,32,13833
209,페이의 조화 붕대,1024,13881
210,Chestplate of Test 1 Override,32,13882
211,Chest of Test 2 Override,32,13883
213,Three-pronged Defender (DNT),4,13588
218,맹렬한 만과의 발등싸개,256,13884
219,악의 교훈의 손목싸개,512,13885
220,악의 교훈의 고리,2048,13885
222,구슬의 조화의 어깨덧옷,8,13887
223,구슬의 조화의 다리보호구,128,13887
224,백골의 지배자의 반지,2048,13888
225,백골의 지배자의 덧신,256,13888
226,극악무도한 고리의 가슴갑옷,32,13663
227,괴물의 다리갑옷,128,13665
228,재생의 허리보호대,64,13666
229,흡혈의 고리,2048,13668
230,진홍빛 룬의 어깨보호대,8,13669
231,절대 영도의 손목보호대,512,13673
232,무한한 손아귀의 전쟁장화,256,13675
233,타오르는 하늘의 부적,4,13679
234,짙은 한기의 어깨덧대,8,13682
235,지도편달의 손목싸개,64,13684
236,피어나는 잠재력의 장화,256,13685
237,비전의 조화의 자수 어깨덧대,8,13691
238,각인된 시간의 어깨덧옷,32,13692
239,분노한 용장의 고정띠,64,13694
240,우서의 헌신,4,13695
242,냉혹한 심문관의 비늘,128,13709
243,앙갚음의 다리보호대,128,13713
244,천둥군주의 건틀릿,1024,13716
245,불안정한 정신의 판금소매,512,13720
246,전투군주의 손목보호구,512,13722
247,지진의 반향의 철갑투구,2,13723
248,고통인도자 허리보호대,64,13742
249,각인된 집단 고뇌의 팔찌,512,13775
250,반 거인의 어깨보호대,8,13776
