ID,Name_lang,Sex,BaseSection,UiCustomizationType,Flags,ComponentSection[0],ComponentSection[1],ComponentSection[2],RaceID
1,피부색,3,0,0,4,-1,-1,-1,0
2,얼굴,3,1,1,0,-1,-1,-1,0
3,머리 모양,3,3,2,0,-1,-1,-1,0
4,머리색,3,3,3,4,-1,-1,-1,0
5,수염,3,2,4,0,-1,-1,-1,0
6,문신 형태,3,5,5,1,12,-1,-1,4
7,뿔 모양,3,6,6,0,-1,-1,-1,0
8,안대,3,7,7,0,-1,-1,-1,0
9,문신 색,3,5,8,5,12,-1,-1,4
10,고리 장식,1,2,4,0,-1,-1,-1,1
11,고리 장식,1,2,4,0,-1,-1,-1,2
12,고리 장식,1,2,4,0,-1,-1,-1,3
13,특징,1,2,4,0,-1,-1,-1,4
14,특징,3,2,4,0,-1,-1,-1,5
15,머리,1,2,4,0,-1,-1,-1,6
16,뿔 모양,3,3,2,0,-1,-1,-1,6
17,뿔 색깔,3,3,3,4,-1,-1,-1,6
18,귀걸이,1,2,4,0,-1,-1,-1,7
19,엄니,3,2,4,0,-1,-1,-1,8
20,귀,3,2,4,0,-1,-1,-1,9
21,귀걸이,1,2,4,0,-1,-1,-1,10
22,귀,1,2,4,0,-1,-1,-1,22
23,뿔 모양,1,2,4,0,-1,-1,-1,11
24,뿔 모양,1,2,4,0,-1,-1,-1,30
25,룬,3,7,7,0,-1,-1,-1,30
26,귀걸이,1,2,4,0,-1,-1,-1,24
27,귀걸이,1,2,4,0,-1,-1,-1,25
28,귀걸이,1,2,4,0,-1,-1,-1,26
29,엄니,3,6,6,0,-1,-1,-1,31
30,귀걸이,3,7,7,0,-1,-1,-1,31
31,장신구,1,2,4,0,-1,-1,-1,31
32,문신 형태,3,5,5,1,13,-1,-1,31
34,문신 형태,3,5,5,1,12,-1,-1,10
35,문신 색,3,5,8,5,12,-1,-1,10
36,문신 형태,3,5,5,1,12,-1,-1,30
37,문신 형태,3,5,5,1,13,-1,-1,28
38,머리,1,2,4,0,-1,-1,-1,28
39,뿔 모양,3,3,2,0,-1,-1,-1,28
40,뿔 색깔,3,3,3,4,-1,-1,-1,28
41,귀걸이,1,2,4,0,-1,-1,-1,29
42,문신 형태,3,5,5,1,13,-1,-1,27
43,귀걸이,1,2,4,0,-1,-1,-1,27
44,귀걸이,0,2,4,0,-1,-1,-1,27
46,자세,0,7,7,0,-1,-1,-1,2
47,문신 형태,0,6,6,0,13,-1,-1,34
48,문신 형태,1,5,5,0,13,-1,-1,34
49,자세,0,7,7,0,-1,-1,-1,36
50,피부색,3,0,0,5,-1,-1,-1,36
52,고리 장식,0,5,5,0,-1,-1,-1,34
153,무늬,3,5,5,3,13,-1,-1,35
155,귀걸이,1,6,6,0,-1,-1,-1,32
156,목걸이,1,7,7,0,-1,-1,-1,32
157,팔 강화,3,6,6,0,0,1,-1,37
158,다리 강화,3,7,7,0,5,6,-1,37
159,개조,3,5,5,0,9,10,-1,37
160,주둥이,3,6,6,0,-1,-1,-1,35
161,귀,3,2,4,0,-1,-1,-1,35
162,피부색,3,0,0,5,-1,-1,-1,35
163,문신 형태,3,5,5,0,-1,-1,-1,0
164,수염,0,2,4,0,-1,-1,-1,6
165,피부색,3,0,0,4,-1,-1,-1,6
166,장신구,1,2,4,0,-1,-1,-1,36
167,장신구,1,2,4,0,-1,-1,-1,34
168,눈썹,1,2,4,0,-1,-1,-1,32
169,피부색,3,0,0,4,-1,-1,-1,28
170,수염,0,2,4,0,-1,-1,-1,28
171,피부색,3,0,0,4,-1,-1,-1,24
172,수염,0,2,4,0,-1,-1,-1,24
173,머리 모양,0,3,2,0,-1,-1,-1,24
174,머리 모양,3,3,4,0,-1,-1,-1,35
175,얼굴,3,1,1,0,-1,-1,-1,36
176,얼굴,3,1,1,0,-1,-1,-1,35
177,얼굴,3,1,1,0,-1,-1,-1,6
178,얼굴,3,1,1,0,-1,-1,-1,28
179,얼굴,3,1,1,0,-1,-1,-1,24
180,고리 장식,1,2,4,0,-1,-1,-1,23
