ID,Name_lang,Tooltip_lang,BuildingType,SpecType,RequiredUpgradeLevel,IconFileDataID,Param[0],Param[1]
2,전시장,마굿간에 누구나 볼 수 있는 탈것을 다섯 가지 더 전시할 수 있습니다.,0,0,0,132224,100,0
3,탈것 상인,희귀 탈것 상인이 주둔지 마굿간에 상점을 엽니다.,0,1,0,413588,5,0
7,귀환 차원문,현재 임무를 중단하고 즉시 추종자들을 귀환시킵니다.,0,5,0,511651,0,0
8,구인 전문가,"자원 10개로 특정 속성, 능력, 역할을 지닌 무작위 추종자를 고용합니다.",0,6,0,134149,0,0
9,검은바위 요리사,주둔지의 일일 요리 퀘스트를 받을 수 있습니다.,0,6,0,236571,0,0
11,채광 수레,추가 광부들이 당신의 수레에 광물과 기타 이상한 물질을 가득 채웁니다.,0,7,3,961629,0,0
12,과수원,주둔지에 과수원을 만들어 희귀한 과일을 키워 냅니다.,9,7,0,133977,0,0
13,유난히 날카로운 무두질용 손칼,시간당 가죽 무두질 속도를 10% 증가시킵니다.,0,7,0,924154,0,0
22,바위 분쇄자,"채광 시 생기는 바위를 분쇄하여 추가 자원을 생성하고, 도로 건설 등에 활용합니다.",0,7,3,135236,0,0
23,대규모 순간이동,5명의 추종자가 필요한 임무를 수행하기 위한 출정 시간이 하루에 한 번씩 사라집니다.,0,5,0,413583,0,0
24,도시 이동,오그리마와 스톰윈드 이외의 대도시로 통하는 차원문을 사용할 수 있습니다.,0,5,0,135744,0,0
25,자동 채집기,약초밭의 약초를 자동으로 채집합니다.,0,7,0,132996,0,0
26,PattyMack Test Spec,,0,4,0,0,0,0
27,검은바위,검은바위 광석 재료를 더 많이 생성합니다.,0,3,0,0,0,0
28,순철,순철 광석 재료를 더 많이 생성합니다.,0,3,0,0,0,0
31,생선 배달,매일 신선한 생선을 낚시터에 직접 배달합니다.,0,6,3,970842,0,0
32,미끼 낚시,주둔지 물가에서 낚시를 할 때 미끼를 발견할 확률이 크게 증가합니다.,0,6,3,970852,0,0
33,동굴살이,주둔지 물가에서 일정 확률로 서리심연 송사리를 잡을 수 있습니다. 이를 이용하여 서리심연 동굴살이를 소환합니다.,0,6,3,970814,0,0
34,연구소 학생,연금술 연구소에서 학생들을 가르치기 시작합니다. 수업을 하며 매일 몇 가지 물약을 생산합니다.,0,6,3,413574,0,0
35,변환,"이 연구소에서는 물체의 변환을 집중적으로 연구하여, 매일 제작 가능한 변성 결정체의 양이 증가합니다.",0,6,3,967514,0,0
36,비약,"이 연구소에서는 연금술의 화학 반응을 집중적으로 연구하여, 매일 제작 가능한 연금술 촉매의 양이 증가합니다.",0,6,3,967512,0,0
37,상급 긴급 소집,"긴급 소집 능력으로 소환하는 병력을 강화하여, 공격력을 증가시킵니다.",0,6,3,975738,0,0
38,응급치료,응급치료 간호사 NPC를 소환합니다. 간호사는 매일 치유 물약과 붕대를 줍니다.,0,6,3,135966,0,0
39,감옥,"때때로 도둑을 붙잡습니다. 도둑은 벌금을 납부하거나, 형을 감면하려고 유용한 정보를 털어놓습니다.",0,6,3,136058,0,0
40,광산 경비병,주둔지 경비병이 광산을 정찰하며 적대적인 고렌을 막아냅니다.,0,6,3,132110,0,0
41,대량 구매,건물 구매와 전문화 변경 비용을 감소시킵니다.,0,6,3,132761,0.5,0
