ID,Name_lang,Description_lang,DescriptionShort_lang,Icon,Order,ChrRacesID
1,포세이큰의 의지,"공포와 수면, 현혹에서 벗어날 수 있습니다.","공포, 수면, 현혹에서 벗어날 수 있음",136187,0,5
2,시체먹기,시체를 먹어 생명력과 마나를 회복할 수 있습니다.,시체를 먹어 생명력과 마나 회복,132278,1,5
3,저승의 손길,적의 생명력을 흡수할 수 있습니다.,적의 생명력 흡수,136157,2,5
4,암흑 저항력,암흑 피해에 대한 저항력이 증가합니다.,암흑 피해에 대한 저항력 증가,136152,3,5
5,인간의 정신력,"가속, 치명타 및 극대화, 특화, 유연성이 증가합니다.","가속, 치명타 및 극대화, 특화, 유연성 증가",132874,0,1
6,고향이 최고야,귀환석 효율 증가,귀환석 효율 증가,134328,1,1
7,인간의 자생력,기절 효과에서 벗어날 수 있습니다.,기절 효과에서 벗어날 수 있음,136129,2,1
8,석화,석화 상태를 취할 수 있습니다.,석화 상태를 취할 수 있음,136225,0,3
9,산의 강대함,치명타 및 극대화의 효과가 증가합니다.,치명타 및 극대화 효과 증가,133042,1,3
10,냉기 저항력,냉기 피해에 대한 저항력이 증가합니다.,냉기 피해에 대한 저항력 증가,135865,2,3
11,탐험가,고고학 조각을 추가로 발견할 수 있으며 조사 속도가 증가합니다.,고고학 조각을 추가로 발견할 수 있으며 조사 속도 증가,237387,3,3
98,고대사,주문각인 숙련도가 증가합니다.,주문각인 숙련도 증가,1723985,4,27
99,마력 친화,마법 공격력이 증가합니다.,마법 공격력 증가,1723986,2,27
100,기묘한 재주,우편함 역할을 하는 날아다니는 고서를 소환합니다.,우편함 역할을 하는 날아다니는 고서 소환,1723988,1,27
101,혼돈의 품,능력 사용 시 일정 확률로 공허의 정수가 자신의 힘을 강화합니다.,공허의 힘을 받아 강해짐,1723992,1,29
102,에테리얼 교감,형상변환 및 공허 보관소의 사용 비용이 감소합니다.,형상변환 및 공허 보관소의 사용 비용 감소,1723993,3,29
103,선천적 차분함,피해를 입어도 주문 시전이 지연되지 않습니다.,피해를 입어도 주문 시전이 지연되지 않음,1724001,2,29
104,밤의 한기,암흑 피해에 대한 저항력이 증가합니다.,암흑 피해에 대한 저항력 증가,1723989,4,29
105,공간 균열,공간에 균열을 만들어 목적지로 순간이동합니다.,공간의 균열을 통해 순간이동 가능,1724004,0,29
106,비전 저항,비전 피해에 대한 저항력이 증가합니다.,비전 피해에 대한 저항력 증가,1723997,3,27
107,비전 파동,주위의 적에게 피해를 주고 감속시킵니다.,주위의 적에게 피해를 주고 감속시킴,1851463,0,27
108,황소 돌진,전방으로 돌진하여 적을 쓰러뜨립니다.,전방으로 돌진하여 적들을 쓰러뜨림,1723987,0,28
109,아이언혼의 자부심,채광 숙련도와 속도가 증가합니다.,채광 숙련도와 속도 증가,1724002,4,28
110,근검절약,일정 확률로 추가 육류와 생선을 획득합니다.,일정 확률로 추가 육류와 생선 획득,1724005,3,28
111,등산가,유연성이 증가합니다.,유연성 증가,1723999,2,28
112,거친 끈기,받는 피해가 감소합니다.,받는 피해 감소,1724003,1,28
113,빛의 심판,대상 지역에 강력한 신성 피해를 입힙니다.,대상 지역에 강력한 신성 피해를 입힘,1724000,0,30
114,신성 저항,받는 신성 피해가 감소합니다.,신성 피해에 대한 저항력 증가,1723996,2,30
115,빛의 징벌,"사망 시, 주변 적군에게 신성 피해를 입히고 아군의 생명력을 회복시킵니다.",사망 시 주변 적군에게 피해를 입히고 아군 치유,1723994,1,30
116,빛의 가열로,대장기술 숙련도가 증가하고 모루를 소환할 수 있습니다.,대장기술 숙련도가 증가하고 가열로 소환 가능,1723995,3,30
117,악마파멸자,악마를 처치하고 얻는 경험치가 증가합니다.,악마를 처치하고 얻는 경험치 증가,1723990,4,30
118,불꽃피,해로운 효과를 제거하고 자신을 강화합니다.,해로운 효과를 제거하고 자신을 강화,1786406,0,34
119,던전 탐구자,실내 이동 속도가 증가합니다.,실내 이동 속도 증가,1786405,1,34
