ID,DisplayName_lang,Description_lang,Type,Cost_Modifier,Race,Sex,Data
3,긴 머리,,0,1,11,0,0
4,망나니 머리,,0,1,11,0,1
5,땋은 머리,,0,1,11,0,2
6,넘겨 세운 뾰족머리,,0,1,11,0,3
7,뾰족뾰족 꽁지머리,,0,1,11,0,4
8,구슬 장식 땋은 머리,,0,1,11,0,5
9,뿔모양 머리,,0,1,11,0,6
10,둥근 고리 꽁지머리,,0,1,11,0,7
11,빡빡머리,,0,1,11,0,8
19,특징 없음,,2,0.75,11,0,0
20,나팔꽃 촉수,,2,0.75,11,0,1
21,기다란 구레나룻,,2,0.75,11,0,2
22,울퉁불퉁 구레나룻,,2,0.75,11,0,3
23,콧수염,,2,0.75,11,0,4
24,애교 턱수염,,2,0.75,11,0,5
25,염소 수염,,2,0.75,11,0,6
26,쌍촉수,,2,0.75,11,0,7
27,생머리,,0,1,1,1,0
28,처진 머리,,0,1,1,1,1
29,일자 앞머리,,0,1,1,1,2
30,자연스러운 긴 머리,,0,1,1,1,3
31,옆 가르마 긴 머리,,0,1,1,1,4
32,한쪽 넘긴 머리,,0,1,1,1,5
33,상고머리,,0,1,1,1,6
34,내려 묶은 긴 머리,,0,1,1,1,7
35,올려 묶은 긴 머리,,0,1,1,1,8
36,세련된 단발머리,,0,1,1,1,9
37,긴 바람머리,,0,1,1,1,10
38,귀 넘긴 단발머리,,0,1,1,1,11
39,단발 바람머리,,0,1,1,1,12
40,물결 머리,,0,1,1,1,13
41,올림머리,,0,1,1,1,14
42,옆 가르마 단발머리,,0,1,1,1,15
43,부풀린 짧은 단발머리,,0,1,1,1,16
44,대충 묶은 머리,,0,1,1,1,17
55,귀걸이 없음,,2,0.75,1,1,0
56,귀걸이,,2,0.75,1,1,1
57,위쪽 귀걸이,,2,0.75,1,1,2
58,위쪽 쌍귀걸이,,2,0.75,1,1,3
59,위아래 귀걸이,,2,0.75,1,1,4
60,코걸이,,2,0.75,1,1,5
61,코걸이와 눈썹 고리,,2,0.75,1,1,6
62,달라붙은 머리,,0,1,1,1,18
63,빡빡머리,,0,1,1,0,0
64,중앙가르마 단발머리,,0,1,1,0,1
65,군인 머리,,0,1,1,0,2
66,일출형 머리,,0,1,1,0,3
67,야만전사 머리,,0,1,1,0,4
68,화려한 머리,,0,1,1,0,5
69,처진 머리,,0,1,1,0,6
70,귀족 머리,,0,1,1,0,7
71,일출형 긴 머리,,0,1,1,0,8
72,긴 꽁지머리,,0,1,1,0,9
73,연예인 머리,,0,1,1,0,10
74,치렁치렁 머리,,0,1,1,0,11
85,일반 수염,,2,0.75,1,0,0
86,대령 수염,,2,0.75,1,0,1
87,결투사 수염,,2,0.75,1,0,2
88,염소 수염,,2,0.75,1,0,3
89,마술사 수염,,2,0.75,1,0,4
90,울퉁불퉁 구레나룻,,2,0.75,1,0,5
91,콧수염과 염소수염,,2,0.75,1,0,6
92,콧수염,,2,0.75,1,0,7
93,수염 없음,,2,0.75,1,0,8
125,생머리,,0,1,11,1,0
126,한쪽 넘긴 머리,,0,1,11,1,1
127,긴 갈래 머리,,0,1,11,1,2
128,양쪽 붙인 앞머리,,0,1,11,1,3
129,양갈래 올림머리,,0,1,11,1,4
130,보석박힌 머리띠 착용,,0,1,11,1,5
131,일자 앞머리,,0,1,11,1,6
132,우아하게 세운 머리,,0,1,11,1,7
133,부풀린 머리,,0,1,11,1,8
134,짧게 쳐올린 머리,,0,1,11,1,9
135,바람머리,,0,1,11,1,10
143,쓸어넘긴 뿔,,2,0.75,11,1,0
144,뒤로 말린 뿔,,2,0.75,11,1,1
145,활처럼 휜 뿔,,2,0.75,11,1,2
146,높이 솟은 뿔,,2,0.75,11,1,3
147,옆으로 벌린 뿔,,2,0.75,11,1,4
148,웅장한 뿔,,2,0.75,11,1,5
149,짧은 뿔,,2,0.75,11,1,6
175,하나로 올려 묶은 머리,,0,1,10,1,0
176,옆 가르마 긴 머리,,0,1,10,1,1
177,달라붙은 머리,,0,1,10,1,2
178,숱 많은 긴 생머리,,0,1,10,1,3
179,보석박힌 머리띠 착용,,0,1,10,1,4
180,얌전한 긴 머리,,0,1,10,1,5
181,내려 묶은 긴 머리,,0,1,10,1,6
182,하나로 올림머리,,0,1,10,1,7
183,옆 가르마 단발머리,,0,1,10,1,8
184,얌전한 단발머리,,0,1,10,1,9
185,앞머리 긴 단발머리,,0,1,10,1,10
186,층 낸 긴 생머리,,0,1,10,1,11
187,구불구불 긴머리,,0,1,10,1,12
188,머리띠 착용,,0,1,10,1,13
200,루비,,2,0.75,10,1,1
201,큰 고리,,2,0.75,10,1,2
202,귀걸이,,2,0.75,10,1,3
203,달랑거리는 에메랄드,,2,0.75,10,1,4
204,둥근 에메랄드와 진주,,2,0.75,10,1,5
205,위쪽 작은 고리,,2,0.75,10,1,6
206,진주,,2,0.75,10,1,7
207,달랑거리는 루비,,2,0.75,10,1,8
208,에메랄드와 네모 진주,,2,0.75,10,1,9
209,에메랄드 귀걸이와 위쪽 귀걸이,,2,0.75,10,1,10
245,한쪽 넘겨 묶은 머리,,0,1,10,0,0
246,넘겨 세운 뾰족머리,,0,1,10,0,1
247,매날개 앞머리,,0,1,10,0,2
248,망나니 머리,,0,1,10,0,3
249,부분 장발머리,,0,1,10,0,4
250,불꽃 머리,,0,1,10,0,5
251,긴 앞머리,,0,1,10,0,6
252,부분 장발머리,,0,1,10,0,7
253,윤기좔좔 긴 머리,,0,1,10,0,8
254,머리띠 착용,,0,1,10,0,9
255,정수리 매듭 머리,,0,1,10,0,10
266,수염 없음,,2,0.75,10,0,0
267,점 찍은 듯 턱수염,,2,0.75,10,0,1
268,입술 밑 턱수염,,2,0.75,10,0,2
269,가시 턱수염,,2,0.75,10,0,3
270,애교 턱수염,,2,0.75,10,0,4
271,들쑥날쑥 턱수염,,2,0.75,10,0,5
272,한줄기 턱수염,,2,0.75,10,0,6
273,칼날 턱수염,,2,0.75,10,0,7
274,염소 턱수염,,2,0.75,10,0,8
275,멋 부린 턱수염,,2,0.75,10,0,9
307,풍성한 긴 머리,,0,1,4,0,0
308,상투 튼 양갈래 땋은 머리,,0,1,4,0,1
309,긴 머리,,0,1,4,0,2
310,긴 꽁지머리,,0,1,4,0,3
311,상투 튼 긴 머리,,0,1,4,0,4
312,짧은 꽁지머리,,0,1,4,0,5
313,넘긴 바람머리,,0,1,4,0,6
