ID,ClassSpec_lang,ClassSpec_Male_lang,ClassSpec_Female_lang,UiTextureAtlasMemberID,GarrFollItemSetID,FollowerClassLimit,Flags
2,혈기 죽음의 기사,혈기 죽음의 기사,혈기 죽음의 기사,3487,6,0,0
3,냉기 죽음의 기사,냉기 죽음의 기사,냉기 죽음의 기사,3487,7,0,0
4,부정 죽음의 기사,부정 죽음의 기사,부정 죽음의 기사,3487,8,0,0
5,조화 드루이드,조화 드루이드,조화 드루이드,3485,9,0,0
7,야성 드루이드,야성 드루이드,야성 드루이드,3485,10,0,0
8,수호 드루이드,수호 드루이드,수호 드루이드,3485,11,0,0
9,회복 드루이드,회복 드루이드,회복 드루이드,3485,12,0,0
10,야수 사냥꾼,야수 사냥꾼,야수 사냥꾼,3477,13,0,0
12,사격 사냥꾼,사격 사냥꾼,사격 사냥꾼,3477,14,0,0
13,생존 사냥꾼,생존 사냥꾼,생존 사냥꾼,3477,15,0,0
14,비전 마법사,비전 마법사,비전 마법사,3482,16,0,0
15,화염 마법사,화염 마법사,화염 마법사,3482,17,0,0
16,냉기 마법사,냉기 마법사,냉기 마법사,3482,18,0,0
17,양조 수도사,양조 수도사,양조 수도사,3480,19,0,0
18,운무 수도사,운무 수도사,운무 수도사,3480,20,0,0
19,풍운 수도사,풍운 수도사,풍운 수도사,3480,21,0,0
20,신성 성기사,신성 성기사,신성 성기사,3486,22,0,0
21,보호 성기사,보호 성기사,보호 성기사,3486,23,0,0
22,징벌 성기사,징벌 성기사,징벌 성기사,3486,24,0,0
23,수양 사제,수양 사제,수양 사제,3479,25,0,0
24,신성 사제,신성 사제,신성 사제,3479,26,0,0
25,암흑 사제,암흑 사제,암흑 사제,3479,27,0,0
26,암살 도적,암살 도적,암살 도적,3481,28,0,0
27,전투 도적,전투 도적,전투 도적,3481,29,0,0
28,잠행 도적,잠행 도적,잠행 도적,3481,30,0,0
29,정기 주술사,정기 주술사,정기 주술사,3484,31,0,0
30,고양 주술사,고양 주술사,고양 주술사,3484,32,0,0
31,복원 주술사,복원 주술사,복원 주술사,3484,33,0,0
32,고통 흑마법사,고통 흑마법사,고통 흑마법사,3483,34,0,0
33,악마 흑마법사,악마 흑마법사,악마 흑마법사,3483,35,0,0
34,파괴 흑마법사,파괴 흑마법사,파괴 흑마법사,3483,36,0,0
35,무기 전사,무기 전사,무기 전사,3478,37,0,0
37,분노 전사,분노 전사,분노 전사,3478,38,0,0
38,방어 전사,방어 전사,방어 전사,3478,39,0,0
53,수송선,수송선,수송선,4597,0,0,0
54,구축함,구축함,구축함,4620,0,0,0
55,항공모함,항공모함,항공모함,4838,0,0,0
56,전함,전함,전함,4601,0,0,0
57,잠수함,잠수함,잠수함,4609,0,0,0
58,수송선,수송선,수송선,4597,0,0,0
59,구축함,구축함,구축함,4568,0,0,0
60,항공모함,항공모함,항공모함,4842,0,0,0
61,전함,전함,전함,4601,0,0,0
62,잠수함,잠수함,잠수함,4605,0,0,0
63,파멸 악마사냥꾼,파멸 악마사냥꾼,파멸 악마사냥꾼,5939,0,0,0
64,복수 악마사냥꾼,복수 악마사냥꾼,복수 악마사냥꾼,5940,0,0,0
65,주학 수련생,주학 수련생,주학 수련생,3480,0,4,3
66,백호 수련생,백호 수련생,백호 수련생,3480,0,2,3
67,흑우 수련생,흑우 수련생,흑우 수련생,3480,0,3,3
68,양조 수도사,양조 수도사,양조 수도사,5951,0,0,0
69,운무 수도사,운무 수도사,운무 수도사,5952,0,0,0
70,풍운 수도사,풍운 수도사,풍운 수도사,5953,0,0,0
72,비전술사,비전술사,비전술사,3482,0,2,3
73,정령,정령,정령,3482,0,3,3
74,마법사 C 병력,마법사 C 병력,마법사 C 병력,3482,0,4,3
75,되살아난 무리,되살아난 무리,되살아난 무리,3487,0,3,3
76,칠흑의 기사단 병사,칠흑의 기사단 병사,칠흑의 기사단 병사,3487,0,2,3
77,누더기골렘,누더기골렘,누더기골렘,3487,0,1,3
79,부서진 자,부서진 자,부서진 자,5940,0,3,3
80,일리다리 전사,일리다리 전사,일리다리 전사,5940,0,2,3
81,숲의 친구,숲의 친구,숲의 친구,3485,0,3,3
82,숲 감시자,숲 감시자,숲 감시자,3485,0,2,3
84,사냥꾼 C 병력,사냥꾼 C 병력,사냥꾼 C 병력,3477,0,4,3
85,수렵꾼,수렵꾼,수렵꾼,3477,0,2,3
86,궁수,궁수,궁수,3477,0,3,3
87,은빛 성기사단 신병,은빛 성기사단 신병,은빛 성기사단 신병,3486,0,3,3
88,은빛 성기사단 장교,은빛 성기사단 장교,은빛 성기사단 장교,3486,0,2,3
89,성기사 C 병력,성기사 C 병력,성기사 C 병력,3486,0,4,3
90,사제 C 병력,사제 C 병력,사제 C 병력,3479,0,4,3
91,수행사제,수행사제,수행사제,3479,0,3,3
92,광신도,광신도,광신도,3479,0,2,3
93,강도,강도,강도,3481,0,3,3
94,해적단원,해적단원,해적단원,3481,0,2,3
95,도적 C 병력,도적 C 병력,도적 C 병력,3481,0,4,3
96,전쟁의 고대정령,전쟁의 고대정령,전쟁의 고대정령,3485,0,1,3
97,정령,정령,정령,3484,0,3,3
98,대지술사,대지술사,대지술사,3484,0,2,3
99,발라리아르,발라리아르,발라리아르,3478,0,3,3
100,방패여전사,방패여전사,방패여전사,3478,0,2,3
101,전사 C 병력,전사 C 병력,전사 C 병력,3478,0,4,3
102,악마 무리,악마 무리,악마 무리,3483,0,3,3
103,암흑의 수확 하수인,암흑의 수확 하수인,암흑의 수확 하수인,3483,0,2,3
104,지옥수호병,지옥수호병,지옥수호병,3483,0,1,3
105,천신,천신,천신,3480,0,1,3
