ID,InfoName_lang,Type,Modifiers,Profession
1,파티,0,2,0
21,직업,0,0,0
41,전쟁,0,0,0
62,공격대,0,0,0
81,던전,0,0,0
82,이벤트,0,0,0
83,전설,0,0,0
84,호위,0,0,0
85,영웅,0,0,0
88,공격대 (10인),0,0,0
89,공격대 (25인),0,0,0
98,시나리오,0,0,0
104,부가 퀘스트,0,0,0
107,유물,0,0,0
109,전역 퀘스트,2,256,0
110,영웅 전역 퀘스트,2,268,0
111,정예 전역 퀘스트,2,258,0
112,영웅 정예 전역 퀘스트,2,334,0
113,PvP 전역 퀘스트,3,256,0
114,응급처치 전역 퀘스트,1,256,129
115,전투 애완동물 전역 퀘스트,4,256,0
116,대장기술 전역 퀘스트,1,256,164
117,가죽세공 전역 퀘스트,1,256,165
118,연금술 전역 퀘스트,1,256,171
119,약초채집 전역 퀘스트,1,256,182
120,채광 전역 퀘스트,1,256,186
121,재봉술 전역 퀘스트,1,256,197
122,기계공학 전역 퀘스트,1,256,202
123,마법부여 전역 퀘스트,1,256,333
124,무두질 전역 퀘스트,1,256,393
125,보석세공 전역 퀘스트,1,256,755
126,주문각인 전역 퀘스트,1,256,773
128,사절 퀘스트,5,272,0
129,고고학 전역 퀘스트,1,256,794
130,낚시 전역 퀘스트,1,256,356
131,요리 전역 퀘스트,1,256,185
135,희귀 전역 퀘스트,2,257,0
136,희귀 정예 전역 퀘스트,2,267,0
137,던전 전역 퀘스트,6,267,0
139,군단 침공 전역 퀘스트,7,296,0
140,평점제 보상,3,272,0
141,공격대 전역 퀘스트,8,266,0
142,군단 침공 정예 전역 퀘스트,7,266,0
143,군단척결 기여,9,272,0
144,군단척결 전역 퀘스트,2,334,0
145,군단척결 던전 전역 퀘스트,6,331,0
146,군단 침공 전역 퀘스트 마무리,11,0,0
147,격전지 - 불모의 땅,0,0,0
148,훔치기,0,0,0
151,마그니 전역 퀘스트 - 아제라이트,2,256,0
152,Tortollan World Quest - 8.0,2,256,0
153,격전지 기여,9,272,0
254,군도 퀘스트,0,0,0
255,전쟁 모드 플레이어 간 전투,0,0,0
256,플레이어 간 전투 정복,10,272,0
259,진영 습격 전역 퀘스트,12,360,0
260,진영 습격 정예 전역 퀘스트,12,330,0
261,군도 주간 퀘스트,13,144,0
263,공개 퀘스트,0,16,0
264,위협 목표,5,272,0
265,숨겨진 퀘스트,5,272,0
266,전투 동료 퀘스트,0,0,0
267,전문 기술,0,0,0
268,위협 정리,14,272,0
270,위협 사절 퀘스트,14,272,0
271,부름 퀘스트,15,0,0
272,벤티르 연회 퀘스트,2,448,0
273,나락의 영혼 생성 추적기,5,272,0
278,PvP 정예 전역 퀘스트,3,258,0
279,금지된 해안 사절 임무,9,0,0
281,용기수 경주,16,0,0
282,중요 퀘스트,0,1024,0
283,추가 목표 및 완료 알림,0,512,0
284,상위 퀘스트,0,2048,0
286,머릿돌 전역 퀘스트,17,266,0
287,갓돌 차단물,5,272,0
288,구렁,0,0,0
289,야외 우두머리,18,334,0
291,Hidden,0,272,0
292,중요 퀘스트 (포기 불가),0,1280,0
