ID,Name_lang,InstanceType,OrderIndex,OldEnumValue,FallbackDifficultyID,MinPlayers,MaxPlayers,Flags,ItemContext,ToggleDifficultyID,GroupSizeHealthCurveID,GroupSizeDmgCurveID,GroupSizeSpellPointsCurveID,Field_11_0_5_56487_013
1,일반,1,1,0,0,5,5,4,1,0,0,0,0,0
2,영웅,1,2,1,1,5,5,5,2,0,0,0,0,0
3,10인,2,1,0,0,10,10,38,4,5,0,0,0,0
4,25인,2,3,1,0,25,25,36,5,6,0,0,0,0
5,10인(영웅),2,2,2,3,10,10,37,3,3,0,0,0,0
6,25인(영웅),2,4,3,4,25,25,37,6,4,0,0,0,0
7,공격대 찾기,2,5,4,4,25,25,16,83,0,0,0,0,0
8,신화 쐐기돌,1,5,-1,23,5,5,1,16,0,0,0,0,0
9,40인,2,7,-1,0,40,40,36,3,0,0,0,0,0
11,영웅 시나리오,5,2,-1,12,3,3,1,10,0,0,0,0,0
12,일반 시나리오,5,1,-1,0,5,5,2,9,0,0,0,0,0
14,일반,2,3,-1,0,10,30,6,3,0,0,0,0,0
15,영웅,2,4,-1,14,10,30,68,5,0,0,0,0,0
16,신화,2,5,-1,15,20,20,133,6,0,0,0,0,0
17,공격대 찾기,2,6,-1,14,10,30,16,4,0,0,0,0,0
18,이벤트,2,4,-1,0,40,40,16,0,0,0,0,0,0
19,이벤트,1,4,-1,0,5,5,16,0,0,0,0,0,0
20,이벤트 시나리오,5,3,-1,0,25,25,0,0,0,0,0,0,0
23,신화,1,3,-1,2,5,5,133,23,0,0,0,0,0
24,시간여행,1,6,-1,2,5,5,512,22,0,0,0,0,0
25,야외 플레이어 간 전투 시나리오,5,4,-1,0,0,40,16,0,0,0,0,0,0
29,플레이어 및 몬스터 전투 시나리오,3,5,-1,0,0,5,16,0,0,0,0,0,0
30,이벤트,5,7,-1,0,6,6,0,9,0,0,0,0,0
32,야외 플레이어 간 전투 시나리오,5,4,-1,0,0,40,16,0,0,0,0,0,0
33,시간여행,2,7,-1,14,10,30,528,22,0,0,0,0,0
34,플레이어 간 전투,3,7,-1,0,5,5,0,7,0,0,0,0,0
38,일반,5,1,0,0,1,3,22,0,0,0,0,0,0
39,영웅,5,2,1,38,1,3,84,0,0,0,0,0,0
40,신화,5,3,-1,39,1,3,148,0,0,0,0,0,0
45,플레이어 간 전투,5,3,-1,39,1,3,340,0,0,0,0,0,0
147,일반,5,1,-1,0,5,5,18,9,0,0,0,0,0
149,영웅,5,2,-1,0,10,30,80,10,0,0,0,0,0
150,일반 조정 (1~5인),1,1,-1,0,1,5,2,1,0,0,0,0,0
151,공격대 찾기,2,6,-1,17,10,30,16,4,0,0,0,0,0
152,느조스의 환영,5,1,-1,0,1,5,18,9,0,0,0,0,0
153,와글와글 군도,5,8,-1,39,10,10,340,0,0,0,0,0,0
167,토르가스트,5,1,-1,0,1,5,18,9,0,0,0,0,0
168,승천의 길: 용기,5,7,-1,0,1,1,0,0,0,0,0,0,0
169,승천의 길: 충성,5,7,-1,0,1,1,0,0,0,0,0,0,0
170,승천의 길: 지혜,5,7,-1,0,1,1,0,0,0,0,0,0,0
171,승천의 길: 겸손,5,7,-1,0,1,1,0,0,0,0,0,0,0
172,야외 우두머리,0,7,-1,0,1,40,4,81,0,0,0,0,0
192,도전 레벨 1,0,8,-1,0,1,40,4,25,0,0,0,0,0
205,추종자,1,7,-1,1,5,5,0,1,0,0,0,0,0
208,구렁,5,1,-1,0,1,5,2,9,0,0,0,0,0
216,퀘스트,1,8,-1,1,5,5,0,1,0,0,0,0,0
220,이야기,2,9,-1,0,10,10,0,0,0,0,0,0,0
230,영웅,0,9,-1,0,1,1,582,0,0,0,0,0,0
232,이벤트,1,4,-1,0,5,5,16,0,0,0,0,0,0
