ID,Name_lang,TrophyTypeID,GameObjectDisplayInfoID,PlayerConditionID
1,에펙시스 수집가,3,20529,28227
3,드레노어 최고 장인,3,19152,27762
4,드레노어의 수호자,4,19153,28169
5,드레노어 애완동물 투사,3,20514,28226
9,신화적인 드레노어 공격대원,3,19207,28220
10,신화적인 드레노어 공격대원,4,19209,28220
11,드레노어 최고 장인,4,19573,27762
12,드레노어의 수호자,3,20403,28169
13,드레노어 애완동물 투사,4,20528,28226
14,에펙시스 수집가,4,20530,28227
15,그다지 특별할 것 없는 조각상,0,10782,24827
16,초록빛의 제왕,4,23436,30838
17,초록빛의 제왕,3,23502,30838
18,제4장: 어둠의 화신,3,26914,34184
19,드레노어 애완동물 투사,0,20514,27108
20,제4장: 어둠의 화신,4,26914,34184
