Name_lang,Description_lang,Map[0],Map[1],ID,JournalInstanceID,DungeonEncounterID,OrderIndex,FirstSectionID,UiMapID,MapDisplayConditionID,Flags,DifficultyMask
글럽톡,"분노를 주체할 수 없었던 어느 날, 글럽톡은 잠재되어 있던 마력을 분출해 자신이 살던 오우거 소굴을 잿더미로 만들고 말았습니다. 이 커다란 오우거 마법사의 파괴적인 재능에 대해 들은 데피아즈단은 죽음의 폐광 현장감독으로 글럽톡을 고용해 일꾼들을 감시하는 역할을 맡겼습니다.",0.3652697,0.6122755,89,63,2976,1,2010,291,54460,2,1
헬릭스 기어브레이커,"헬릭스는 원래 빌지워터 무역회사의 땜장이였습니다. 어느 날, 데피아즈 결사단이 헬릭스에게 호드의 이름 없는 기계공학자로는 절대로 만질 수 없는 거금을 제시하며, 그 대가로 그의 능력을 요구했습니다. 헬릭스는 재빨리 그 자리를 받아들이고 과거의 충성심은 쓰레기통에 던져버렸습니다... 영리한 고블린이라면 누구나 그러듯이 말입니다.",0.50199604,0.8682636,90,63,2977,2,2020,291,54460,2,1
전투 절단기 5000,데피아즈단 기계공학자들은 전투 절단기 4000을 더 완벽하게 개량하려고 오랫동안 애쓴 끝에 전투 절단기 5000을 만들어냈습니다. 데피아즈단은 이 무시무시한 기계가 낫으로 벼를 베듯 스톰윈드의 병사들을 쓸어버릴 것이라고 믿습니다.,0.12475067,0.75898206,91,63,2975,3,3448,292,54460,2,1
제독 으르렁니,"늑대인간의 저주에 걸린 제임스 해링턴은 피에 굶주린 어느 끔찍한 밤에 사랑하는 가족과 뱃사람으로서의 경력을 모두 자기 손으로 찢어발기고 말았습니다. 으르렁니라는 새로운 이름을 얻은 그는 서부 몰락지대로 도망쳤고, 데피아즈 결사단의 무시무시한 거대모함을 지휘하는 일을 받아들였습니다.",0.60479087,0.38772452,92,63,2974,4,2044,292,54460,2,1
"""선장"" 쿠키","데피아즈 결사단의 거대모함을 지휘하던 전 사령관이 죽자, 쿠키는 자신이 새로운 선장이라고 선언했습니다. 쿠키는 여전히 수석 요리사로서 자신의 직무를 수행하고 있지만, 그렇다고 해서 그의 선장 자격에 대해 의문을 제기하는 자는 심각한 식중독을 겪게 된다고 합니다.",0.60479087,0.4550898,93,63,2973,5,2055,292,54460,2,1
바네사 밴클리프,"아직 어린 소녀였을 때, 바네사는 자신의 아버지이자 데피아즈 결사단의 옛 지도자인 에드윈 밴클리프의 끔찍한 죽음을 목격했습니다. 그날 이후 바네사는 아버지의 뒤를 이어 지도자 역할을 맡았으며, 데피아즈단의 소굴인 죽음의 폐광 안 어둑한 선실에서 스톰윈드에 대한 준엄한 복수를 계획하고 있습니다.",0.6546913,0.40269458,95,63,1081,6,2060,292,54460,2,2
남작 애쉬버리,"반역자였던 남작 애쉬버리는 늑대인간에게 목숨을 잃고 포세이큰으로 되살아났습니다. 애쉬버리는 적을 괴롭히는 것을 즐기기에, 일부러 살려 놓고는 엄청난 고통과 고뇌를 가하곤 합니다.",0.66467136,0.732036,96,64,1069,1,2107,310,0,0,-1
남작 실버레인,"남작 실버레인은 아루갈이 이끄는 늑대인간 무리가 쳐들어오기 전에는 그림자송곳니 성채의 주인이었습니다. 저주받은 실버레인의 영혼은 이제 자신을 찢어발긴 바로 그 늑대 야수들을 불러내, 그의 집에 발을 들이는 또 다른 침입자들을 처단합니다.",0.30439156,0.7739521,97,64,1070,2,2118,311,0,0,-1
사령관 스프링베일,"충직한 군인이었던 사령관 스프링베일의 영혼이 대회의실을 떠돌며, 주군인 남작 실버레인의 복수를 위해 부정한 힘을 휘두릅니다.",0.2804395,0.5973054,98,64,1071,3,2137,310,0,0,-1
월든 경,고드프리의 오른팔이었던 오만한 월든 경은 자신의 주군을 위해서라면 죽음도 불사하겠다고 맹세했습니다. 이제 언데드의 일원인 월든 경은 자신의 약속을 지키고자 얼음과 독으로 적들을 공격합니다.,0.5449104,0.53742516,99,64,1073,4,2156,313,0,0,-1
